study,n_env,threshold,t_dec,final_coherence,J_int,t_reverse,final_overlap
study1_env_scaling,1,0.1,0.684755195586858,0.48116588737759286,,,
study1_env_scaling,2,0.1,0.566462914982563,0.4916079994971121,,,
study1_env_scaling,3,0.1,0.48981427972682345,0.4114311481345964,,,
study1_env_scaling,4,0.1,0.4316877033183464,0.45663959541445875,,,
study1_env_scaling,5,0.1,0.38961279006638216,0.3664905792135316,,,
study1_env_scaling,6,0.1,0.35621200869223063,0.3585653795513679,,,
study1_env_scaling,7,0.1,0.33313442954842687,0.3348287435286413,,,
study1_env_scaling,8,0.1,0.3115545977167553,0.32947934936510875,,,
study2_coupling_strength,6,0.1,nan,0.33747526972038333,0.2,,
study2_coupling_strength,6,0.1,0.757762222353434,0.10167340123661112,0.5,,
study2_coupling_strength,6,0.1,0.35621200869223063,0.3585653795513679,1.0,,
study2_coupling_strength,6,0.1,0.2377192907091104,0.38715498555538014,1.5,,
study2_coupling_strength,6,0.1,0.1797186623700843,0.27913565842088106,2.0,,
study4_reversibility,5,,,,,0.75,0.9999999999999976
study4_reversibility,5,,,,,1.5,0.999999999999996
study4_reversibility,5,,,,,2.25,0.9999999999999951
study8_timescales,6,0.1,nan,,0.3,,
study8_timescales,6,0.1,0.7575494009079016,,0.5,,
study8_timescales,6,0.1,0.4503991947623284,,0.8,,
study8_timescales,6,0.1,0.35646683480397723,,1.0,,
study8_timescales,6,0.1,0.27449173388041787,,1.3,,
study8_timescales,6,0.1,0.2232799394032584,,1.6,,
