step,mean_node_activity,max_node_activity,mean_link_energy,max_link_energy,mean_link_rank,max_link_rank,largest_cluster,n_clusters,mean_active_shortest_path,hot_nodes,persistent_nodes,edge_energy_threshold
0,0.0,0.0,0.0,0.0,0.0,0,128,1,3.398550724637681,0,0,0.0
25,0.2264097258165417,0.43202382404994044,0.08345774118021601,0.2331537683184338,1.31640625,3,16,22,2.125,24,5,0.11307240085472559
50,0.3747804856165273,0.6051796930120431,0.16093211759697643,0.36178172504763,1.90234375,4,29,15,4.016666666666667,22,21,0.20307902810674922
75,0.48405782508283146,0.7364148156440464,0.23332271805707638,0.4641188828379219,2.20703125,4,26,15,1.8857142857142857,22,23,0.2865990225962417
100,0.5703163176847079,0.834376965794371,0.30073926648669996,0.5111652701984234,2.41796875,4,41,11,4.313253012048193,24,22,0.35788741605750996
125,0.6416011805291335,0.8938073638725565,0.36539592201079524,0.5809010667844069,2.5703125,4,28,16,3.32,26,27,0.4287341757215122
150,0.6942878067160723,0.9359164895348436,0.42233501670288465,0.655150032888288,2.58984375,4,40,13,3.6,26,26,0.48889160010223326
175,0.7364145707052114,0.9536165011977547,0.4708122286231935,0.6796656516410845,2.57421875,4,33,17,4.2926829268292686,25,25,0.5250354117374887
200,0.7684270900576952,0.9621013044403842,0.5122774009032183,0.7084931907467875,2.5078125,4,22,16,2.4545454545454546,26,26,0.5741079367903583
225,0.7971570493254837,0.9741821721686542,0.5523803102933835,0.7545582254424945,2.453125,4,29,16,4.282608695652174,26,25,0.6181952612306929
250,0.8201579529735625,0.98054260210852,0.5870587004165329,0.787389113740594,2.44140625,4,39,13,8.426829268292684,26,25,0.6527604852840048
275,0.8416678420129293,0.985629367099475,0.6205689197317416,0.7974037369639843,2.453125,4,23,17,3.7666666666666666,26,26,0.6864206318913924
300,0.8593239105165495,0.9889486615516585,0.6512943999704046,0.8247503467704199,2.3984375,4,26,17,5.5588235294117645,26,25,0.711360009163224
325,0.8749316259257007,0.992914205634532,0.679286596304175,0.8479245120314206,2.37890625,4,25,19,3.98,23,26,0.7346843881792886
350,0.8890628138347314,0.9947666512139665,0.7048974203393323,0.8618834431693385,2.328125,4,26,17,3.727272727272727,26,25,0.7539265313687629
375,0.8997775517955278,0.9962878717960513,0.7266728460622648,0.8806039457359054,2.30078125,4,24,16,4.314814814814815,26,25,0.772233601956466
400,0.9103099783652459,0.9975713185464894,0.749011562079861,0.8806039457359054,2.2734375,4,24,15,3.375,26,26,0.7924731100273683
