status,seed,pair_scale,perturb_eps,elapsed_sec,winner_candidate,winner_count,strict_episode_count,strongest_episode_length,winner_mi_activation,winner_ccorr_activation,stderr_tail
ok,1,0.12,0.01,16.378696499999933,2,146,0,0,False,True,
ok,1,0.12,0.02,14.846769499999937,2,130,0,0,False,True,
ok,1,0.12,0.05,13.720783299999312,2,94,0,0,False,True,
ok,1,0.25,0.01,16.497646200001327,2,146,0,0,False,True,
ok,1,0.25,0.02,14.501617300000362,2,130,0,0,False,True,
ok,1,0.25,0.05,13.866664400000445,2,94,0,0,False,True,
ok,1,0.5,0.01,16.54685260000042,2,146,0,0,False,True,
ok,1,0.5,0.02,14.871053499999107,2,130,0,0,False,True,
ok,1,0.5,0.05,13.586763300001621,2,94,0,0,False,True,
ok,1,1.0,0.01,16.330472400000872,2,146,0,0,False,True,
ok,1,1.0,0.02,14.886227300001337,2,130,0,0,False,True,
ok,1,1.0,0.05,13.623426100002689,2,94,0,0,False,True,
ok,2,0.12,0.01,16.454177399999026,2,201,0,0,False,True,
ok,2,0.12,0.02,14.836652000001777,3,99,0,0,False,True,
ok,2,0.12,0.05,13.692156299999624,3,91,0,0,False,True,
ok,2,0.25,0.01,16.39751189999879,2,201,0,0,False,True,
ok,2,0.25,0.02,14.869177299999137,3,99,0,0,False,True,
ok,2,0.25,0.05,13.741280799997185,3,91,0,0,False,True,
ok,2,0.5,0.01,16.55231939999794,2,201,0,0,False,True,
ok,2,0.5,0.02,14.885448299999553,3,99,0,0,False,True,
ok,2,0.5,0.05,13.509039099997608,3,91,0,0,False,True,
ok,2,1.0,0.01,16.346239700000297,2,201,0,0,False,True,
ok,2,1.0,0.02,14.901988199999323,3,99,0,0,False,True,
ok,2,1.0,0.05,13.613928699996904,3,91,0,0,False,True,
ok,3,0.12,0.01,11.998475899999903,3,221,0,0,False,True,
ok,3,0.12,0.02,14.409116300001187,3,185,0,0,False,True,
ok,3,0.12,0.05,14.378560500001186,3,143,0,0,False,True,
ok,3,0.25,0.01,12.21195070000249,3,221,0,0,False,True,
ok,3,0.25,0.02,14.36175159999766,3,185,0,0,False,True,
ok,3,0.25,0.05,14.548360099997808,3,143,0,0,False,True,
ok,3,0.5,0.01,12.078079800001433,3,221,0,0,False,True,
ok,3,0.5,0.02,14.14625679999881,3,185,0,0,False,True,
ok,3,0.5,0.05,14.337162100000569,3,143,0,0,False,True,
ok,3,1.0,0.01,12.146572300000116,3,221,0,0,False,True,
ok,3,1.0,0.02,14.453940500003227,3,185,0,0,False,True,
ok,3,1.0,0.05,14.463100900000427,3,143,0,0,False,True,
ok,4,0.12,0.01,12.170590099998662,7,109,0,0,False,True,
ok,4,0.12,0.02,14.192068299998937,1,97,0,0,False,False,
ok,4,0.12,0.05,14.379826100001083,1,71,0,0,False,False,
ok,4,0.25,0.01,12.128987299998698,7,109,0,0,False,True,
ok,4,0.25,0.02,14.221225100001902,1,97,0,0,False,False,
ok,4,0.25,0.05,14.39192859999821,1,71,0,0,False,False,
ok,4,0.5,0.01,12.04556489999959,7,109,0,0,False,True,
ok,4,0.5,0.02,14.201794200002041,1,97,0,0,False,False,
ok,4,0.5,0.05,14.612524799998937,1,71,0,0,False,False,
ok,4,1.0,0.01,11.916668499998195,7,109,0,0,False,True,
