t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
0,10.0,0.0,272,0,17.551605728250046,0.0645279622362134,0.2812065298510156,0.011394968819182828,0.2812065298510156,0.011394968819182828,1.2077682909853673
1,9.895833333333334,0.0,273,0,18.303242514207753,0.06704484437438737,0.26767554641978475,0.010927025626456706,0.23968837490959985,0.011129303991857674,1.2077682909853673
2,9.895833333333334,0.0,281,0,17.33826922172872,0.061702025700102206,0.25017748614807533,0.011031511939829554,0.22781374178494293,0.010567922995108241,1.2077682909853673
3,9.895833333333334,0.0,282,0,16.208802772511543,0.05747802401599838,0.23045535055867744,0.010704020398402882,0.21400054852569683,0.010070405825954833,1.2077682909853673
4,9.895833333333334,0.0,278,0,14.812175906873357,0.0532812082981056,0.21817309437898758,0.010326132357913015,0.19872147935102907,0.009545372639751477,1.2077682909853673
5,9.895833333333334,0.0,305,0,12.175801799347076,0.03992066163720353,0.22066164156676726,0.010457341126769777,0.18352612541375504,0.009044323091914682,1.2077682909853673
6,9.895833333333334,0.0,349,0,7.386328105656682,0.021164263913056397,0.23915224314848885,0.011821769798246371,0.17214880344484407,0.008712645564543816,1.2077682909853673
7,9.791666666666666,0.0,360,0,3.150995120621738,0.008752764223949272,0.2657427479379705,0.01396760487983877,0.16097156887727093,0.0085806042921427,1.2077682909853673
8,9.791666666666666,0.0,363,0,1.1807895530261803,0.003252863782441268,0.30154243185735635,0.016940967591703788,0.15816781358229892,0.008516845578156126,1.2077682909853673
9,9.791666666666666,0.0,364,0,0.4473822476355296,0.0012290721088888176,0.3284323398305185,0.019645017260792597,0.1569605400224411,0.00849078189172556,1.2077682909853673
10,9.791666666666666,0.0,365,0,0.1757699366145326,0.00048156147017680166,0.3524085671392697,0.021851864579074263,0.15644228498460827,0.00848080459387984,1.229322813196155
11,9.791666666666666,0.0,365,0,0.07275644048872204,0.0001993327136677316,0.36054578576487906,0.022495910403004322,0.15622267115836816,0.008476537509444904,1.229322813196155
12,9.791666666666666,0.0,365,0,0.031655869437071826,8.672840941663514e-05,0.36036277443648906,0.023621693198879027,0.1561262580756414,0.008474989915686692,1.229322813196155
13,9.6875,0.0,365,0,0.01463180515613239,4.008713741406134e-05,0.3438103720815884,0.021602716299916606,0.15179513843508805,0.00850927437578151,1.229322813196155
14,9.6875,0.0,365,0,0.007163674886313884,1.962650653784626e-05,0.3324710897066343,0.022261947421838284,0.1517769424591181,0.008509018666557046,1.229322813196155
15,9.6875,0.0,365,0,0.0038984013125435294,1.0680551541215149e-05,0.3111400678733324,0.018003905830348055,0.15176823557059824,0.008508862982248467,1.229322813196155
16,9.6875,0.0,365,0,0.002255729792419274,6.180081623066504e-06,0.30550938109890324,0.017676394556469997,0.15176367466420446,0.008508798989958927,1.229322813196155
17,9.6875,0.0,365,0,0.0013804429419544434,3.7820354574094343e-06,0.2963449631119533,0.015767159485170053,0.1517610886162618,0.008508754711233947,1.229322813196155
