t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
0,10.0,0.0,272,0,17.551605728250046,0.0645279622362134,0.2812065298510156,0.011394968819182828,0.28120652985101785,0.01139496881918283,1.2077682909853673
1,9.895833333333334,0.0,276,0,15.563005313513045,0.05638770041127915,0.2511686355640144,0.011783813589317604,0.2247360313716831,0.010685664556813456,1.2077682909853673
2,9.895833333333334,0.0,274,0,13.025048612958486,0.04753667376992148,0.23213026541201495,0.012045894060820876,0.1923702879565277,0.009454221520660031,1.2077682909853673
3,9.895833333333334,0.0,340,0,9.332791797378592,0.0274493876393488,0.27683438109305636,0.01299254512458867,0.15871684796824675,0.00836571668992082,1.2077682909853673
4,9.895833333333334,0.0,356,0,2.6231124546648883,0.007368293411980024,0.34478441723669256,0.018092993853216263,0.14478169751055797,0.00810647893782819,1.2077682909853673
5,9.895833333333334,0.0,359,0,0.8223587995184578,0.002290693034870356,0.2995001240942083,0.015224625372527221,0.14196056112094252,0.008055818193876785,1.2077682909853673
6,9.895833333333334,0.0,361,0,0.5223883711798241,0.001447059199944111,0.2950305716969669,0.01515846389975265,0.14044418438100317,0.00803314185580606,1.2077682909853673
7,9.791666666666666,0.0,363,0,0.3587728213910992,0.000988354879865287,0.29204558209579096,0.01510763624124304,0.1348893512972386,0.008051358827092072,1.2077682909853673
8,9.791666666666666,0.0,363,0,0.2519037252875039,0.0006939496564394046,0.29126619574576207,0.015122592504558025,0.13422078326443831,0.008043410913232431,1.2077682909853673
9,9.791666666666666,0.0,364,0,0.17838466039002832,0.0004900677483242536,0.29093714534647225,0.015224472704281964,0.1337569222407249,0.008037864402904592,1.2077682909853673
10,9.791666666666666,0.0,364,0,0.12709859312532312,0.00034917195913550307,0.2909034508891599,0.015329260292395588,0.13343112579043656,0.0080341483266729,1.2247003875126576
11,9.791666666666666,0.0,365,0,0.090994038132,0.00024929873460821916,0.2910099880758613,0.015426940227146113,0.13320034151737276,0.008032005833564454,1.2247003875126576
12,9.791666666666666,0.0,365,0,0.06540007789370175,0.00017917829559918288,0.29120688436991576,0.015513462937909315,0.13303561549171178,0.008030501140748441,1.2247003875126576
13,9.6875,0.0,365,0,0.04659563980946293,0.0001276592871492135,0.29185869923958624,0.015795866740346748,0.12938444929286158,0.008070434581316012,1.2247003875126576
14,9.6875,0.0,365,0,0.03376230362146848,9.249946197662598e-05,0.292160827572035,0.015847858060356247,0.12930162590105515,0.008069695145182281,1.2247003875126576
15,9.6875,0.0,365,0,0.02456851206569885,6.731099196081876e-05,0.292416535244847,0.01588787485200603,0.12924116870580357,0.008069163640448419,1.2247003875126576
16,9.6875,0.0,365,0,0.017928040807050412,4.9117920019316194e-05,0.29267208010837775,0.015918189577321235,0.1291969139544983,0.008068779577387249,1.2247003875126576
17,9.6875,0.0,365,0,0.013112560342410574,3.592482285591938e-05,0.2928764419738275,0.01596520374591362,0.129164439935078,0.008068500391910694,1.2247003875126576
18,9.6875,0.0,365,0,0.009610062320990856,2.6328937865728373e-05,0.29298855167828913,0.01603014708989274,0.12914055352306805,0.008068296188023662,1.2247003875126576
19,9.583333333333334,0.0,365,0,0.006982070904882638,1.9128961383240104e-05,0.2936103349924439,0.016281863938990476,0.12599333795193104,0.008113370377479882,1.2247003875126576
20,9.583333333333334,0.0,365,0,0.005143742216652867,1.4092444429185937e-05,0.2932950967848908,0.01632877653823072,0.12598052170231921,0.008113260896546001,1.251613601220356
21,9.583333333333334,0.0,365,0,0.0037995512168160234,1.040972936113979e-05,0.2931308873794319,0.016397676951404847,0.12597098152766253,0.008113178039887526,1.251613601220356
22,9.583333333333334,0.0,365,0,0.00281173753501655,7.703390506894657e-06,0.2930334604965021,0.016458417923545337,0.12596387292717023,0.008113115000543965,1.251613601220356
23,9.583333333333334,0.0,365,0,0.0020838938803566446,5.7092983023469715e-06,0.29298068360741564,0.016506301288078395,0.12595857197972293,0.00811306689684119,1.251613601220356
24,9.583333333333334,0.0,365,0,0.001546504730121404,4.236999260606586e-06,0.2929794534910511,0.01654192360730558,0.12595461572041997,0.008113030126317778,1.251613601220356
25,9.479166666666666,0.0,364,1,0.1942630221077345,0.0005336896211750948,0.9905241181700946,0.9941737765460276,0.12527923964344054,0.009336389702459097,1.251613601220356
26,9.479166666666666,0.0,364,1,0.16098880403316534,0.00044227693415704763,0.9593172797643712,0.335632398565994,0.12567954045958726,0.010219291145086514,1.251613601220356
27,9.479166666666666,0.0,364,0,0.1450319334269599,0.00039843937754659316,0.8610107087143722,0.2228019263984076,0.1258506057445758,0.010736332769586746,1.251613601220356
28,9.479166666666666,0.0,365,0,0.12255491802518215,0.00033576689869912915,0.7708937124169828,0.17499942773841945,0.12591888883778535,0.011073309452440836,1.251613601220356
29,9.479166666666666,0.0,365,0,0.09977799612396451,0.0002733643729423685,0.7152719456164085,0.15064601879474712,0.125942236181862,0.011306079110759523,1.251613601220356
30,9.479166666666666,0.0,365,0,0.07987863964377773,0.00021884558806514447,0.6774482270197003,0.13623088483944057,0.12594490071571976,0.011472680157864875,1.2606006103581286
31,9.375,0.0,365,0,0.0630513912487782,0.0001727435376678855,0.6514412276870427,0.1276087009952731,0.12335161605365985,0.01166804823838668,1.2606006103581286
32,9.375,0.0,365,0,0.04987622393271967,0.0001366471888567662,0.6323302785625676,0.12100827131187768,0.12334046391273344,0.01175953514616706,1.2606006103581286
33,9.375,0.0,365,0,0.03940296416298924,0.00010795332647394312,0.6173722751777215,0.11607022073290135,0.12332839924835551,0.011828454777956778,1.2606006103581286
34,9.375,0.0,365,0,0.031120341745037146,8.526121026037574e-05,0.60507068096104,0.11219143528107951,0.12331673877332516,0.01188081041109382,1.2606006103581286
35,9.375,0.0,365,0,0.024572975679358285,6.732322103933777e-05,0.5951910974824556,0.109061998970423,0.12330606065065,0.011920831918601804,1.2606006103581286
36,9.375,0.0,365,0,0.0193994675453171,5.3149226151553704e-05,0.5873907539724031,0.10647326421849945,0.12329660646350855,0.011951568931981278,1.2606006103581286
37,9.270833333333334,0.0,365,0,0.015106120373521765,4.13866311603336e-05,0.5824807545437738,0.10570909152064499,0.12089685441403553,0.01205468785985784,1.2606006103581286
38,9.270833333333334,0.0,365,0,0.011973981489595758,3.2805428738618516e-05,0.5756422887393386,0.10334183762877508,0.1208908266724499,0.012073124975602468,1.2606006103581286
39,9.270833333333334,0.0,365,0,0.00950983424877743,2.6054340407609396e-05,0.5691001325405182,0.10098822759735564,0.12088529502989434,0.012087387960752557,1.2606006103581286
40,9.270833333333334,0.0,365,0,0.007554355157893281,2.069686344628296e-05,0.5635119887558616,0.09880054577931975,0.12088038776932326,0.012098438306556858,1.3153077924880938
41,9.270833333333334,0.0,365,0,0.006000518765011641,1.6439777438388057e-05,0.5587433806493048,0.09677543022564161,0.12087612780176557,0.012107010472860709,1.3153077924880938
42,9.270833333333334,0.0,365,0,0.004766563597605245,1.3059078349603411e-05,0.554293087422266,0.0948729701277765,0.12087248359555092,0.012113666965449774,1.3153077924880938
43,9.177083333333334,0.0,365,0,0.0037616369449151024,1.030585464360302e-05,0.5507334115627529,0.09368929301654937,0.1196784048140306,0.01220306160272682,1.3153077924880938
44,9.177083333333334,0.0,365,0,0.002987913909792743,8.186065506281488e-06,0.5474464363803238,0.09197821104870588,0.11967572341970693,0.012207112541590813,1.3153077924880938
45,9.177083333333334,0.0,365,0,0.0023762487941896347,6.510270669012697e-06,0.5438226893242392,0.09022273443495567,0.11967347547643245,0.012210263645993272,1.3153077924880938
46,9.177083333333334,0.0,365,0,0.0018899871766092425,5.178047059203404e-06,0.5403887026484405,0.0885301159893698,0.11967159648605956,0.01221271586130773,1.3153077924880938
47,9.177083333333334,0.0,365,0,0.0015029816941806082,4.1177580662482416e-06,0.5372489556486805,0.08691772729836185,0.11967003355302999,0.012214625017311753,1.3153077924880938
48,9.177083333333334,0.0,365,0,0.0011948980320005674,3.273693238357719e-06,0.5344362621572191,0.08538770372252458,0.11966873966690363,0.012216111973614358,1.3153077924880938
49,9.078125,0.0,365,0,0.0009385412913120086,2.571346003594544e-06,0.5308729888774791,0.08493214231819829,0.1172901873940868,0.012296070393700355,1.3153077924880938
50,9.078125,0.0,364,1,0.19283202152775075,0.0005297583009004141,0.992610828388049,0.9961411841559151,0.11927771004508184,0.012256667667129087,1.438589633009388
51,9.078125,0.0,365,0,0.1533602464403229,0.0004201650587406107,0.9624583649459079,0.3581281733181861,0.11972709046165601,0.012225476476609758,1.438589633009388
52,9.078125,0.0,365,0,0.13938433781848852,0.00038187489813284526,0.8696525491209647,0.22948934967759446,0.11991072918509926,0.012237000608989341,1.438589633009388
53,9.078125,0.0,365,0,0.1195766381765615,0.0003276072278809904,0.7822034570630301,0.17574011097547185,0.1199971448188193,0.01227296166621783,1.438589633009388
54,9.078125,0.0,365,0,0.09952904869310963,0.0002726823251866017,0.7212376628025571,0.14718675864759687,0.12003720022792665,0.012322490459463178,1.438589633009388
55,8.989583333333334,0.0,365,0,0.08151503084274783,0.00022332885162396667,0.6788534361233408,0.12975629593112112,0.1191739187902604,0.012443137236022167,1.438589633009388
56,8.989583333333334,0.0,365,0,0.06633206590579371,0.00018173168741313347,0.6478038554630458,0.11779495321594102,0.11916919254331607,0.012467925077973856,1.438589633009388
57,8.989583333333334,0.0,365,0,0.053789156459935775,0.00014736755194502953,0.6244221001097716,0.10902046926186217,0.11915837444457268,0.01248967847384495,1.438589633009388
58,8.989583333333334,0.0,365,0,0.04351206234036345,0.00011921112969962588,0.6067329840527425,0.10230424878697837,0.11914512453581957,0.012510158786471727,1.438589633009388
59,8.989583333333334,0.0,365,0,0.03514534406376969,9.628861387334163e-05,0.5928898812010291,0.09696227948891378,0.11913119609253882,0.012525587302179453,1.438589633009388
60,8.989583333333334,0.0,365,0,0.028355944862819917,7.768752017210936e-05,0.5819078208878443,0.0925921628066013,0.11911776382358005,0.012537301430396074,1.3589359034087347
61,8.895833333333334,0.0,365,0,0.022741945007939517,6.230669865188909e-05,0.5734283622656783,0.08938959557040956,0.11696612898885203,0.012626462450033961,1.3589359034087347
62,8.895833333333334,0.0,365,0,0.018315181580929492,5.017857967377943e-05,0.5661820588141917,0.08654382798409861,0.11695476282683831,0.012633371956068703,1.3589359034087347
63,8.895833333333334,0.0,365,0,0.014765198008407972,4.0452597283309513e-05,0.5595030999001653,0.08406544301825299,0.11694484645434826,0.012638692118749687,1.3589359034087347
64,8.895833333333334,0.0,365,0,0.011901779767223303,3.260761580061179e-05,0.5537092976719411,0.08185328655911368,0.11693629649078106,0.012642800210555992,1.3589359034087347
65,8.895833333333334,0.0,365,0,0.009591396254348288,2.6277797957118597e-05,0.5486953633726047,0.07986560793570853,0.11692896890612187,0.012647044174028899,1.3589359034087347
66,8.895833333333334,0.0,365,0,0.0077270080809476865,2.1169885153281333e-05,0.5444612522811826,0.07807047681126274,0.11692274081152461,0.01265051340695144,1.3589359034087347
67,8.817708333333334,0.0,365,0,0.006215938528994336,1.7029968572587222e-05,0.5422989516866703,0.07652464556733501,0.1168141463925052,0.012740930429880936,1.3589359034087347
68,8.817708333333334,0.0,365,0,0.0049918279080394335,1.3676240843943653e-05,0.5381494917816022,0.0752861384101131,0.11680938842461844,0.012743054828877417,1.3589359034087347
69,8.817708333333334,0.0,365,0,0.004019115002025902,1.1011273978153156e-05,0.53476909012123,0.0740104116074935,0.11680545960286723,0.012744716938948342,1.3589359034087347
70,8.817708333333334,0.0,365,0,0.0032385073765506863,8.872622949453936e-06,0.5314321370764098,0.0727476533090012,0.11680220031963502,0.012746017598474818,1.4476930242734003
71,8.817708333333334,0.0,365,0,0.0026103169088394123,7.151553174902499e-06,0.5282384928800338,0.07152380464595569,0.11679949433766032,0.012747035769635208,1.4476930242734003
72,8.817708333333334,0.0,365,0,0.002104182438718447,5.76488339374917e-06,0.5252373717223653,0.07036411720149925,0.11679724643664467,0.012747833156394129,1.4476930242734003
73,8.729166666666666,0.0,365,0,0.0016823987624476236,4.609311677938695e-06,0.5237393166649701,0.06986076762582444,0.11439658802890583,0.012823581000640783,1.4476930242734003
74,8.729166666666666,0.0,365,0,0.0013573883742429324,3.7188722581998147e-06,0.5196657750631382,0.06876120958798579,0.11439508342470842,0.012824074044850088,1.4476930242734003
75,8.729166666666666,0.0,365,1,0.16109143392419567,0.00044134639431286487,0.9919391747602918,0.9933310901323722,0.1150808077831853,0.012789003313148384,1.4476930242734003
76,8.729166666666666,0.0,365,0,0.14155385941132675,0.0003878187929077445,0.970363467857653,0.45296415642273136,0.11543673841067686,0.012758277499448885,1.4476930242734003
77,8.729166666666666,0.0,365,0,0.13039039089081028,0.0003572339476460556,0.9062199171123623,0.2849164681460182,0.11550226434468414,0.012730043280392423,1.4476930242734003
78,8.729166666666666,0.0,365,0,0.11669341113380854,0.0003197079757090645,0.8302761263561489,0.21663892503980564,0.11549613165438911,0.012705112019757957,1.4476930242734003
79,8.666666666666666,0.0,365,0,0.10132949224428164,0.00027761504724460725,0.7706991179445138,0.1813730956488464,0.11656354923973225,0.012769421486613792,1.4476930242734003
80,8.666666666666666,0.0,365,0,0.08646239147109193,0.00023688326430436145,0.7260657212085478,0.16053154451554263,0.11652201053911071,0.012751695059484133,1.4772522375954056
81,8.666666666666666,0.0,365,0,0.07304087011455479,0.00020011197291658846,0.6928889500384579,0.14706603121331238,0.11648328113301787,0.012740438095666131,1.4772522375954056
82,8.666666666666666,0.0,365,0,0.06136099754265065,0.0001681123220346593,0.6679716831932263,0.1377807678581854,0.11644906863306631,0.012743736499441652,1.4772522375954056
83,8.666666666666666,0.0,365,0,0.051390912744342904,0.00014079702121737783,0.6489607031204361,0.13107128018767036,0.116419804626574,0.012753924247562892,1.4772522375954056
84,8.666666666666666,0.0,365,0,0.042976209962300796,0.00011774304099260491,0.6339256618605312,0.12602408797045286,0.11639492324843367,0.01276536841173487,1.4772522375954056
85,8.625,0.0,365,0,0.0358618168972767,9.825155314322384e-05,0.6227203571468529,0.12228633080119662,0.11747189019918991,0.012836575978107423,1.4772522375954056
86,8.625,0.0,365,0,0.02991158073877276,8.19495362706103e-05,0.6133166970672687,0.11936114482380836,0.11745303259698335,0.01284398785085189,1.4772522375954056
87,8.625,0.0,365,0,0.024978315130481852,6.843374008351192e-05,0.605542958580985,0.11685911166656779,0.1174374137881193,0.012850013292905742,1.4772522375954056
88,8.625,0.0,365,0,0.020856886158957567,5.714215386015772e-05,0.5995308621539869,0.1148102484774639,0.11742439964578837,0.012857880791962342,1.4772522375954056
89,8.625,0.0,365,0,0.017416577987426726,4.7716652020347194e-05,0.5946172931784736,0.11309884576133303,0.11741353636925958,0.012865663642989219,1.4772522375954056
90,8.625,0.0,365,0,0.014546624034019797,3.9853764476766565e-05,0.5903644534964434,0.1116358404910875,0.11740441004507061,0.012872071984556236,1.4017488919587648
91,8.567708333333334,0.0,365,0,0.012146038225536367,3.327681705626402e-05,0.5866081030395425,0.1104196515896741,0.11512832047856371,0.012919687511010169,1.4017488919587648
92,8.567708333333334,0.0,365,0,0.010141136817562787,2.778393648647339e-05,0.5818319345527263,0.1093789036300221,0.11512143076124312,0.012924068387169358,1.4017488919587648
93,8.567708333333334,0.0,365,0,0.008476782457934068,2.3224061528586486e-05,0.5783084525859381,0.10835154618263579,0.11511563610006761,0.012927694935700394,1.4017488919587648
94,8.567708333333334,0.0,365,0,0.007087816500218504,1.9418675343064396e-05,0.5752969576406615,0.10740182331901357,0.11511072686863583,0.012930700007026124,1.4017488919587648
95,8.567708333333334,0.0,365,0,0.005926865113390842,1.6237986612029705e-05,0.5727574542740776,0.10653507287739267,0.11510655813185691,0.012933192198589545,1.4017488919587648
96,8.567708333333334,0.0,365,0,0.004956292897149134,1.3578884649723654e-05,0.5705517186083141,0.10573737437770409,0.11510302198148012,0.012935260414060866,1.4017488919587648
97,8.505208333333334,0.0,365,0,0.00415044049218862,1.1371069841612657e-05,0.5691301427286247,0.10485361272801363,0.11366677778799143,0.012996300072683806,1.4017488919587648
98,8.505208333333334,0.0,365,0,0.0034532666118219407,9.461004415950522e-06,0.568944356606932,0.10469421207053298,0.11366401573426875,0.012997842663261167,1.4017488919587648
99,8.505208333333334,0.0,365,0,0.0028857094058842066,7.906053166806046e-06,0.5669558180575389,0.10411855142429931,0.11366172866544688,0.012999619443182514,1.4017488919587648
100,8.505208333333334,0.0,364,1,0.18192000179890414,0.0004997802247222641,0.9887134769843396,0.9869348114025158,0.11538179160906706,0.012960609917760126,1.5173156760700728
101,8.505208333333334,0.0,365,1,0.1397866195493286,0.00038297703986117426,0.9616101833707316,0.39649652234181376,0.11568954540062074,0.012930886697600924,1.5173156760700728
102,8.505208333333334,0.0,365,0,0.1287167693707705,0.00035264868320759044,0.8876112461716401,0.2604962043964029,0.11580406926853552,0.012903380965017093,1.5173156760700728
103,8.458333333333334,0.0,365,0,0.11386524596422032,0.00031195957798416525,0.8119553819941051,0.2007300720160874,0.11653510296297707,0.01294443882158173,1.5173156760700728
104,8.458333333333334,0.0,365,0,0.09845221346133512,0.0002697320916748907,0.7534019968198999,0.16771634434405205,0.11654079233576391,0.012923687298810733,1.5173156760700728
105,8.458333333333334,0.0,365,0,0.08385730753492808,0.00022974604804089886,0.7095942786711985,0.14725357448716336,0.11653117940461985,0.012906217631783252,1.5173156760700728
106,8.458333333333334,0.0,365,0,0.07078008501539046,0.00019391804113805605,0.6770586549296285,0.13345400347305172,0.11651464646682941,0.012891652860756676,1.5173156760700728
107,8.458333333333334,0.0,365,0,0.059446287347277554,0.00016286654067747275,0.6524927417190822,0.12349608995910692,0.11649541038338056,0.012891835015548133,1.5173156760700728
108,8.458333333333334,0.0,365,0,0.04981660210479018,0.0001364838413829868,0.6327267279635032,0.11587172174611464,0.11647574084663137,0.012902373500278324,1.5173156760700728
109,8.395833333333334,0.0,365,0,0.042097243406158336,0.00011533491344152968,0.6204040659005271,0.11225241724896273,0.11416165472785826,0.012968103007048678,1.5173156760700728
110,8.395833333333334,0.0,365,0,0.03483585513393184,9.544069899707353e-05,0.6032746346402496,0.10531662121578039,0.11413736571549188,0.012984497768414939,1.4255824995481603
111,8.395833333333334,0.0,365,0,0.028986272560746523,7.941444537190828e-05,0.5913649100362843,0.10166351739604287,0.11411645393119446,0.012999626738323255,1.4255824995481603
112,8.395833333333334,0.0,365,0,0.02416629077398177,6.620901581912814e-05,0.582559309957467,0.09826660572149978,0.11409833043421741,0.013011693121996704,1.4255824995481603
113,8.395833333333334,0.0,365,0,0.020172127347222936,5.526610232115873e-05,0.5752949672001735,0.09515489816141476,0.11408252945317268,0.01302134253680094,1.4255824995481603
114,8.395833333333334,0.0,365,0,0.01684905107242799,4.616178376007669e-05,0.569109868458714,0.09232113211904311,0.11406876340072669,0.013029079694615461,1.4255824995481603
115,8.34375,0.0,365,0,0.01433905115846714,3.9285071667033264e-05,0.5715155842598112,0.09149808688201147,0.11429617433588306,0.013103445742533242,1.4255824995481603
