t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,27,6,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,8,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18506493506493507,0.03210774650069725,0.0030106818603606628,1.005999100040499
2,33,3,30,2,1,1,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.16558441558441558,0.08485726042216069,0.0049563964471251,1.011992801295889
3,24,6,18,1,1,0,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.15692640692640691,0.15765182506233846,0.006844903788409973,1.0179757098396023
4,15,2,13,0,0,0,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.2662337662337662,0.23602647976309193,0.007362643724014623,1.0239424414577838
5,28,9,19,0,0,0,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.18398268398268397,0.31559973212680975,0.007497282841064605,1.0298876264947199
6,28,6,22,1,0,1,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.16774891774891776,0.3985280036223922,0.007819262647215827,1.0358059146851648
7,27,6,21,1,0,1,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.16558441558441558,0.4804704438887138,0.0077630450200028315,1.04169197996922
8,18,4,14,0,0,0,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.17532467532467533,0.561909914004692,0.007753973954098595,1.0475405252854268
9,14,3,11,1,0,1,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.18831168831168832,0.6370998374419662,0.007233153793575265,1.0533462873377661
10,16,2,14,0,0,0,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.15043290043290045,0.7037343882491215,0.006464689303728426,1.0591040413322679
11,24,5,19,2,0,2,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.15043290043290045,0.7635007515344254,0.0059331351519665496,1.0648086056789736
12,18,5,13,2,0,2,0.0307692307692303,0.034632034632034486,-0.003862803862804187,0.0307692307692303,0.034632034632034486,-0.003862803862804187,0.15043290043290045,0.8187966798669684,0.005567226988471606,1.0704548466550179
13,24,4,20,0,0,0,0.028985507246376392,0.03187250996015924,-0.002887002713782845,0.028985507246376392,0.03187250996015924,-0.002887002713782845,0.15043290043290045,0.8691634205589195,0.005180844841981278,1.0760376830246323
14,23,5,18,0,0,0,0.027027027027026664,0.02973977695167275,-0.002712749924646086,0.027027027027026664,0.02973977695167275,-0.002712749924646086,0.15043290043290045,0.916650702317449,0.004966222092344366,1.081552090611914
15,21,7,14,0,0,0,0.024691358024691055,0.028268551236749016,-0.003577193212057961,0.024691358024691055,0.028268551236749016,-0.003577193212057961,0.15043290043290045,0.9624109734498191,0.004833766122367827,1.086993106822246
16,21,5,16,0,0,0,0.023255813953488105,0.026755852842809274,-0.0035000388893211692,0.023255813953488105,0.026755852842809274,-0.0035000388893211692,0.15367965367965367,1.0057965231395105,0.004598516845088836,1.0923558351082965
17,21,8,13,0,0,0,0.021276595744680625,0.025641025641025557,-0.004364429896344932,0.021276595744680625,0.025641025641025557,-0.004364429896344932,0.15043290043290045,1.0474416327411935,0.004531170007600123,1.0976354493765814
18,23,7,16,0,0,0,0.019801980198019608,0.02439024390243895,-0.004588263704419341,0.019801980198019608,0.02439024390243895,-0.004588263704419341,0.15151515151515152,1.0865402614992516,0.0043581257363660975,1.1028271983306226
19,20,2,18,0,0,0,0.01941747572815515,0.023121387283236927,-0.0037039115550817764,0.01941747572815515,0.023121387283236927,-0.0037039115550817764,0.15043290043290045,1.1224619340551643,0.004085563350315688,1.1079264097467938
20,27,8,19,0,0,0,0.01801801801801786,0.02191780821917802,-0.0038997902011601616,0.01801801801801786,0.02191780821917802,-0.0038997902011601616,0.15043290043290045,1.1570262402441318,0.004039040675196616,1.112928494679007
