bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3876.0,15202.0,0.020123839009287922,0.017826601762925928,0.002297237246361994
1,0.39269908169872414,3989.0,15017.0,0.022562045625470036,0.01864553506026503,0.003916510565205006
2,0.6544984694978735,4235.0,15025.0,0.016765053128689488,0.015973377703826952,0.0007916754248625361
3,0.916297857297023,4456.0,14915.0,0.01750448833034111,0.016292323164599394,0.0012121651657417166
4,1.1780972450961724,4484.0,15203.0,0.017618198037466545,0.01591791093863053,0.001700287098836014
5,1.4398966328953218,4407.0,15349.0,0.019514408894939866,0.020001303016483157,-0.0004868941215432909
6,1.7016960206944711,4467.0,15115.0,0.01746138347884486,0.017929209394641082,-0.0004678259157962217
7,1.9634954084936205,4427.0,15011.0,0.02078156765303817,0.018986076876956897,0.0017954907760812724
8,2.22529479629277,4239.0,15044.0,0.021467327199811273,0.017415580962509968,0.0040517462373013055
9,2.4870941840919194,4182.0,14959.0,0.018173122907699662,0.017715087906945648,0.0004580350007540139
10,2.748893571891069,3853.0,15089.0,0.020763041785621588,0.01908675193849824,0.0016762898471233481
11,3.010692959690218,3751.0,15238.0,0.019194881364969336,0.019621997637485233,-0.00042711627251589696
12,3.2724923474893677,3567.0,15154.0,0.01654051023268853,0.01662927279926092,-8.876256657238887e-05
13,3.534291735288517,3380.0,15049.0,0.017751479289940822,0.019602631404080004,-0.0018511521141391825
14,3.7960911230876664,3303.0,14967.0,0.018165304268846497,0.017839246341952292,0.0003260579268942049
15,4.057890510886816,3120.0,14769.0,0.018910256410256406,0.0161148351276322,0.0027954212826242046
16,4.319689898685965,3127.0,15055.0,0.016949152542372878,0.019129857190302222,-0.002180704647929344
17,4.581489286485114,3026.0,15081.0,0.014210178453403829,0.017903322060871293,-0.0036931436074674646
18,4.843288674284264,2906.0,14823.0,0.016517549896765307,0.020643594414086214,-0.004126044517320907
19,5.105088062083413,3118.0,15014.0,0.017318794098781266,0.01931530571466631,-0.0019965116158850438
20,5.3668874498825625,3260.0,14932.0,0.0156441717791411,0.020024109295472808,-0.004379937516331707
21,5.6286868376817125,3280.0,14892.0,0.015853658536585363,0.018130539887187748,-0.0022768813506023854
22,5.890486225480862,3527.0,15084.0,0.0172951516869861,0.015645717316361704,0.0016494343706243975
23,6.152285613280011,3562.0,14730.0,0.01628298708590679,0.017447386286490153,-0.0011643992005833624
