t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,27,6,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,8,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18506493506493507,0.03153174650069725,0.002719772769451575,1.0
2,33,3,30,2,1,1,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.16558441558441558,0.08324269127930355,0.004431721122449781,1.0
3,24,6,18,1,1,0,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.15692640692640691,0.15465977748976703,0.006148799892306067,1.0
4,15,2,13,0,0,0,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.21753246753246752,0.2324012215912722,0.006680238228615798,1.0
5,28,9,19,0,0,0,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.16666666666666666,0.312496892398835,0.006903858797231577,1.0
6,28,6,22,1,0,1,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.15151515151515152,0.39708748254795034,0.007258538860697073,1.0
7,27,6,21,1,0,1,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.16558441558441558,0.4813024592910274,0.007253140892190554,1.0
8,17,3,14,0,0,0,0.04081632653061141,0.01724137931034473,0.02357494722026668,0.04081632653061141,0.01724137931034473,0.02357494722026668,0.1525974025974026,0.564851466892369,0.0072509261888727096,1.0
9,14,3,11,0,0,0,0.03846153846153772,0.01621621621621613,0.02224532224532159,0.03846153846153772,0.01621621621621613,0.02224532224532159,0.15043290043290045,0.6430037590553858,0.006815418770574992,1.0
10,16,2,14,0,0,0,0.03703703703703635,0.015075376884422035,0.02196166015261431,0.03703703703703635,0.015075376884422035,0.02196166015261431,0.15043290043290045,0.7105214976858415,0.005972453552447682,1.0
11,24,4,20,2,1,1,0.05172413793103359,0.018264840182648318,0.03345929774838527,0.05172413793103359,0.018264840182648318,0.03345929774838527,0.15043290043290045,0.7719983431931641,0.005480403604764631,1.0
12,19,6,13,0,0,0,0.04687499999999927,0.017241379310344754,0.029633620689654517,0.04687499999999927,0.017241379310344754,0.029633620689654517,0.15043290043290045,0.8295066984154132,0.005219185151788191,1.0
13,23,6,17,1,0,1,0.04285714285714225,0.020080321285140482,0.022776821572001765,0.04285714285714225,0.020080321285140482,0.022776821572001765,0.15151515151515152,0.8835620545627504,0.004984733436622981,1.0
