bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3742.0,15223.0,0.01950828433992517,0.017736320042041644,0.0017719642978835243
1,0.39269908169872414,3739.0,15065.0,0.018454132120887933,0.017258546299369397,0.0011955858215185362
2,0.6544984694978735,3809.0,14938.0,0.0204778156996587,0.016802784844021954,0.0036750308556367448
3,0.916297857297023,3686.0,15011.0,0.019262072707542047,0.018253280927319964,0.0010087917802220833
4,1.1780972450961724,3680.0,14988.0,0.01929347826086956,0.01794769148652255,0.0013457867743470117
5,1.4398966328953218,3889.0,15183.0,0.018770892260221134,0.018178225647105313,0.0005926666131158206
6,1.7016960206944711,3754.0,15200.0,0.01891315929675013,0.017499999999999998,0.001413159296750132
7,1.9634954084936205,3721.0,15021.0,0.017468422467078738,0.020171759536648688,-0.0027033370695699506
8,2.22529479629277,3712.0,15291.0,0.019396551724137925,0.017265057877182653,0.0021314938469552715
9,2.4870941840919194,3770.0,14963.0,0.021485411140583548,0.016774710953685757,0.004710700186897791
10,2.748893571891069,3771.0,15157.0,0.01750198886237072,0.019265026060566074,-0.0017630371981953545
11,3.010692959690218,3806.0,15082.0,0.015764582238570673,0.018697785439596867,-0.0029332032010261945
12,3.2724923474893677,3687.0,14897.0,0.015730946569026304,0.018191582197757936,-0.002460635628731632
13,3.534291735288517,3802.0,14773.0,0.014203051025775904,0.018344276721045147,-0.004141225695269243
14,3.7960911230876664,3729.0,15013.0,0.017430946634486452,0.01711849730233797,0.0003124493321484817
15,4.057890510886816,3708.0,14943.0,0.01914778856526429,0.01840326574315733,0.0007445228221069598
16,4.319689898685965,3747.0,14959.0,0.02401921537229783,0.017447690353633263,0.006571525018664568
17,4.581489286485114,3860.0,15185.0,0.020207253886010357,0.01666117879486335,0.003546075091147006
18,4.843288674284264,3756.0,14983.0,0.023162939297124596,0.018554361609824467,0.004608577687300129
19,5.105088062083413,3745.0,14758.0,0.01762349799732977,0.018159642227944164,-0.0005361442306143945
20,5.3668874498825625,3698.0,14914.0,0.014602487831260136,0.01843905055652407,-0.003836562725263932
21,5.6286868376817125,3651.0,14921.0,0.01533826348945494,0.020776087393606323,-0.005437823904151384
22,5.890486225480862,3764.0,14901.0,0.018862911795961737,0.01711294543990336,0.0017499663560583759
23,6.152285613280011,3668.0,14952.0,0.01908396946564885,0.017790262172284643,0.001293707293364206
