bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3789.0,15182.0,0.021641594088149904,0.017652483203793964,0.00398911088435594
1,0.39269908169872414,3727.0,15014.0,0.01797692514086396,0.017650193153057145,0.00032673198780681575
2,0.6544984694978735,3839.0,15159.0,0.019796822089085696,0.01761329903027904,0.002183523058806657
3,0.916297857297023,3705.0,14993.0,0.02483130904183535,0.018541986260254783,0.006289322781580568
4,1.1780972450961724,3720.0,15164.0,0.02284946236559139,0.017541545766288576,0.005307916599302815
5,1.4398966328953218,3696.0,15049.0,0.022456709956709953,0.01767559306266197,0.004781116894047983
6,1.7016960206944711,3664.0,14944.0,0.021834061135371174,0.016059957173447534,0.005774103961923641
7,1.9634954084936205,3861.0,14914.0,0.01709401709401709,0.016293415582673994,0.0008006015113430943
8,2.22529479629277,3645.0,15048.0,0.01947873799725651,0.01787612971823498,0.00160260827902153
9,2.4870941840919194,3817.0,15092.0,0.017029080429656795,0.01643254704479194,0.000596533384864855
10,2.748893571891069,3827.0,14952.0,0.016461980663705248,0.01732209737827715,-0.0008601167145719027
11,3.010692959690218,3770.0,15281.0,0.01538461538461538,0.015967541391270202,-0.0005829260066548218
12,3.2724923474893677,3673.0,14823.0,0.023141845902531984,0.01673075625716791,0.006411089645364073
13,3.534291735288517,3731.0,15058.0,0.01661752881265076,0.01653606056581219,8.146824683856815e-05
14,3.7960911230876664,3714.0,15077.0,0.019116855142703282,0.018902964780791932,0.00021389036191134941
15,4.057890510886816,3681.0,15057.0,0.018473240967128494,0.016138673042438732,0.0023345679246897615
16,4.319689898685965,3625.0,14693.0,0.014896551724137928,0.019056693663649354,-0.004160141939511426
17,4.581489286485114,3772.0,14781.0,0.01590668080593849,0.018604965834517283,-0.0026982850285787938
18,4.843288674284264,3631.0,14922.0,0.015973561002478653,0.019367377027208147,-0.0033938160247294936
19,5.105088062083413,3721.0,14960.0,0.0180059123891427,0.015708556149732617,0.0022973562394100824
20,5.3668874498825625,3731.0,15151.0,0.017153578129187882,0.01907464853805029,-0.0019210704088624096
21,5.6286868376817125,3608.0,14974.0,0.015521064301552102,0.016762388139441697,-0.0012413238378895953
22,5.890486225480862,3751.0,15050.0,0.01972807251399626,0.019601328903654482,0.0001267436103417792
23,6.152285613280011,3698.0,14811.0,0.015954570037858298,0.017351968131793936,-0.0013973980939356381
