t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,27,6,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,8,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15692640692640691,0.029835164682515434,0.0026034091330879344,1.005999100040499
2,33,3,30,2,1,1,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.1590909090909091,0.07734084866112173,0.004143236273964929,1.011992801295889
3,24,6,18,1,1,0,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.15043290043290045,0.14388321306562157,0.005814254437760626,1.0179757098396023
4,15,2,13,0,0,0,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.21645021645021645,0.2164507597739053,0.006325006014937252,1.0239424414577838
5,28,9,19,0,0,0,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.1634199134199134,0.2903995332766163,0.00648171390451825,1.0298876264947199
6,28,6,22,1,0,1,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.15043290043290045,0.36722913417301123,0.006725477274120858,1.0358059146851648
7,27,6,21,1,0,1,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.15584415584415584,0.44412397471466913,0.006750049988513842,1.04169197996922
8,18,4,14,0,0,0,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.15151515151515152,0.5204801819121013,0.0067563178455121225,1.0475405252854268
9,14,3,11,1,0,1,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.1774891774891775,0.5914560426932549,0.0063335358544900355,1.0533462873377661
10,16,2,14,0,0,0,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.15043290043290045,0.6543911329914575,0.005649299511178062,1.0591040413322679
11,24,5,19,2,0,2,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.15043290043290045,0.7112332649710432,0.0052382026115785135,1.0648086056789736
12,18,5,13,2,0,2,0.0307692307692303,0.034632034632034486,-0.003862803862804187,0.0307692307692303,0.034632034632034486,-0.003862803862804187,0.15043290043290045,0.7652217507713205,0.005035869169387455,1.0704548466550179
13,24,4,20,0,0,0,0.028985507246376392,0.03187250996015924,-0.002887002713782845,0.028985507246376392,0.03187250996015924,-0.002887002713782845,0.1525974025974026,0.8153236474055522,0.004752449331656043,1.0760376830246323
14,23,5,18,0,0,0,0.027027027027026664,0.02973977695167275,-0.002712749924646086,0.027027027027026664,0.02973977695167275,-0.002712749924646086,0.15151515151515152,0.863384238913831,0.00462544326569178,1.081552090611914
15,21,7,14,0,0,0,0.024691358024691055,0.028268551236749016,-0.003577193212057961,0.024691358024691055,0.028268551236749016,-0.003577193212057961,0.15043290043290045,0.9104030756599638,0.00453634588497145,1.086993106822246
16,21,5,16,0,0,0,0.023255813953488105,0.026755852842809274,-0.0035000388893211692,0.023255813953488105,0.026755852842809274,-0.0035000388893211692,0.15043290043290045,0.9551691749183726,0.0043026490418554345,1.0923558351082965
17,21,8,13,0,0,0,0.021276595744680625,0.025641025641025557,-0.004364429896344932,0.021276595744680625,0.025641025641025557,-0.004364429896344932,0.15043290043290045,0.9986824993009221,0.004302283833007407,1.0976354493765814
18,23,7,16,0,0,0,0.019801980198019608,0.02439024390243895,-0.004588263704419341,0.019801980198019608,0.02439024390243895,-0.004588263704419341,0.1525974025974026,1.0396054959444725,0.004147627967425712,1.1028271983306226
19,20,2,18,0,0,0,0.01941747572815515,0.023121387283236927,-0.0037039115550817764,0.01941747572815515,0.023121387283236927,-0.0037039115550817764,0.15043290043290045,1.0778558343948923,0.003949113910014072,1.1079264097467938
20,27,8,19,0,0,0,0.01801801801801786,0.02191780821917802,-0.0038997902011601616,0.01801801801801786,0.02191780821917802,-0.0038997902011601616,0.15043290043290045,1.1150679976434021,0.003917958568728829,1.112928494679007
21,30,4,26,0,0,0,0.017391304347825938,0.02046035805626593,-0.003069053708439993,0.017391304347825938,0.02046035805626593,-0.003069053708439993,0.15043290043290045,1.1518785506395028,0.003926604772601303,1.1178289515884539
