t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,27,6,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,8,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18506493506493507,0.03210774650069725,0.0030106818603606628,1.0089986500607486
2,33,3,30,2,1,1,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.16558441558441558,0.08485726042216069,0.0049563964471251,1.0179892019438335
3,24,6,18,1,1,0,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.15692640692640691,0.15765182506233846,0.006844903788409973,1.0269635647594033
4,15,2,13,0,0,0,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.2662337662337662,0.23602647976309193,0.007362643724014623,1.0359136621866758
5,28,9,19,0,0,0,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.18398268398268397,0.31559973212680975,0.007497282841064605,1.0448314397420797
6,28,6,22,1,0,1,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.16774891774891776,0.3985280036223922,0.007819262647215827,1.0537088720277472
7,27,6,21,1,0,1,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.16558441558441558,0.4804704438887138,0.0077630450200028315,1.0625379699538298
8,18,4,14,0,0,0,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.17532467532467533,0.561909914004692,0.007753973954098595,1.0713107879281403
9,14,3,11,1,0,1,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.18831168831168832,0.6370998374419662,0.007233153793575265,1.0800194310066493
10,16,2,14,0,0,0,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.15043290043290045,0.7037343882491215,0.006464689303728426,1.0886560619984018
11,24,5,19,2,0,2,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.15043290043290045,0.7635007515344254,0.0059331351519665496,1.0972129085184605
12,19,6,13,2,2,0,0.06060606060605969,0.02597402597402586,0.034632034632033834,0.06060606060605969,0.02597402597402586,0.034632034632033834,0.15043290043290045,0.8187966798669684,0.005567226988471606,1.105682269982527
13,25,5,20,1,0,1,0.056338028169013295,0.02788844621513933,0.028449581953873964,0.056338028169013295,0.02788844621513933,0.028449581953873964,0.15151515151515152,0.8706031841973074,0.005302647122480646,1.1140565245369485
14,24,6,18,1,1,0,0.0649350649350641,0.026022304832713655,0.03891276010235044,0.0649350649350641,0.026022304832713655,0.03891276010235044,0.15043290043290045,0.9182328846142105,0.0049421127221338625,1.122328135917871
15,19,6,13,0,0,0,0.060240963855420965,0.024822695035460904,0.03541826881996006,0.060240963855420965,0.024822695035460904,0.03541826881996006,0.15043290043290045,0.962973868312664,0.004692982783559818,1.1304896602333692
16,23,5,18,0,0,0,0.05681818181818118,0.023333333333333255,0.03348484848484792,0.05681818181818118,0.023333333333333255,0.03348484848484792,0.15043290043290045,1.0080098612208814,0.004807537514880831,1.1385337526624448
17,20,4,16,0,0,0,0.05434782608695594,0.022151898734177142,0.03219592735277879,0.05434782608695594,0.022151898734177142,0.03219592735277879,0.15043290043290045,1.0526820635931566,0.00483722951871696,1.1464531740648722
18,24,6,18,1,0,1,0.05102040816326479,0.02395209580838316,0.027068312354881628,0.05102040816326479,0.02395209580838316,0.027068312354881628,0.15043290043290045,1.0957073715052412,0.004723397188410307,1.154240797495934
