t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,27,6,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,8,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18506493506493507,0.03153174650069725,0.002719772769451575,1.0089986500607486
2,33,3,30,2,1,1,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.05882352941176125,0.014925373134328136,0.04389815627743311,0.16558441558441558,0.08324269127930355,0.004431721122449781,1.0179892019438335
3,24,6,18,1,1,0,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.08695652173912666,0.011764705882352804,0.07519181585677386,0.15692640692640691,0.15465977748976703,0.006148799892306067,1.0269635647594033
4,15,2,13,0,0,0,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.07999999999999681,0.010204081632652958,0.06979591836734385,0.21753246753246752,0.2324012215912722,0.006680238228615798,1.0359136621866758
5,28,9,19,0,0,0,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.05882352941176297,0.008547008547008475,0.050276520864754495,0.16666666666666666,0.312496892398835,0.006903858797231577,1.0448314397420797
6,28,6,22,1,0,1,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.04999999999999875,0.01438848920863299,0.03561151079136576,0.15151515151515152,0.39708748254795034,0.007258538860697073,1.0537088720277472
7,27,6,21,1,0,1,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.04347826086956427,0.018749999999999885,0.024728260869564388,0.16558441558441558,0.4813024592910274,0.007253140892190554,1.0625379699538298
8,18,4,14,0,0,0,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.039999999999999196,0.01724137931034473,0.022758620689654466,0.1525974025974026,0.564851466892369,0.0072509261888727096,1.0713107879281403
9,14,3,11,1,0,1,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.03773584905660306,0.021621621621621505,0.016114227434981553,0.15043290043290045,0.6424031535513641,0.006786074367544333,1.0800194310066493
10,16,2,14,0,0,0,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.0363636363636357,0.020100502512562714,0.01626313385107299,0.1525974025974026,0.7111404337123753,0.006049002077586691,1.0886560619984018
11,24,5,19,2,0,2,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.03333333333333278,0.027522935779816387,0.005810397553516391,0.15043290043290045,0.7741669468655131,0.005664317551490216,1.0972129085184605
12,19,6,13,2,2,0,0.06060606060605969,0.02597402597402586,0.034632034632033834,0.06060606060605969,0.02597402597402586,0.034632034632033834,0.15584415584415584,0.8325015805767728,0.0053361170947598445,1.105682269982527
13,25,5,20,1,0,1,0.056338028169013295,0.02788844621513933,0.028449581953873964,0.056338028169013295,0.02788844621513933,0.028449581953873964,0.15043290043290045,0.8867460793401548,0.005036879652808395,1.1140565245369485
14,24,6,18,1,1,0,0.0649350649350641,0.026022304832713655,0.03891276010235044,0.0649350649350641,0.026022304832713655,0.03891276010235044,0.15151515151515152,0.9362862131888652,0.004687990248738104,1.122328135917871
15,19,6,13,0,0,0,0.060240963855420965,0.024822695035460904,0.03541826881996006,0.060240963855420965,0.024822695035460904,0.03541826881996006,0.1525974025974026,0.9825315210587768,0.004430932556363184,1.1304896602333692
16,23,5,18,0,0,0,0.05681818181818118,0.023333333333333255,0.03348484848484792,0.05681818181818118,0.023333333333333255,0.03348484848484792,0.15043290043290045,1.0288296490748674,0.004533454999262173,1.1385337526624448
17,20,4,16,0,0,0,0.05434782608695594,0.022151898734177142,0.03219592735277879,0.05434782608695594,0.022151898734177142,0.03219592735277879,0.15043290043290045,1.074585566821551,0.004557804679156533,1.1464531740648722
18,24,6,18,1,0,1,0.05102040816326479,0.02395209580838316,0.027068312354881628,0.05102040816326479,0.02395209580838316,0.027068312354881628,0.15043290043290045,1.1188192608429668,0.004440448348443689,1.154240797495934
19,18,5,13,0,0,0,0.048543689320387884,0.0230547550432276,0.025488934277160286,0.048543689320387884,0.0230547550432276,0.025488934277160286,0.15043290043290045,1.1598606273981635,0.004218025031631477,1.1618896146201907
20,33,8,25,0,0,0,0.04504504504504464,0.02150537634408596,0.02353966870095868,0.04504504504504464,0.02150537634408596,0.02353966870095868,0.1525974025974026,1.1976833451695679,0.003992907705361451,1.1693927420185106
21,30,5,25,0,0,0,0.0431034482758617,0.020151133501259393,0.022952314774602304,0.0431034482758617,0.020151133501259393,0.022952314774602304,0.15043290043290045,1.235463522191573,0.004043545542408354,1.176743427382681
22,23,2,21,1,0,1,0.04237288135593185,0.021531100478468845,0.020841780877463002,0.04237288135593185,0.021531100478468845,0.020841780877463002,0.15043290043290045,1.2706415380946292,0.003867957567772253,1.18393505559203
23,23,3,20,1,1,0,0.049586776859503724,0.020547945205479402,0.029038831654024322,0.049586776859503724,0.020547945205479402,0.029038831654024322,0.15043290043290045,1.3031581172828512,0.0036875454401965593,1.1909611546665904
24,24,10,14,0,0,0,0.045801526717556905,0.019911504424778716,0.02589002229277819,0.045801526717556905,0.019911504424778716,0.02589002229277819,0.15043290043290045,1.3339552768426395,0.0035820877818198683,1.197815401591442
25,27,3,24,0,0,0,0.04477611940298474,0.018907563025210045,0.025868556377774694,0.04477611940298474,0.018907563025210045,0.025868556377774694,0.15043290043290045,1.362487564269562,0.003423337995388295,1.2044916280070002
26,26,8,18,2,1,1,0.04929577464788698,0.020242914979757044,0.029052859668129937,0.04929577464788698,0.020242914979757044,0.029052859668129937,0.15043290043290045,1.391290627074849,0.0034958999829067566,1.210983825760123
27,15,4,11,0,0,0,0.047945205479451726,0.01980198019801976,0.028143225281431965,0.047945205479451726,0.01980198019801976,0.028143225281431965,0.15043290043290045,1.4177018403721846,0.0033426232600004243,1.2172861523110428
28,21,5,16,0,0,0,0.04635761589403943,0.01919385796545102,0.02716375792858841,0.04635761589403943,0.01919385796545102,0.02716375792858841,0.15043290043290045,1.4418861757585517,0.003187150156192277,1.2233929359912579
29,21,5,16,0,0,0,0.04487179487179459,0.018621973929236462,0.026249820942558125,0.04487179487179459,0.018621973929236462,0.026249820942558125,0.15043290043290045,1.4644350421752523,0.0030881010959387806,1.2292986811076516
30,23,5,18,0,0,0,0.043478260869564946,0.018018018018017983,0.025460242851546962,0.043478260869564946,0.018018018018017983,0.025460242851546962,0.15043290043290045,1.4858014261810792,0.0030268990067207797,1.234998072888245
31,31,7,24,0,0,0,0.04166666666666642,0.017271157167530193,0.024395509499136228,0.04166666666666642,0.017271157167530193,0.024395509499136228,0.15043290043290045,1.5063658585622623,0.0029832068998360156,1.240485982265133
32,28,6,22,0,0,0,0.040229885057471035,0.01663893510815305,0.023590949949317985,0.040229885057471035,0.01663893510815305,0.023590949949317985,0.1525974025974026,1.526664077857621,0.0029836993510984964,1.2457574704902994
33,17,4,13,0,0,0,0.03932584269662899,0.016286644951140038,0.023039197745488953,0.03932584269662899,0.016286644951140038,0.023039197745488953,0.15043290043290045,1.5459510650069448,0.0029298584292376324,1.2508077935801563
34,24,5,19,2,0,2,0.03825136612021837,0.01895734597156395,0.01929402014865442,0.03825136612021837,0.01895734597156395,0.01929402014865442,0.15043290043290045,1.5648418855056694,0.002928567406716726,1.2556324065848088
35,28,7,21,0,0,0,0.036842105263157704,0.01834862385321098,0.018493481409946725,0.036842105263157704,0.01834862385321098,0.018493481409946725,0.15043290043290045,1.5836650257103932,0.0029530011664671944,1.260226967678205
36,23,6,17,1,1,0,0.04081632653061204,0.017883755588673594,0.022932570941938447,0.04081632653061204,0.017883755588673594,0.022932570941938447,0.15043290043290045,1.6017931450516862,0.002921240553498203,1.2645873420654843
37,28,6,22,0,0,0,0.03960396039603941,0.01731601731601729,0.02228794308002212,0.03960396039603941,0.01731601731601729,0.02228794308002212,0.15043290043290045,1.6198201562425312,0.002924625762254163,1.2687096057040144
