bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3862.0,15079.0,0.019678922837907814,0.01856887061476225,0.0011100522231455648
1,0.39269908169872414,4204.0,14881.0,0.02117031398667935,0.01861434043411061,0.0025559735525687403
2,0.6544984694978735,4454.0,15158.0,0.021553659631791643,0.018010291595197254,0.003543368036594389
3,0.916297857297023,4618.0,14955.0,0.018406236466002594,0.016516215312604478,0.0018900211533981158
4,1.1780972450961724,4765.0,15286.0,0.01972717733473242,0.017466963234332066,0.0022602141004003547
5,1.4398966328953218,4855.0,15094.0,0.022039134912461376,0.01715913608056181,0.004879998831899567
6,1.7016960206944711,4960.0,15236.0,0.022782258064516125,0.018902599107377262,0.0038796589571388623
7,1.9634954084936205,4791.0,15060.0,0.018785222291797115,0.01593625498007968,0.002848967311717434
8,2.22529479629277,4622.0,15034.0,0.019255733448723493,0.01982173739523746,-0.0005660039465139668
9,2.4870941840919194,4558.0,15186.0,0.016893374286967966,0.017911234031344658,-0.0010178597443766917
10,2.748893571891069,4223.0,15094.0,0.018943878759175938,0.017887902477805747,0.0010559762813701912
11,3.010692959690218,3897.0,15285.0,0.019245573518090836,0.018122342165521752,0.0011232313525690839
12,3.2724923474893677,3708.0,15028.0,0.013754045307443362,0.017700292786797973,-0.0039462474793546115
13,3.534291735288517,3651.0,15036.0,0.022185702547247325,0.019220537376961954,0.0029651651702853714
14,3.7960911230876664,3733.0,14881.0,0.01473345834449504,0.017337544519857535,-0.0026040861753624956
15,4.057890510886816,3767.0,15076.0,0.015396867533846559,0.018041920933934728,-0.002645053400088169
16,4.319689898685965,3729.0,14974.0,0.019576293912577095,0.01769734205956992,0.0018789518530071755
17,4.581489286485114,3770.0,14807.0,0.01511936339522546,0.018032011886270006,-0.0029126484910445456
18,4.843288674284264,3861.0,14833.0,0.017612017612017607,0.018337490730128764,-0.0007254731181111571
19,5.105088062083413,3664.0,14970.0,0.019104803493449778,0.01843687374749499,0.0006679297459547887
20,5.3668874498825625,3759.0,14694.0,0.01995211492418196,0.017966516945692117,0.0019855979784898434
21,5.6286868376817125,3759.0,14914.0,0.018355945730247403,0.018371999463591256,-1.6053733343852905e-05
22,5.890486225480862,3661.0,15025.0,0.017208413001912042,0.018036605657237935,-0.0008281926553258927
23,6.152285613280011,3785.0,14835.0,0.01743725231175693,0.016852039096730703,0.0005852132150262271
