bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3886.0,15088.0,0.020586721564590835,0.01570784729586426,0.004878874268726574
1,0.39269908169872414,4203.0,15056.0,0.019747799191054006,0.016405419766206162,0.003342379424847844
2,0.6544984694978735,4396.0,14943.0,0.019790718835304817,0.016596399652010974,0.003194319183293843
3,0.916297857297023,4572.0,14848.0,0.01596675415573053,0.018925107758620687,-0.0029583536028901583
4,1.1780972450961724,4886.0,14962.0,0.01944330740892345,0.01717684801497126,0.0022664593939521922
5,1.4398966328953218,4819.0,15235.0,0.01743100228263125,0.017262881522809317,0.00016812075982193184
6,1.7016960206944711,4926.0,15380.0,0.02172147787251319,0.017945383615084524,0.003776094257428666
7,1.9634954084936205,4903.0,15077.0,0.01917193554966347,0.016846852822179476,0.0023250827274839923
8,2.22529479629277,4637.0,14987.0,0.015527280569333618,0.016614399145926467,-0.0010871185765928496
9,2.4870941840919194,4411.0,15008.0,0.016096123328043523,0.01779051172707889,-0.0016943883990353653
10,2.748893571891069,4181.0,14944.0,0.02056924180817986,0.018870449678800853,0.001698792129379005
11,3.010692959690218,3900.0,15025.0,0.016666666666666663,0.017371048252911813,-0.0007043815862451501
12,3.2724923474893677,3750.0,14933.0,0.021866666666666663,0.018616486975155694,0.003250179691510969
13,3.534291735288517,3923.0,14910.0,0.01733367320927861,0.017169684775318578,0.00016398843396003143
14,3.7960911230876664,3799.0,14960.0,0.016846538562779675,0.01905080213903743,-0.0022042635762577548
15,4.057890510886816,3698.0,14918.0,0.01379123850730124,0.0164901461321893,-0.0026989076248880584
16,4.319689898685965,3808.0,15054.0,0.021533613445378148,0.019396838049687788,0.0021367753956903594
17,4.581489286485114,3779.0,14774.0,0.017729558084149243,0.01753079734669013,0.00019876073745911382
18,4.843288674284264,3732.0,14885.0,0.014737406216505891,0.018206247900571043,-0.003468841684065152
19,5.105088062083413,3833.0,14769.0,0.02139316462301069,0.01848466382287223,0.0029085008001384603
20,5.3668874498825625,3763.0,14943.0,0.014881743289928246,0.018938633473867362,-0.004056890183939116
21,5.6286868376817125,3723.0,14810.0,0.013430029546064998,0.018568534773801482,-0.005138505227736484
22,5.890486225480862,3769.0,15009.0,0.0198991775006633,0.017522819641548403,0.0023763578591148964
23,6.152285613280011,3747.0,14888.0,0.0144115292233787,0.017530897367006984,-0.0031193681436282837
