t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,25,3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,10,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18874172185430463,0.03274037213108938,0.0030739173223132197,1.0
2,16,4,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17660044150110377,0.08748625269522133,0.005146585582587123,1.0
3,17,4,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445916114790288,0.154314579629964,0.006304335925117664,1.0
4,18,3,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15783664459161148,0.22560113822127725,0.006753450895544311,1.0
5,24,6,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15121412803532008,0.29626677835767196,0.006718167687010323,1.0
6,20,4,16,2,0,2,0.0,0.018181818181818018,-0.018181818181818018,0.0,0.018181818181818018,-0.018181818181818018,0.16445916114790288,0.3703466965730552,0.007004295098855435,1.0
7,24,3,21,0,0,0,0.0,0.015267175572518969,-0.015267175572518969,0.0,0.015267175572518969,-0.015267175572518969,0.18101545253863136,0.44391819348209566,0.007003162352923092,1.0
8,29,6,23,1,0,1,0.0,0.019480519480519355,-0.019480519480519355,0.0,0.019480519480519355,-0.019480519480519355,0.18432671081677704,0.5171172467262495,0.007002773454018746,1.0
9,17,2,15,0,0,0,0.0,0.017751479289940725,-0.017751479289940725,0.0,0.017751479289940725,-0.017751479289940725,0.18543046357615894,0.5872451488927232,0.0067152157273323064,1.0
10,19,4,15,0,0,0,0.0,0.01630434782608687,-0.01630434782608687,0.0,0.01630434782608687,-0.01630434782608687,0.18653421633554085,0.6537233807328876,0.006447928887400895,1.0
11,17,2,15,0,0,0,0.0,0.015075376884422035,-0.015075376884422035,0.0,0.015075376884422035,-0.015075376884422035,0.19426048565121412,0.7159568122504014,0.006040948672525487,1.0
12,27,5,22,1,1,0,0.017857142857142537,0.013574660633484103,0.0042824822236584344,0.017857142857142537,0.013574660633484103,0.0042824822236584344,0.1545253863134658,0.7707569034693283,0.005413582672440017,1.0
13,24,6,18,0,0,0,0.016129032258064255,0.012552301255230073,0.003576731002834182,0.016129032258064255,0.012552301255230073,0.003576731002834182,0.15011037527593818,0.8264280860964622,0.005599450456043567,1.0
14,29,7,22,0,0,0,0.014492753623188196,0.011494252873563173,0.002998500749625023,0.014492753623188196,0.011494252873563173,0.002998500749625023,0.152317880794702,0.8769842754110836,0.005180611855418027,1.0
15,21,6,15,1,0,1,0.013333333333333157,0.014492753623188352,-0.001159420289855195,0.013333333333333157,0.014492753623188352,-0.001159420289855195,0.15011037527593818,0.9259655327058164,0.005128947040339263,1.0
16,12,1,11,0,0,0,0.013157894736841933,0.013937282229965106,-0.0007793874931231737,0.013157894736841933,0.013937282229965106,-0.0007793874931231737,0.15011037527593818,0.973758422721475,0.005107501148624099,1.0
17,21,6,15,0,0,0,0.012195121951219363,0.013245033112582736,-0.001049911161363373,0.012195121951219363,0.013245033112582736,-0.001049911161363373,0.15011037527593818,1.0155679450450923,0.00462419509458926,1.0
18,18,4,14,0,0,0,0.011627906976744052,0.012658227848101224,-0.0010303208713571717,0.011627906976744052,0.012658227848101224,-0.0010303208713571717,0.15011037527593818,1.0550789924700454,0.0044847885563810055,1.0
19,24,8,16,1,0,1,0.010638297872340313,0.015060240963855375,-0.004421943091515062,0.010638297872340313,0.015060240963855375,-0.004421943091515062,0.15011037527593818,1.0909838779044823,0.004205232365597878,1.0
20,28,4,24,0,0,0,0.010204081632652958,0.014044943820224679,-0.0038408621875717208,0.010204081632652958,0.014044943820224679,-0.0038408621875717208,0.15011037527593818,1.125200301231464,0.004081592699610417,1.0
21,21,4,17,0,0,0,0.009803921568627355,0.01340482573726538,-0.003600904168638024,0.009803921568627355,0.01340482573726538,-0.003600904168638024,0.15011037527593818,1.1577623620808817,0.003979847233130448,1.0
22,26,7,19,0,0,0,0.00917431192660542,0.012755102040816294,-0.0035807901142108738,0.00917431192660542,0.012755102040816294,-0.0035807901142108738,0.15011037527593818,1.189724394910867,0.003960536326981216,1.0
23,21,7,14,0,0,0,0.008620689655172339,0.01231527093596056,-0.0036945812807882214,0.008620689655172339,0.01231527093596056,-0.0036945812807882214,0.15011037527593818,1.2200721316493748,0.003849413620701732,1.0
24,27,7,20,0,0,0,0.008130081300812943,0.011737089201877906,-0.003607007901064963,0.008130081300812943,0.011737089201877906,-0.003607007901064963,0.15011037527593818,1.249728671816799,0.0038242720760021166,1.0
25,18,2,16,0,0,0,0.007999999999999936,0.01131221719457011,-0.0033122171945701735,0.007999999999999936,0.01131221719457011,-0.0033122171945701735,0.15011037527593818,1.2781242446853,0.003750442701453381,1.0
26,21,5,16,0,0,0,0.007692307692307634,0.010917030567685565,-0.003224722875377931,0.007692307692307634,0.010917030567685565,-0.003224722875377931,0.15011037527593818,1.305754941305428,0.0037225244525398837,1.0
27,27,4,23,4,1,3,0.014925373134328247,0.016632016632016598,-0.0017066434976883513,0.014925373134328247,0.016632016632016598,-0.0017066434976883513,0.15011037527593818,1.3317861049191817,0.003617781684748722,1.0
28,22,6,16,0,0,0,0.014285714285714185,0.016096579476861134,-0.001810865191146949,0.014285714285714185,0.016096579476861134,-0.001810865191146949,0.15011037527593818,1.355782285862489,0.003463663089288467,1.0
29,23,4,19,0,0,0,0.013888888888888793,0.015503875968992217,-0.001614987080103424,0.013888888888888793,0.015503875968992217,-0.001614987080103424,0.15011037527593818,1.3787933333032172,0.0034098754471022013,1.0
30,18,2,16,0,0,0,0.013698630136986209,0.015037593984962377,-0.0013389638479761688,0.013698630136986209,0.015037593984962377,-0.0013389638479761688,0.15011037527593818,1.4017906909003652,0.0034441823298342316,1.0
31,26,4,22,2,0,2,0.013333333333333246,0.018050541516245452,-0.004717208182912207,0.013333333333333246,0.018050541516245452,-0.004717208182912207,0.15011037527593818,1.4233660270331094,0.0033453367781634473,1.0
32,27,3,24,0,0,0,0.013071895424836517,0.017301038062283707,-0.0042291426374471905,0.013071895424836517,0.017301038062283707,-0.0042291426374471905,0.15011037527593818,1.4433921384506214,0.0032325914941479907,1.0
33,31,6,25,1,1,0,0.018867924528301768,0.016583747927031482,0.002284176601270286,0.018867924528301768,0.016583747927031482,0.002284176601270286,0.15011037527593818,1.4638931968340205,0.0033056307386830548,1.0
