t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
0,25,3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,24,10,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18874172185430463,0.0321843986211556,0.0027931226203264663,1.0
2,16,4,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17660044150110377,0.08578713995349947,0.004569102138878518,1.0
3,17,4,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445916114790288,0.1513050581664673,0.0056420842694885264,1.0
4,18,3,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15783664459161148,0.22221484047303247,0.006117012069282692,1.0
5,24,6,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15121412803532008,0.2944352371353524,0.006237933101047224,1.0
6,20,4,16,2,0,2,0.0,0.018181818181818018,-0.018181818181818018,0.0,0.018181818181818018,-0.018181818181818018,0.152317880794702,0.3704383176937329,0.00655341902920177,1.0
7,24,3,21,0,0,0,0.0,0.015267175572518969,-0.015267175572518969,0.0,0.015267175572518969,-0.015267175572518969,0.18211920529801323,0.44648754076242675,0.0066096843207927415,1.0
8,29,6,23,1,0,1,0.0,0.019480519480519355,-0.019480519480519355,0.0,0.019480519480519355,-0.019480519480519355,0.15121412803532008,0.5218984542983769,0.006582095293441663,1.0
9,17,2,15,0,0,0,0.0,0.017751479289940725,-0.017751479289940725,0.0,0.017751479289940725,-0.017751479289940725,0.152317880794702,0.5937565190273077,0.006304367608438489,1.0
10,19,4,15,0,0,0,0.0,0.01630434782608687,-0.01630434782608687,0.0,0.01630434782608687,-0.01630434782608687,0.15673289183222958,0.6619818255348269,0.006076505687463201,1.0
11,17,2,15,0,0,0,0.0,0.015075376884422035,-0.015075376884422035,0.0,0.015075376884422035,-0.015075376884422035,0.15673289183222958,0.7260093416790908,0.0057162615047046785,1.0
12,27,5,22,1,1,0,0.017857142857142537,0.013574660633484103,0.0042824822236584344,0.017857142857142537,0.013574660633484103,0.0042824822236584344,0.15011037527593818,0.7831085020312687,0.0051817711640780246,1.0
13,24,6,18,0,0,0,0.016129032258064255,0.012552301255230073,0.003576731002834182,0.016129032258064255,0.012552301255230073,0.003576731002834182,0.15121412803532008,0.8407116386605893,0.005322713958440686,1.0
14,29,7,22,0,0,0,0.014492753623188196,0.011494252873563173,0.002998500749625023,0.014492753623188196,0.011494252873563173,0.002998500749625023,0.15121412803532008,0.8929737249930209,0.004936681773956531,1.0
15,21,6,15,1,0,1,0.013333333333333157,0.014492753623188352,-0.001159420289855195,0.013333333333333157,0.014492753623188352,-0.001159420289855195,0.15011037527593818,0.9433964254191044,0.004874285477480975,1.0
16,12,1,11,0,0,0,0.013157894736841933,0.013937282229965106,-0.0007793874931231737,0.013157894736841933,0.013937282229965106,-0.0007793874931231737,0.15011037527593818,0.9925309864502179,0.0048297501335747076,1.0
17,21,6,15,0,0,0,0.012195121951219363,0.013245033112582736,-0.001049911161363373,0.012195121951219363,0.013245033112582736,-0.001049911161363373,0.15011037527593818,1.0355428552145653,0.004383200530195062,1.0
18,18,4,14,0,0,0,0.011627906976744052,0.012658227848101224,-0.0010303208713571717,0.011627906976744052,0.012658227848101224,-0.0010303208713571717,0.15121412803532008,1.0761606289308854,0.004242297570717375,1.0
19,24,8,16,1,0,1,0.010638297872340313,0.015060240963855375,-0.004421943091515062,0.010638297872340313,0.015060240963855375,-0.004421943091515062,0.15011037527593818,1.1135731942702733,0.004036634971621052,1.0
20,28,4,24,0,0,0,0.010204081632652958,0.014044943820224679,-0.0038408621875717208,0.010204081632652958,0.014044943820224679,-0.0038408621875717208,0.15011037527593818,1.1490159591239886,0.003910341210797919,1.0
21,21,4,17,0,0,0,0.009803921568627355,0.01340482573726538,-0.003600904168638024,0.009803921568627355,0.01340482573726538,-0.003600904168638024,0.15011037527593818,1.182377132726331,0.00377296233524532,1.0
22,26,7,19,0,0,0,0.00917431192660542,0.012755102040816294,-0.0035807901142108738,0.00917431192660542,0.012755102040816294,-0.0035807901142108738,0.15011037527593818,1.2149636989476047,0.0037404075186222153,1.0
23,21,7,14,0,0,0,0.008620689655172339,0.01231527093596056,-0.0036945812807882214,0.008620689655172339,0.01231527093596056,-0.0036945812807882214,0.15011037527593818,1.2461077992665945,0.0036558866639013277,1.0
24,27,7,20,0,0,0,0.008130081300812943,0.011737089201877906,-0.003607007901064963,0.008130081300812943,0.011737089201877906,-0.003607007901064963,0.15011037527593818,1.276568906641135,0.0036303560719787237,1.0
25,18,2,16,0,0,0,0.007999999999999936,0.01131221719457011,-0.0033122171945701735,0.007999999999999936,0.01131221719457011,-0.0033122171945701735,0.15011037527593818,1.3058024641514672,0.0035654471518095157,1.0
26,21,5,16,0,0,0,0.007692307692307634,0.010917030567685565,-0.003224722875377931,0.007692307692307634,0.010917030567685565,-0.003224722875377931,0.15011037527593818,1.33423846687348,0.0035566842108099546,1.0
27,27,4,23,4,1,3,0.014925373134328247,0.016632016632016598,-0.0017066434976883513,0.014925373134328247,0.016632016632016598,-0.0017066434976883513,0.15011037527593818,1.3611474071821712,0.0034652624344714235,1.0
28,22,6,16,0,0,0,0.014285714285714185,0.016096579476861134,-0.001810865191146949,0.014285714285714185,0.016096579476861134,-0.001810865191146949,0.15011037527593818,1.3856737800906784,0.003307673299602028,1.0
29,23,4,19,0,0,0,0.013888888888888793,0.015503875968992217,-0.001614987080103424,0.013888888888888793,0.015503875968992217,-0.001614987080103424,0.15011037527593818,1.409109419989335,0.0032554505139962835,1.0
