bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3823.0,14942.0,0.01857180224954224,0.018069870164636594,0.0005019320849056451
1,0.39269908169872414,3687.0,14717.0,0.019528071602929208,0.018482027587144116,0.0010460440157850914
2,0.6544984694978735,3762.0,14911.0,0.01834130781499202,0.01810743746227617,0.0002338703527158502
3,0.916297857297023,3828.0,14999.0,0.019592476489028208,0.020534702313487564,-0.0009422258244593563
4,1.1780972450961724,3677.0,15014.0,0.016861571933641552,0.018183029172772078,-0.001321457239130526
5,1.4398966328953218,3714.0,15022.0,0.018039849219170703,0.018972174144587937,-0.0009323249254172342
6,1.7016960206944711,3698.0,14940.0,0.020822065981611678,0.015528781793842032,0.005293284187769646
7,1.9634954084936205,3842.0,15076.0,0.02264445601249349,0.018041920933934728,0.0046025350785587615
8,2.22529479629277,3723.0,15001.0,0.022562449637389195,0.01666555562962469,0.005896894007764504
9,2.4870941840919194,3701.0,15302.0,0.020805187787084567,0.017187295778329628,0.0036178920087549388
10,2.748893571891069,3720.0,14743.0,0.01854838709677419,0.017499830427999727,0.001048556668774462
11,3.010692959690218,3702.0,15223.0,0.017017828200972442,0.01780201011627143,-0.0007841819152989878
12,3.2724923474893677,3782.0,14965.0,0.017186673717609725,0.016972936852656197,0.00021373686495352803
13,3.534291735288517,3816.0,15006.0,0.018081761006289304,0.017393042782886843,0.0006887182234024611
14,3.7960911230876664,3784.0,14746.0,0.017441860465116275,0.01756408517564085,-0.00012222471052457384
15,4.057890510886816,3726.0,14929.0,0.020397208803005898,0.017348784245428357,0.0030484245575775407
16,4.319689898685965,3710.0,14816.0,0.01994609164420485,0.017818574514038874,0.002127517130165974
17,4.581489286485114,3692.0,15052.0,0.016522210184182012,0.017738506510762687,-0.0012162963265806744
18,4.843288674284264,3731.0,15008.0,0.02117394800321629,0.01612473347547974,0.005049214527736549
19,5.105088062083413,3727.0,14927.0,0.01958679903407566,0.017820057613720103,0.0017667414203555581
20,5.3668874498825625,3795.0,15003.0,0.01633728590250329,0.01692994734386456,-0.0005926614413612682
21,5.6286868376817125,3710.0,14800.0,0.012398921832884094,0.019189189189189187,-0.006790267356305094
22,5.890486225480862,3846.0,15007.0,0.018720748829953195,0.017791697207969612,0.0009290516219835829
23,6.152285613280011,3769.0,14969.0,0.015123374900504109,0.018304495958313845,-0.0031811210578097365
