bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3751.0,15203.0,0.02026126366302319,0.017891205683088864,0.0023700579799343265
1,0.39269908169872414,3754.0,14835.0,0.01651571656899307,0.019076508257499156,-0.0025607916885060852
2,0.6544984694978735,3875.0,14978.0,0.01651612903225806,0.01936173053812258,-0.0028456015058645166
3,0.916297857297023,3767.0,15069.0,0.020971595434032382,0.02017386687902316,0.0007977285550092236
4,1.1780972450961724,3801.0,14908.0,0.021047092870297286,0.019050174403005094,0.0019969184672921914
5,1.4398966328953218,3873.0,14972.0,0.019106635682933124,0.01749933208656158,0.0016073035963715433
6,1.7016960206944711,3767.0,15022.0,0.024157154234138566,0.01790706963120756,0.006250084602931007
7,1.9634954084936205,3859.0,15097.0,0.02098989375485877,0.020467642577995625,0.0005222511768631435
8,2.22529479629277,3701.0,15060.0,0.01756282085922723,0.019123505976095617,-0.0015606851168683857
9,2.4870941840919194,3683.0,15319.0,0.01873472712462666,0.014361250734382137,0.004373476390244522
10,2.748893571891069,3732.0,14981.0,0.016345123258306535,0.017755824043788795,-0.00141070078548226
11,3.010692959690218,3776.0,14984.0,0.019332627118644065,0.01761879337960491,0.0017138337390391542
12,3.2724923474893677,3702.0,14972.0,0.015937331172339274,0.017766497461928932,-0.001829166289589658
13,3.534291735288517,3705.0,14877.0,0.016464237516869092,0.019022652416481815,-0.002558414899612723
14,3.7960911230876664,3695.0,14810.0,0.019215155615696883,0.018703578663065493,0.0005115769526313901
15,4.057890510886816,3765.0,14837.0,0.01779548472775564,0.020287120037743477,-0.0024916353099878365
16,4.319689898685965,3660.0,15012.0,0.019125683060109287,0.018451905142552624,0.000673777917556663
17,4.581489286485114,3728.0,15048.0,0.012875536480686692,0.019138755980861243,-0.0062632195001745515
18,4.843288674284264,3695.0,14976.0,0.017861975642760482,0.01629273504273504,0.001569240600025442
19,5.105088062083413,3743.0,14890.0,0.017098584023510548,0.019341840161181997,-0.0022432561376714497
20,5.3668874498825625,3628.0,14859.0,0.016538037486218297,0.018305404132175785,-0.0017673666459574883
21,5.6286868376817125,3794.0,14663.0,0.015814443858724297,0.01882288754006683,-0.003008443681342534
22,5.890486225480862,3804.0,14736.0,0.018664563617245,0.017508143322475567,0.0011564202947694328
23,6.152285613280011,3620.0,15133.0,0.01823204419889502,0.01770964118152382,0.0005224030173712028
