bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3811.0,14956.0,0.018630280766203093,0.0175849157528751,0.0010453650133279944
1,0.39269908169872414,3729.0,15148.0,0.018503620273531772,0.01874834961711117,-0.00024472934357939666
2,0.6544984694978735,3854.0,14840.0,0.021017125064867664,0.0171832884097035,0.0038338366551641627
3,0.916297857297023,3777.0,15009.0,0.01879798782102197,0.017922579785462054,0.0008754080355599173
4,1.1780972450961724,3831.0,14920.0,0.01853302009919081,0.017091152815013402,0.0014418672841774068
5,1.4398966328953218,3861.0,15092.0,0.023310023310023305,0.019414259210177576,0.0038957640998457284
6,1.7016960206944711,3749.0,14777.0,0.018938383568951715,0.017527238275698718,0.0014111452932529973
7,1.9634954084936205,3824.0,14962.0,0.022228033472803343,0.016642160139018845,0.005585873333784498
8,2.22529479629277,3735.0,14958.0,0.01659973226238286,0.019655034095467306,-0.003055301833084445
9,2.4870941840919194,3805.0,15325.0,0.019710906701708275,0.018205546492659052,0.001505360209049223
10,2.748893571891069,3777.0,15041.0,0.017474185861795073,0.01874875340735323,-0.0012745675455581584
11,3.010692959690218,3754.0,15145.0,0.01598295151838039,0.016705183228788376,-0.0007222317104079862
12,3.2724923474893677,3770.0,14871.0,0.019893899204244028,0.018559612668952993,0.0013342865352910342
13,3.534291735288517,3875.0,14980.0,0.017290322580645157,0.019759679572763682,-0.002469356992118525
14,3.7960911230876664,3627.0,15003.0,0.015164047422111934,0.018396320735852827,-0.0032322733137408934
15,4.057890510886816,3710.0,15072.0,0.01805929919137466,0.018577494692144373,-0.000518195500769713
16,4.319689898685965,3690.0,14985.0,0.019512195121951216,0.01788455121788455,0.0016276439040666668
17,4.581489286485114,3706.0,15036.0,0.018618456556934695,0.017956903431763763,0.0006615531251709314
18,4.843288674284264,3666.0,14880.0,0.018821603927986902,0.01700268817204301,0.0018189157559438916
19,5.105088062083413,3813.0,14987.0,0.017046944662995014,0.018415960499099215,-0.001369015836104201
20,5.3668874498825625,3789.0,14794.0,0.017682765901293213,0.019467351629038798,-0.0017845857277455843
21,5.6286868376817125,3719.0,14863.0,0.016402258671685932,0.018165915360290653,-0.0017636566886047207
22,5.890486225480862,3614.0,14814.0,0.014665190924183726,0.016943431888753878,-0.002278240964570152
23,6.152285613280011,3779.0,14936.0,0.02011114051336332,0.01794322442420996,0.0021679160891533607
