t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,19,6,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,18,1,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16174863387978142,0.0229642713712965,0.002165895442901797
2,28,4,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22950819672131148,0.06279222957549854,0.0037583152212937263
3,27,4,23,1,0,1,0.0,0.01298701298701282,-0.01298701298701282,0.0,0.01298701298701282,-0.01298701298701282,0.21202185792349726,0.1253441368799387,0.0058979341249439455
4,28,4,24,0,0,0,0.0,0.009900990099009804,-0.009900990099009804,0.0,0.009900990099009804,-0.009900990099009804,0.18469945355191256,0.1984743403018141,0.006902539519152774
5,22,6,16,1,1,0,0.039999999999998405,0.008547008547008475,0.03145299145298993,0.039999999999998405,0.008547008547008475,0.03145299145298993,0.1737704918032787,0.2766923989889716,0.0074050134161649135
6,16,1,15,0,0,0,0.038461538461536986,0.007575757575757519,0.030885780885779465,0.038461538461536986,0.007575757575757519,0.030885780885779465,0.16612021857923498,0.3543603300240915,0.0073721862706214334
7,20,3,17,1,0,1,0.03448275862068847,0.01342281879194622,0.021059939828742248,0.03448275862068847,0.01342281879194622,0.021059939828742248,0.15956284153005465,0.43090929386941695,0.007305653845025884
8,30,7,23,1,0,1,0.027777777777777006,0.017441860465116178,0.010335917312660828,0.027777777777777006,0.017441860465116178,0.010335917312660828,0.15737704918032788,0.502109781216974,0.006852376869785298
9,23,5,18,1,0,1,0.02439024390243843,0.021052631578947257,0.0033376123234911716,0.02439024390243843,0.021052631578947257,0.0033376123234911716,0.15956284153005465,0.5714152327633518,0.0066341086643983286
10,23,5,18,1,0,1,0.021739130434782136,0.024038461538461422,-0.0022993311036792856,0.021739130434782136,0.024038461538461422,-0.0022993311036792856,0.1551912568306011,0.639708357102743,0.006528577031095113
11,21,5,16,0,0,0,0.019607843137254517,0.02232142857142847,-0.0027135854341739547,0.019607843137254517,0.02232142857142847,-0.0027135854341739547,0.15081967213114755,0.7049909860163781,0.006295772213104662
12,21,2,19,2,0,2,0.01886792452830153,0.0288065843621398,-0.009938659833838272,0.01886792452830153,0.0288065843621398,-0.009938659833838272,0.15081967213114755,0.7641166058540133,0.005780789576203121
13,25,1,24,1,0,1,0.018518518518518174,0.029962546816479287,-0.011444028297961113,0.018518518518518174,0.029962546816479287,-0.011444028297961113,0.1540983606557377,0.8185462344221487,0.005430211138835086
14,21,4,17,0,0,0,0.01724137931034453,0.028169014084506942,-0.010927634774162413,0.01724137931034453,0.028169014084506942,-0.010927634774162413,0.15081967213114755,0.8700752567955113,0.005262011008975181
15,24,3,21,1,0,1,0.01639344262295055,0.029508196721311376,-0.013114754098360826,0.01639344262295055,0.029508196721311376,-0.013114754098360826,0.15300546448087432,0.9175545677532204,0.004961152202512769
16,22,5,17,1,0,1,0.015151515151514923,0.031055900621117915,-0.015904385469602992,0.015151515151514923,0.031055900621117915,-0.015904385469602992,0.15300546448087432,0.9640258434693815,0.004881383175856899
17,13,3,10,0,0,0,0.014492753623188196,0.03012048192771075,-0.015627728304522553,0.014492753623188196,0.03012048192771075,-0.015627728304522553,0.15081967213114755,1.0056329288098886,0.004495250476868617
18,28,9,19,2,1,1,0.025641025641025314,0.03133903133903125,-0.005698005698005937,0.025641025641025314,0.03133903133903125,-0.005698005698005937,0.15081967213114755,1.0448000484611375,0.004325897804766968
19,14,5,9,0,0,0,0.024096385542168385,0.030555555555555468,-0.006459170013387083,0.024096385542168385,0.030555555555555468,-0.006459170013387083,0.15081967213114755,1.0825230812626818,0.004225222243176579
20,23,3,20,0,0,0,0.023255813953488105,0.028947368421052555,-0.00569155446756445,0.023255813953488105,0.028947368421052555,-0.00569155446756445,0.15081967213114755,1.1152678998714836,0.003834326410162005
21,19,4,15,0,0,0,0.022222222222221977,0.02784810126582271,-0.005625879043600734,0.022222222222221977,0.02784810126582271,-0.005625879043600734,0.15081967213114755,1.1464525923409203,0.003752305518150246
22,20,4,16,0,0,0,0.021276595744680625,0.026763990267639835,-0.00548739452295921,0.021276595744680625,0.026763990267639835,-0.00548739452295921,0.15081967213114755,1.175111296608395,0.0035825408503778987
23,19,6,13,0,0,0,0.019999999999999803,0.025943396226415033,-0.00594339622641523,0.019999999999999803,0.025943396226415033,-0.00594339622641523,0.15081967213114755,1.2052218074568413,0.0037779096151257944
