t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,19,6,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,18,1,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16174863387978142,0.022559182846706334,0.0019613052789673726
2,28,4,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20218579234972678,0.061732969824678866,0.0034278234180150427
3,27,4,23,1,0,1,0.0,0.01298701298701282,-0.01298701298701282,0.0,0.01298701298701282,-0.01298701298701282,0.18469945355191256,0.12334020020161739,0.005420557075763617
4,28,4,24,0,0,0,0.0,0.009900990099009804,-0.009900990099009804,0.0,0.009900990099009804,-0.009900990099009804,0.15956284153005465,0.19615367260402466,0.006401862967458411
5,22,6,16,1,1,0,0.039999999999998405,0.008547008547008475,0.03145299145298993,0.039999999999998405,0.008547008547008475,0.03145299145298993,0.15081967213114755,0.27448248780088386,0.006890791237473787
6,16,1,15,0,0,0,0.038461538461536986,0.007575757575757519,0.030885780885779465,0.038461538461536986,0.007575757575757519,0.030885780885779465,0.17158469945355193,0.35317975841575605,0.00690509505238675
7,20,3,17,1,0,1,0.03448275862068847,0.01342281879194622,0.021059939828742248,0.03448275862068847,0.01342281879194622,0.021059939828742248,0.16830601092896175,0.4312541336878154,0.006903546896578122
8,30,7,23,1,0,1,0.027777777777777006,0.017441860465116178,0.010335917312660828,0.027777777777777006,0.017441860465116178,0.010335917312660828,0.15081967213114755,0.5041835351879639,0.00647512685989605
9,23,5,18,1,0,1,0.02439024390243843,0.021052631578947257,0.0033376123234911716,0.02439024390243843,0.021052631578947257,0.0033376123234911716,0.15081967213114755,0.5754245799080159,0.006260413055250805
10,23,5,18,1,0,1,0.021739130434782136,0.024038461538461422,-0.0022993311036792856,0.021739130434782136,0.024038461538461422,-0.0022993311036792856,0.15081967213114755,0.6456492769447565,0.0061491564158141976
11,21,5,16,0,0,0,0.019607843137254517,0.02232142857142847,-0.0027135854341739547,0.019607843137254517,0.02232142857142847,-0.0027135854341739547,0.15191256830601094,0.7126274294836008,0.005928923460910713
12,21,2,19,2,0,2,0.01886792452830153,0.0288065843621398,-0.009938659833838272,0.01886792452830153,0.0288065843621398,-0.009938659833838272,0.15300546448087432,0.7736447588855989,0.005437293963945294
13,25,1,24,1,0,1,0.018518518518518174,0.029962546816479287,-0.011444028297961113,0.018518518518518174,0.029962546816479287,-0.011444028297961113,0.15191256830601094,0.8299854982646181,0.005138254193241803
14,21,4,17,0,0,0,0.01724137931034453,0.028169014084506942,-0.010927634774162413,0.01724137931034453,0.028169014084506942,-0.010927634774162413,0.15191256830601094,0.8833931070342249,0.005003460392266321
15,24,3,21,1,0,1,0.01639344262295055,0.029508196721311376,-0.013114754098360826,0.01639344262295055,0.029508196721311376,-0.013114754098360826,0.15191256830601094,0.9325838327440328,0.004742258334898288
16,22,5,17,1,0,1,0.015151515151514923,0.031055900621117915,-0.015904385469602992,0.015151515151514923,0.031055900621117915,-0.015904385469602992,0.15081967213114755,0.9805124839284238,0.004636260847609658
17,13,3,10,0,0,0,0.014492753623188196,0.03012048192771075,-0.015627728304522553,0.014492753623188196,0.03012048192771075,-0.015627728304522553,0.15081967213114755,1.0235437998939,0.004299273908776208
18,28,9,19,2,1,1,0.025641025641025314,0.03133903133903125,-0.005698005698005937,0.025641025641025314,0.03133903133903125,-0.005698005698005937,0.15081967213114755,1.0636319052236778,0.004114188065281482
19,14,5,9,0,0,0,0.024096385542168385,0.030555555555555468,-0.006459170013387083,0.024096385542168385,0.030555555555555468,-0.006459170013387083,0.15081967213114755,1.102219691531795,0.004013158969985337
20,23,3,20,0,0,0,0.023255813953488105,0.028947368421052555,-0.00569155446756445,0.023255813953488105,0.028947368421052555,-0.00569155446756445,0.15081967213114755,1.1359594996426499,0.0036584814518570534
21,19,4,15,0,0,0,0.022222222222221977,0.02784810126582271,-0.005625879043600734,0.022222222222221977,0.02784810126582271,-0.005625879043600734,0.15081967213114755,1.1680895328212162,0.003577188352714998
22,20,4,16,0,0,0,0.021276595744680625,0.026763990267639835,-0.00548739452295921,0.021276595744680625,0.026763990267639835,-0.00548739452295921,0.15081967213114755,1.1974076643103724,0.0034193102118073577
23,19,6,13,0,0,0,0.019999999999999803,0.025943396226415033,-0.00594339622641523,0.019999999999999803,0.025943396226415033,-0.00594339622641523,0.15081967213114755,1.2281043483906229,0.003603215340318838
24,27,6,21,0,0,0,0.01886792452830171,0.02471910112359545,-0.005851176595293741,0.01886792452830171,0.02471910112359545,-0.005851176595293741,0.15081967213114755,1.258764285439558,0.0036360154287189707
25,23,7,16,0,0,0,0.01769911504424763,0.023861171366594307,-0.006162056322346676,0.01769911504424763,0.023861171366594307,-0.006162056322346676,0.15081967213114755,1.288568342757356,0.003611706642189155
26,24,4,20,0,0,0,0.01709401709401695,0.02286902286902282,-0.005775005775005872,0.01709401709401695,0.02286902286902282,-0.005775005775005872,0.15081967213114755,1.31663541690598,0.0034974394614167206
27,20,2,18,0,0,0,0.01680672268907549,0.02204408817635266,-0.005237365487277171,0.01680672268907549,0.02204408817635266,-0.005237365487277171,0.15081967213114755,1.3426762144812752,0.0033672311215727025
28,25,5,20,2,0,2,0.016129032258064387,0.025048169556840028,-0.00891913729877564,0.016129032258064387,0.025048169556840028,-0.00891913729877564,0.15081967213114755,1.3678808301111502,0.0033311966760393693
29,22,8,14,0,0,0,0.015151515151515037,0.024390243902438977,-0.00923872875092394,0.015151515151515037,0.024390243902438977,-0.00923872875092394,0.15081967213114755,1.3933465249577706,0.0033803013470276315
30,27,4,23,1,0,1,0.014705882352941069,0.025179856115107868,-0.0104739737621668,0.014705882352941069,0.025179856115107868,-0.0104739737621668,0.15081967213114755,1.4173246003896032,0.0032891031171912682
31,19,1,18,0,0,0,0.014598540145985295,0.02439024390243898,-0.009791703756453685,0.014598540145985295,0.02439024390243898,-0.009791703756453685,0.15081967213114755,1.440122068959666,0.00322482990079364
32,15,2,13,1,0,1,0.01438848920863299,0.025553662691652424,-0.011165173483019434,0.01438848920863299,0.025553662691652424,-0.011165173483019434,0.15081967213114755,1.4631222685657825,0.0032810989510436367
33,32,4,28,0,0,0,0.013986013986013889,0.024390243902438984,-0.010404229916425095,0.013986013986013889,0.024390243902438984,-0.010404229916425095,0.15081967213114755,1.4848574739202247,0.003211699394881139
34,12,3,9,2,1,1,0.020547945205479312,0.0256410256410256,-0.005093080435546286,0.020547945205479312,0.0256410256410256,-0.005093080435546286,0.15081967213114755,1.5063263531069317,0.003219150470835911
35,23,5,18,1,1,0,0.02649006622516539,0.024922118380062266,0.001567947845103123,0.02649006622516539,0.024922118380062266,0.001567947845103123,0.15081967213114755,1.5277780268989967,0.0032421736159563646
36,18,5,13,0,0,0,0.025641025641025477,0.024427480916030496,0.0012135447249949811,0.025641025641025477,0.024427480916030496,0.0012135447249949811,0.15081967213114755,1.5487324185093976,0.003218715961144018
37,25,2,23,1,0,1,0.02531645569620237,0.025073746312684327,0.00024270938351804439,0.02531645569620237,0.025073746312684327,0.00024270938351804439,0.15081967213114755,1.5685333688117555,0.00314870348300254
38,28,2,26,0,0,0,0.024999999999999845,0.024147727272727237,0.0008522727272726079,0.024999999999999845,0.024147727272727237,0.0008522727272726079,0.15081967213114755,1.5885526819305735,0.003190685202163603
39,35,5,30,0,0,0,0.024242424242424097,0.02316076294277926,0.0010816612996448378,0.024242424242424097,0.02316076294277926,0.0010816612996448378,0.15081967213114755,1.6078832505224614,0.0031537503565710525
40,20,4,16,1,0,1,0.0236686390532543,0.023999999999999966,-0.00033136094674566727,0.0236686390532543,0.023999999999999966,-0.00033136094674566727,0.15081967213114755,1.6272883049277125,0.003185245233353308
41,17,1,16,0,0,0,0.023529411764705743,0.023498694516971248,3.071724773449566e-05,0.023529411764705743,0.023498694516971248,3.071724773449566e-05,0.15081967213114755,1.6458044224803188,0.003122722199699198
42,28,6,22,1,0,1,0.0227272727272726,0.02411167512690352,-0.001384402399630922,0.0227272727272726,0.02411167512690352,-0.001384402399630922,0.15081967213114755,1.6633020736790536,0.0030550675685744166
43,27,5,22,1,0,1,0.022099447513812032,0.024691358024691325,-0.002591910510879293,0.022099447513812032,0.024691358024691325,-0.002591910510879293,0.15081967213114755,1.6807285119144268,0.0030619250544697578
44,9,3,6,0,0,0,0.02173913043478249,0.024509803921568596,-0.0027706734867861058,0.02173913043478249,0.024509803921568596,-0.0027706734867861058,0.15081967213114755,1.6976516425139137,0.0030300309762837565
45,13,4,9,0,0,0,0.02127659574468074,0.02424242424242421,-0.0029658284977434717,0.02127659574468074,0.02424242424242421,-0.0029658284977434717,0.15081967213114755,1.71380390667751,0.0029759546867886657
46,22,7,15,0,0,0,0.02051282051282041,0.02380952380952378,-0.0032967032967033717,0.02051282051282041,0.02380952380952378,-0.0032967032967033717,0.15081967213114755,1.7297477633975162,0.002972982793055382
47,27,7,20,0,0,0,0.019801980198019705,0.023255813953488344,-0.003453833755468639,0.019801980198019705,0.023255813953488344,-0.003453833755468639,0.15081967213114755,1.7451312364189888,0.0029362679798937597
48,27,7,20,1,0,1,0.019138755980861153,0.023863636363636337,-0.004724880382775184,0.019138755980861153,0.023863636363636337,-0.004724880382775184,0.15081967213114755,1.760288520633819,0.00292169407820227
49,24,5,19,0,0,0,0.01869158878504664,0.023359288097886514,-0.004667699312839873,0.01869158878504664,0.023359288097886514,-0.004667699312839873,0.15081967213114755,1.7750854750293896,0.002894740795676978
50,21,6,15,0,0,0,0.0181818181818181,0.022975929978118138,-0.0047941117963000365,0.0181818181818181,0.022975929978118138,-0.0047941117963000365,0.15081967213114755,1.7894213941641024,0.0028597214340439696
51,23,3,20,0,0,0,0.017937219730941624,0.022483940042826528,-0.004546720311884904,0.017937219730941624,0.022483940042826528,-0.004546720311884904,0.15081967213114755,1.8033907304133834,0.0028307723119842
52,25,6,19,1,1,0,0.021834061135371084,0.02203567681007343,-0.00020161567470234482,0.021834061135371084,0.02203567681007343,-0.00020161567470234482,0.15081967213114755,1.8170205195681635,0.0028054186882031473
53,20,4,16,0,0,0,0.02145922746781107,0.021671826625386973,-0.00021259915757590453,0.02145922746781107,0.021671826625386973,-0.00021259915757590453,0.15081967213114755,1.8306055437531348,0.002797157516608789
54,21,3,18,0,0,0,0.021186440677966014,0.02127659574468083,-9.015506671481571e-05,0.021186440677966014,0.02127659574468083,-9.015506671481571e-05,0.15081967213114755,1.8436768601578353,0.002753001886375927
55,25,7,18,2,0,2,0.020576131687242715,0.02288557213930346,-0.002309440452060746,0.020576131687242715,0.02288557213930346,-0.002309440452060746,0.15081967213114755,1.85645811609754,0.002727418099524978
56,19,4,15,0,0,0,0.020242914979757002,0.022549019607843116,-0.002306104628086114,0.020242914979757002,0.022549019607843116,-0.002306104628086114,0.15081967213114755,1.8687906986850746,0.0026849287201630564
