bin,phi_center,caps_in,caps_out,pM_in,pM_out,delta
0,0.1308996938995747,3699.0,15351.0,0.01595025682616923,0.019347273793238223,-0.0033970169670689936
1,0.39269908169872414,3811.0,15283.0,0.017580687483600102,0.018059281554668585,-0.0004785940710684833
2,0.6544984694978735,3733.0,15147.0,0.018483793195821052,0.01947580378952928,-0.0009920105937082264
3,0.916297857297023,3684.0,15040.0,0.018186753528773067,0.01888297872340425,-0.0006962251946311844
4,1.1780972450961724,3829.0,15039.0,0.019848524418908327,0.018950728106922,0.0008977963119863284
5,1.4398966328953218,3743.0,14911.0,0.019770237777184074,0.017302662463952786,0.0024675753132312878
6,1.7016960206944711,3738.0,14969.0,0.02166934189406099,0.018705324336963054,0.0029640175570979366
7,1.9634954084936205,3861.0,15213.0,0.017612017612017607,0.019128377045947543,-0.0015163594339299355
8,2.22529479629277,3741.0,15043.0,0.01737503341352579,0.01602074054377451,0.0013542928697512814
9,2.4870941840919194,3752.0,14835.0,0.021055437100213216,0.016986855409504547,0.004068581690708669
10,2.748893571891069,3751.0,14905.0,0.015462543321780854,0.017846360281784632,-0.0023838169600037783
11,3.010692959690218,3665.0,15079.0,0.01909959072305593,0.018104648849393192,0.0009949418736627386
12,3.2724923474893677,3780.0,14897.0,0.01957671957671957,0.018862858293616162,0.0007138612831034084
13,3.534291735288517,3744.0,14966.0,0.02163461538461538,0.019711345716958435,0.0019232696676569454
14,3.7960911230876664,3687.0,14856.0,0.016544616219148354,0.02059773828756058,-0.0040531220684122266
15,4.057890510886816,3843.0,14895.0,0.014571948998178503,0.018126888217522657,-0.003554939219344154
16,4.319689898685965,3698.0,14952.0,0.015143320713899401,0.016586409844836808,-0.0014430891309374066
17,4.581489286485114,3755.0,14791.0,0.018908122503328892,0.01953890879588939,-0.0006307862925604979
18,4.843288674284264,3731.0,14905.0,0.014473331546502275,0.01891982556189198,-0.004446494015389704
19,5.105088062083413,3684.0,14795.0,0.01872964169381107,0.018587360594795536,0.00014228109901553293
20,5.3668874498825625,3711.0,14853.0,0.020479655079493394,0.018514778159294417,0.001964876920198977
21,5.6286868376817125,3696.0,14984.0,0.017857142857142853,0.02035504538174052,-0.002497902524597667
22,5.890486225480862,3571.0,14946.0,0.015401848221786611,0.019470092332396625,-0.004068244110610015
23,6.152285613280011,3627.0,14906.0,0.014612627515853318,0.01744264054743056,-0.0028300130315772436
