seed,mode,delta,se,z,cap_in,cap_out,M_in,M_out,seed_run_dir
0,v7,0.00019086,0.00049841,0.3829,89994,360181,1643,6507,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00000_v7
1,v7,0.00037210,0.00049921,0.7454,89740,358936,1642,6434,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00001_v7
2,v7,-0.00033798,0.00049427,-0.6838,90325,360636,1617,6578,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00002_v7
3,v7,0.00040484,0.00049928,0.8108,89637,360400,1641,6452,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00003_v7
4,v7,0.00071360,0.00049861,1.4312,90044,358648,1654,6332,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00004_v7
5,v7,0.00029645,0.00050147,0.5912,89835,360029,1660,6546,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00005_v7
6,v7,-0.00073885,0.00048602,-1.5202,90290,359608,1553,6451,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00006_v7
7,v7,0.00057012,0.00049584,1.1498,89729,359180,1623,6292,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00007_v7
8,v7,-0.00063815,0.00049729,-1.2833,89534,359561,1605,6675,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00008_v7
9,v7,-0.00041610,0.00049329,-0.8435,90034,359924,1599,6542,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00009_v7
0,baseline,0.00037345,0.00050040,0.7463,90265,359394,1668,6507,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00000_baseline
1,baseline,-0.00015186,0.00049656,-0.3058,89726,360528,1616,6548,hsf_out\20260210_222833_N250_p0p03_T20000_lam0p09_bar4p0_drvF0p2_A0p35_w0p03_gP2p2_gM0p6_bwb0p7_memb1p35_seeds0_9_jobs8_v7_multiseed\seed_runs\seed_00001_baseline
