sweep_k,sweep_v,seed,mode,delta,se,z,cap_in,cap_out,M_in,M_out,seed_out_dir
neg_mem_gain,neg_mem_gain=0.0,0,v8,0.00037345,0.00050040,0.7463,90265,359394,1668,6507,
neg_mem_gain,neg_mem_gain=0.0,1,v8,0.00039216,0.00049992,0.7844,89756,360403,1649,6480,
neg_mem_gain,neg_mem_gain=0.0,2,v8,0.00045351,0.00049678,0.9129,90321,360601,1648,6416,
neg_mem_gain,neg_mem_gain=0.0,3,v8,0.00136638,0.00050962,2.6812,90247,360058,1749,6486,
neg_mem_gain,neg_mem_gain=0.0,4,v8,0.00098184,0.00050571,1.9415,89396,360162,1686,6439,
neg_mem_gain,neg_mem_gain=0.0,5,v8,0.00060220,0.00050548,1.1913,89469,359940,1680,6542,
neg_mem_gain,neg_mem_gain=0.0,6,v8,0.00048518,0.00049929,0.9717,89958,360200,1653,6444,
neg_mem_gain,neg_mem_gain=0.0,7,v8,0.00022923,0.00049756,0.4607,89965,359052,1636,6447,
neg_mem_gain,neg_mem_gain=0.0,8,v8,0.00078490,0.00050584,1.5517,89487,359607,1686,6493,
neg_mem_gain,neg_mem_gain=0.0,9,v8,0.00095773,0.00050542,1.8949,89611,360191,1691,6452,
neg_mem_gain,neg_mem_gain=0.0,0,baseline,0.00037345,0.00050040,0.7463,90265,359394,1668,6507,
neg_mem_gain,neg_mem_gain=0.0,1,baseline,-0.00015186,0.00049656,-0.3058,89726,360528,1616,6548,
neg_mem_gain,neg_mem_gain=0.0,2,baseline,0.00042415,0.00049403,0.8585,90316,360766,1629,6354,
neg_mem_gain,neg_mem_gain=0.0,3,baseline,0.00136638,0.00050962,2.6812,90247,360058,1749,6486,
neg_mem_gain,neg_mem_gain=0.0,4,baseline,0.00098711,0.00050173,1.9674,89776,359868,1672,6347,
neg_mem_gain,neg_mem_gain=0.0,5,baseline,-0.00021446,0.00049966,-0.4292,89746,359256,1635,6622,
neg_mem_gain,neg_mem_gain=0.0,6,baseline,0.00048518,0.00049929,0.9717,89958,360200,1653,6444,
neg_mem_gain,neg_mem_gain=0.0,7,baseline,0.00022923,0.00049756,0.4607,89965,359052,1636,6447,
neg_mem_gain,neg_mem_gain=0.0,8,baseline,0.00078449,0.00050783,1.5448,89444,359681,1698,6546,
neg_mem_gain,neg_mem_gain=0.0,9,baseline,0.00095773,0.00050542,1.8949,89611,360191,1691,6452,
neg_mem_gain,neg_mem_gain=0.02,0,v8,-0.00022119,0.00049564,-0.4463,89841,360108,1612,6541,
neg_mem_gain,neg_mem_gain=0.02,1,v8,0.00052132,0.00050491,1.0325,89500,360177,1676,6557,
neg_mem_gain,neg_mem_gain=0.02,2,v8,0.00047582,0.00049697,0.9574,90256,359999,1647,6398,
neg_mem_gain,neg_mem_gain=0.02,3,v8,0.00142096,0.00051104,2.7805,89880,360234,1747,6490,
