sweep_k,sweep_v,seed,mode,final_frac_good,final_frac_bad,first_good_t,first_bad_t,mean_good_domain,mean_bad_domain,n_good_domains,n_bad_domains,out_dir
nosweep,default,0,v9,0.00000000,0.80656250,38,0,,5129.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00000
nosweep,default,1,v9,0.00000000,0.82421875,0,0,,5144.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00001
nosweep,default,2,v9,0.00000000,0.80562500,8,0,,5138.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00002
nosweep,default,3,v9,0.00000000,0.81812500,12,0,,5135.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00003
nosweep,default,4,v9,0.00000000,0.81062500,5,0,,5129.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00004
nosweep,default,5,v9,0.00000000,0.81640625,0,0,,5128.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00005
nosweep,default,6,v9,0.00000000,0.82703125,3,0,,5162.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00006
nosweep,default,7,v9,0.00000000,0.80937500,3,0,,5129.000,0,1,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00007
nosweep,default,8,v9,0.00000000,0.80796875,14,0,,2568.000,0,2,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00008
nosweep,default,9,v9,0.00000000,0.81703125,16,0,,1723.000,0,3,hsf_out\20260211_092616_L80_T1200_drvF0p2_A0p35_w0p03_negmem_nm0p05_nb0p0_bwb0p7_memb1p35_seeds0_9_jobs8_v9_first_maps\seed_runs\nosweep__default\v9\seed_00009
