sweep_k,sweep_v,seed,mode,final_frac_good,final_frac_bad,first_good_t,first_bad_t,mean_good_domain,mean_bad_domain,n_good_domains,n_bad_domains,out_dir
neg_mem_gain,neg_mem_gain=0p0,0,v9,0.00000000,0.80671875,38,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,1,v9,0.00000000,0.82421875,0,0,,5144.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,2,v9,0.00000000,0.80593750,8,0,,5139.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,3,v9,0.00000000,0.81828125,12,0,,5135.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,4,v9,0.00000000,0.81093750,5,0,,5131.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,5,v9,0.00000000,0.81656250,0,0,,5128.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,6,v9,0.00000000,0.82703125,3,0,,5162.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,7,v9,0.00000000,0.80937500,3,0,,5129.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,8,v9,0.00000000,0.80812500,14,0,,2568.500,0,2,
neg_mem_gain,neg_mem_gain=0p0,9,v9,0.00000000,0.81718750,16,0,,1723.333,0,3,
neg_mem_gain,neg_mem_gain=0p0,10,v9,0.00000000,0.81328125,1,0,,5127.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,11,v9,0.00000000,0.81125000,-1,1,,5118.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,12,v9,0.00000000,0.81546875,1,0,,5121.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,13,v9,0.00000000,0.80718750,7,0,,5135.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,14,v9,0.00000000,0.81218750,-1,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,15,v9,0.00000000,0.81109375,14,1,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,16,v9,0.00000000,0.80671875,6,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,17,v9,0.00000000,0.81375000,1043,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p0,18,v9,0.00000000,0.82515625,8,0,,2578.500,0,2,
neg_mem_gain,neg_mem_gain=0p0,19,v9,0.00000000,0.82312500,18,0,,2574.000,0,2,
