L,g,n_bonds,dim,solver,E0,gap,sigma,intercept,R2
4,0.15,10,1024,cupy-dense,-1.4986575731001588,0.2997315475537188,10.837396449386087,-0.6826780942649725,0.9999998250265794
4,0.25,10,1024,cupy-dense,-2.493720520416399,0.49874482233578865,9.29393197014943,-0.6828298131160427,0.999999768908949
4,0.35,10,1024,cupy-dense,-3.4824995767648734,0.6965054668240023,8.26773737063758,-0.6829325957702549,0.9999997136415331
4,0.45,10,1024,cupy-dense,-4.462022819172365,0.8924305430968325,7.491062779050786,-0.6831081401935489,0.9999996625635653
5,0.15,13,8192,cupy-eigsh,-1.9482548474268735,0.29973154755372433,9.502342799471808,1.542386907340728,0.9870125800862022
5,0.25,13,8192,cupy-eigsh,-3.2418367294616504,0.4987448223358033,9.267145865353376,-0.6381859572016414,0.9999943368993257
5,0.35,13,8192,cupy-eigsh,-4.527249863953038,0.6965054668250676,8.21024845558802,-0.5871171960287211,0.9999671969307137
5,0.45,13,8192,cupy-eigsh,-5.800631627744748,0.8924305431054753,7.4327768014319116,-0.585962910120868,0.9999588612791951
6,0.15,16,65536,cupy-eigsh,-2.3978521217535884,0.2997315476246176,7.63940341497871,5.390979705723763,0.916906990759171
6,0.25,16,65536,cupy-eigsh,-3.989952938506904,0.49874482233631223,8.549533896783524,0.7840405056547383,0.9937194988037128
6,0.35,16,65536,cupy-eigsh,-5.572000151141203,0.6965054668244042,8.35391429577421,-0.8745953024698256,0.9996864507210029
6,0.45,16,65536,cupy-eigsh,-7.139240436317135,0.8924305431122397,7.4836479823345625,-0.687703732892029,0.999933516528063
7,0.15,19,524288,cupy-eigsh,-2.847449396080302,0.29973154764109244,6.673011008438046,8.219842046134312,0.8578861406613643
7,0.25,19,524288,cupy-eigsh,-4.738069147552155,0.4987448223940394,7.618914890177701,3.3071519444329867,0.9164483705683907
7,0.35,19,524288,cupy-eigsh,-6.616750438329375,0.6965054668244015,7.77715495789754,0.4037750141118149,0.9968730139083269
7,0.45,19,524288,cupy-eigsh,-8.477849244889502,0.8924305431071504,7.248353605901079,-0.15322571964875803,0.9990556460708914
