t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,4,2,2,1,1.0,6.339850002884624,0.0,0.031415926535897934,33.86673904493438,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,4,2,2,1,1.0,6.339850002884624,0.13710502452674858,0.05905499190064921,33.86673904493438,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,7,3,4,2,1.3333333333333333,11.094737505048093,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,1,1,0,0,0,1,6,0
3,7,3,4,2,1.3333333333333333,11.094737505048093,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,0,0,0,0,0,0,6,0
4,7,3,4,2,1.3333333333333333,11.094737505048093,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,0,0,0,0,0,0,6,0
5,9,3,6,3,2.0,14.264662506490405,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,0,0,0,0,0,0,6,1
6,9,3,6,3,2.0,14.264662506490405,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,0,0,0,0,0,0,6,0
7,9,3,6,3,2.0,14.264662506490405,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,1,0,0,1,0,0,6,0
8,9,3,6,3,2.0,14.264662506490405,0.712877677529258,1.5965403689223765,1.879063040557454,0.0,0.0,1.0,0,0,0,0,0,0,6,0
9,12,4,8,4,2.0,19.019550008653873,0.712877677529258,1.5965403689223765,2.5054173874099384,0.0,0.0,1.0,1,1,0,0,0,1,8,0
10,12,4,8,4,2.0,19.019550008653873,0.712877677529258,1.5965403689223765,2.5054173874099384,0.0,0.0,1.0,0,0,0,0,0,0,8,0
11,12,4,8,4,2.0,19.019550008653873,0.712877677529258,1.5965403689223765,2.5054173874099384,0.0,0.0,1.0,0,0,0,0,0,0,8,0
