seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,N_final,R_final,E_final,modifier_final,fit_type,alpha,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end
0,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14202.0,4.578603766748926,0.0,1.0,power_law,2.644019768849598,0.903926775293449,0.012347996423345362,0.72938436280201,0.009277155635000377,0.7510168390013947,57,400
1,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13994.0,4.795520832296956,0.0,1.0,power_law,2.73267498743775,0.909337414955758,0.012800000425937064,0.7381228821182209,0.008990004985253451,0.8134793685908689,57,400
2,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14266.0,4.758690745032304,0.0,1.0,power_law,2.4203285967362484,0.888121094252276,0.011211718353609543,0.7050622836550187,0.010015246517978171,0.7935550901050074,57,400
3,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14256.0,4.900239432065139,0.0,1.0,power_law,2.798959093134402,0.9191087322548794,0.013171746611045846,0.7530436105223219,0.0116827288726248,0.8099664881548831,57,400
4,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13960.0,5.04069147259218,0.0,1.0,power_law,2.3058060927184028,0.8945480386063573,0.010712411348854105,0.7143189772968979,0.010694843557017171,0.8217704768908082,57,400
5,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14122.0,4.895239259599626,0.0,1.0,power_law,2.1316303089769257,0.8795144062168039,0.009834681107893838,0.6926268961988492,0.008165970321246274,0.745659756336213,57,400
6,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14342.0,4.35635657291721,0.0,1.0,power_law,2.6067626949958425,0.9007947933563062,0.012144588152096503,0.7233492895630446,0.00805241855901565,0.7441472257322763,57,400
7,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14150.0,4.82876797046892,0.0,1.0,power_law,1.8272311348717165,0.8630439854046854,0.008374669501658305,0.6707194711516644,0.006766263363926316,0.7055405729397433,57,400
8,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13910.0,4.989339320463937,0.0,1.0,power_law,3.513931271882854,0.9401735623535569,0.016776379109742435,0.7928254366352987,0.012762626419757252,0.8271364822834137,57,400
9,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14270.0,4.550353767303165,0.0,1.0,power_law,2.6683837645565833,0.9071327509355576,0.012471693151384201,0.733136269421178,0.009439337457306466,0.7812433643387467,57,400
10,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14288.0,4.3993463672706925,0.0,1.0,power_law,2.5864187982206777,0.9131920797957465,0.012129821834621992,0.7430754054312945,0.009424971709631238,0.825853709371443,57,400
11,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13980.0,5.039819097231793,0.0,1.0,power_law,1.7511463970077499,0.8419732985672473,0.007952809694362538,0.6424719818278348,0.005981909835575516,0.687869152648819,57,400
12,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14136.0,4.628932182084038,0.0,1.0,power_law,2.2490676212765583,0.8902242892387748,0.010430136706718064,0.7083273607979735,0.007755562377180297,0.7836457070982703,57,400
13,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13978.0,5.285889215840296,0.0,1.0,power_law,2.083238027080329,0.8896610618052251,0.009668694348554855,0.7089931838973692,0.009970968709190082,0.7637504762128746,57,400
14,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13936.0,5.0955442080998425,0.0,1.0,power_law,1.9229287409728368,0.8600541215139702,0.008799377258910734,0.6662893613865033,0.008134747855576266,0.7425391833518988,57,400
15,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14306.0,4.517590993000834,0.0,1.0,power_law,2.947799565635469,0.9145067971072667,0.013828860737193319,0.7446007103980734,0.010216610572382802,0.8278878615208711,57,400
16,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14318.0,4.761742400851291,0.0,1.0,power_law,1.8494511070713837,0.8771964021923356,0.008533549952541786,0.6909238844039772,0.007066264206837118,0.6785738871184211,57,400
17,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14034.0,5.025954498943505,0.0,1.0,power_law,2.4683195725055938,0.8929074271288685,0.011453494095467467,0.7112778055642746,0.010264454372471756,0.8002085465751626,57,400
18,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14242.0,4.296875187592735,0.0,1.0,power_law,2.4958457038503754,0.8840384045332024,0.01153506975944646,0.6986114826040197,0.00767572253489358,0.7950007630913725,57,400
19,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13992.0,4.926043276208893,0.0,1.0,power_law,2.5918106355012442,0.8952721353560991,0.012046748819051701,0.7155629502350764,0.01037708938432422,0.7849381452168103,57,400
20,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13898.0,4.674213646831348,0.0,1.0,power_law,2.272124682401548,0.8770601214419385,0.010469933052938042,0.6889892700308939,0.006453547901769173,0.6102714965550369,57,400
21,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14316.0,4.55410582072292,0.0,1.0,power_law,2.4983227467626494,0.8968746556915111,0.01162038042243857,0.7178520793696441,0.009312480534582385,0.7730384076153107,57,400
22,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,13998.0,4.7329267485323925,0.0,1.0,power_law,2.2960459462972898,0.8915253069434067,0.010654694653428902,0.7102547486410946,0.008503597556360805,0.7627311973311292,57,400
23,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14152.0,4.356269177182151,0.0,1.0,power_law,2.4985968092331134,0.8766633427311546,0.011510446015269061,0.6883104973872022,0.007131364399266145,0.7548834098878345,57,400
24,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,14222.0,4.802585685685261,0.0,1.0,power_law,2.3270380475376355,0.8924554369723492,0.010799257123724539,0.7110938750137741,0.00849325960070461,0.7933074013497479,57,400
