t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.031415926535897934,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
8,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
9,2,4,2,1,1.0,6.339850002884624,0.12966566467190335,0.05282017720649313,37.86431825439128,0.0,0.0,1.0,0,0,0,0,0,0,4,0
10,3,7,4,2,1.3333333333333333,11.094737505048093,0.23541821186714548,0.17411251388756407,17.23023769524859,0.0,0.0,1.0,1,1,0,0,0,1,6,0
11,3,7,4,2,1.3333333333333333,11.094737505048093,0.23541821186714548,0.17411251388756407,17.23023769524859,0.0,0.0,1.0,0,0,0,0,0,0,6,0
12,3,7,4,2,1.3333333333333333,11.094737505048093,0.23541821186714548,0.17411251388756407,17.23023769524859,0.0,0.0,1.0,0,0,0,0,0,0,6,0
13,3,7,4,2,1.3333333333333333,11.094737505048093,0.23541821186714548,0.17411251388756407,17.23023769524859,0.0,0.0,1.0,0,0,0,0,0,0,6,0
14,4,10,6,3,1.5,15.84962500721156,0.28903474434399834,0.26245205400175425,15.240879006316574,0.0,0.0,1.0,1,1,0,0,0,1,8,0
15,4,10,6,3,1.5,15.84962500721156,0.28903474434399834,0.26245205400175425,15.240879006316574,0.0,0.0,1.0,0,0,0,0,0,0,8,0
16,5,13,8,4,1.6,20.604512509375027,0.37773106070854034,0.44824480927876603,11.154618852240787,0.0,0.0,1.0,1,1,0,0,0,1,10,0
17,5,15,10,5,2.0,23.774437510817343,0.37773106070854034,0.44824480927876603,11.154618852240787,0.0,0.0,1.0,0,0,0,0,0,0,10,1
18,6,18,12,6,2.0,28.52932501298081,0.7135294271240279,1.5994609827417592,3.751263747437551,0.0,0.0,1.0,1,1,0,0,0,1,12,0
19,6,18,12,6,2.0,28.52932501298081,0.7135294271240279,1.5994609827417592,3.751263747437551,0.0,0.0,1.0,0,0,0,0,0,0,12,0
20,7,21,14,7,2.0,33.284212515144276,0.7135294271240279,1.5994609827417592,4.376474372010477,0.0,0.0,1.0,1,1,0,0,0,1,14,0
21,7,21,14,7,2.0,33.284212515144276,0.7135294271240279,1.5994609827417592,4.376474372010477,0.0,0.0,1.0,1,0,0,1,0,0,14,0
22,7,21,14,7,2.0,33.284212515144276,0.7135294271240279,1.5994609827417592,4.376474372010477,0.0,0.0,1.0,0,0,0,0,0,0,14,0
23,7,21,14,7,2.0,33.284212515144276,0.7135294271240279,1.5994609827417592,4.376474372010477,0.0,0.0,1.0,1,0,0,1,0,0,14,0
24,8,24,16,8,2.0,38.039100017307746,0.7578968138106428,1.8045546347016814,4.43322681738728,0.0,0.0,1.0,1,1,0,0,0,1,16,0
25,9,27,18,9,2.0,42.793987519471216,0.7578968138106428,1.8045546347016814,4.98738016956069,0.0,0.0,1.0,1,1,0,0,0,1,18,0
26,9,27,18,9,2.0,42.793987519471216,0.7578968138106428,1.8045546347016814,4.98738016956069,0.0,0.0,1.0,0,0,0,0,0,0,18,0
27,9,27,18,9,2.0,42.793987519471216,0.7578968138106428,1.8045546347016814,4.98738016956069,0.0,0.0,1.0,1,0,0,1,0,0,18,0
28,9,27,18,9,2.0,42.793987519471216,0.7578968138106428,1.8045546347016814,4.98738016956069,0.0,0.0,1.0,0,0,0,0,0,0,18,0
29,10,28,18,9,1.8,44.37895002019237,0.7578968138106428,1.8045546347016814,5.5415335217341,0.0,0.0,1.0,1,1,0,0,0,0,20,0
30,10,28,18,9,1.8,44.37895002019237,0.7578968138106428,1.8045546347016814,5.5415335217341,0.0,0.0,1.0,0,0,0,0,0,0,20,0
31,10,28,18,9,1.8,44.37895002019237,0.7578968138106428,1.8045546347016814,5.5415335217341,0.0,0.0,1.0,1,0,0,1,0,0,20,0
32,11,31,20,10,1.8181818181818181,49.13383752235584,0.9276491827529397,2.7034441706448575,4.068883729667015,0.0,0.0,1.0,1,1,0,0,0,1,22,0
33,11,33,22,11,2.0,52.303762523798156,0.9276491827529397,2.7034441706448575,4.068883729667015,0.0,0.0,1.0,0,0,0,0,0,0,22,1
34,11,33,22,11,2.0,52.303762523798156,0.9276491827529397,2.7034441706448575,4.068883729667015,0.0,0.0,1.0,1,0,0,1,0,0,22,0
35,14,42,28,14,2.0,66.56842503028855,0.9800258750143686,3.0173449125708864,4.639840789056991,0.0,0.0,1.0,3,3,0,0,0,2,28,1
36,15,45,30,15,2.0,71.32331253245204,0.9800258750143686,3.0173449125708864,4.971257988275347,0.0,0.0,1.0,2,1,0,1,0,1,30,0
37,17,53,36,18,2.1176470588235294,84.00301253822127,0.9800258750143686,3.0173449125708864,5.6340923867120605,0.0,0.0,1.0,3,2,0,1,0,2,34,1
38,17,53,36,18,2.1176470588235294,84.00301253822127,0.9800258750143686,3.0173449125708864,5.6340923867120605,0.0,0.0,1.0,0,0,0,0,0,0,34,0
39,18,54,36,18,2.0,85.58797503894243,0.9800258750143686,3.0173449125708864,5.965509585930417,0.0,0.0,1.0,2,1,0,1,0,0,36,0
40,19,59,40,20,2.1052631578947367,93.51278754254821,0.9800258750143686,3.0173449125708864,6.296926785148774,0.0,0.0,1.0,1,1,0,0,0,1,38,1
41,22,68,46,23,2.090909090909091,107.77745004903862,1.4424173499205104,6.536296551437921,3.3658203581904824,0.0,0.0,1.0,4,3,0,1,0,3,44,0
42,23,71,48,24,2.0869565217391304,112.53233755120209,1.4424173499205104,6.536296551437921,3.5188121926536864,0.0,0.0,1.0,1,1,0,0,0,0,46,1
43,23,71,48,24,2.0869565217391304,112.53233755120209,1.4424173499205104,6.536296551437921,3.5188121926536864,0.0,0.0,1.0,1,0,0,1,0,0,46,0
44,25,75,50,25,2.0,118.87218755408671,1.4424173499205104,6.536296551437921,3.824795861580094,0.0,0.0,1.0,2,2,0,0,0,1,50,0
45,25,75,50,25,2.0,118.87218755408671,1.4424173499205104,6.536296551437921,3.824795861580094,0.0,0.0,1.0,0,0,0,0,0,0,50,0
46,27,79,52,26,1.9259259259259258,125.21203755697132,1.4424173499205104,6.536296551437921,4.130779530506501,0.0,0.0,1.0,5,2,0,3,0,1,54,0
47,27,79,52,26,1.9259259259259258,125.21203755697132,1.4424173499205104,6.536296551437921,4.130779530506501,0.0,0.0,1.0,2,0,0,2,0,0,54,0
48,27,85,58,29,2.1481481481481484,134.72181256129826,1.4424173499205104,6.536296551437921,4.130779530506501,0.0,0.0,1.0,1,0,0,1,0,0,54,3
49,27,87,60,30,2.2222222222222223,137.8917375627406,1.4424173499205104,6.536296551437921,4.130779530506501,0.0,0.0,1.0,1,0,0,1,0,0,54,1
50,29,91,62,31,2.1379310344827585,144.2315875656252,1.4424173499205104,6.536296551437921,4.436763199432908,0.0,0.0,1.0,3,2,0,1,0,1,58,0
51,29,91,62,31,2.1379310344827585,144.2315875656252,1.4424173499205104,6.536296551437921,4.436763199432908,0.0,0.0,1.0,1,0,0,1,0,0,58,0
52,32,96,64,32,2.0,152.15640006923098,1.4424173499205104,6.536296551437921,4.89573870282252,0.0,0.0,1.0,3,3,0,0,0,1,64,0
53,33,99,66,33,2.0,156.91128757139444,1.4424173499205104,6.536296551437921,5.048730537285724,0.0,0.0,1.0,3,1,0,2,0,1,66,0
54,33,105,72,36,2.1818181818181817,166.42106257572138,1.4424173499205104,6.536296551437921,5.048730537285724,0.0,0.0,1.0,3,0,0,3,0,0,66,3
55,34,106,72,36,2.1176470588235294,168.00602507644254,1.4424173499205104,6.536296551437921,5.201722371748928,0.0,0.0,1.0,2,1,0,1,0,0,68,0
56,36,112,76,38,2.111111111111111,177.51580008076948,1.4424173499205104,6.536296551437921,5.507706040675335,0.0,0.0,1.0,5,2,0,3,0,1,72,1
57,38,114,76,38,2.0,180.6857250822118,1.9363577638795888,11.779343188768657,3.2259863212264808,0.0,0.0,1.0,3,2,0,1,0,0,76,0
58,41,121,80,40,1.951219512195122,191.78046258725988,1.9363577638795888,11.779343188768657,3.4806694518496237,0.0,0.0,1.0,4,3,0,1,0,1,82,1
59,41,125,84,42,2.048780487804878,198.12031259014452,1.9363577638795888,11.779343188768657,3.4806694518496237,0.0,0.0,1.0,1,0,0,1,0,0,82,2
60,43,127,84,42,1.9534883720930232,201.29023759158682,1.9363577638795888,11.779343188768657,3.650458205598386,0.0,0.0,1.0,4,2,0,2,0,0,86,0
61,44,132,88,44,2.0,209.21505009519262,1.9363577638795888,11.779343188768657,3.735352582472767,0.0,0.0,1.0,2,1,0,1,0,1,88,1
62,46,140,94,47,2.0434782608695654,221.89475010096186,1.9363577638795888,11.779343188768657,3.9051413362215293,0.0,0.0,1.0,4,2,0,2,0,1,92,2
63,49,147,98,49,2.0,232.98948760600996,1.9363577638795888,11.779343188768657,4.159824466844673,0.0,0.0,1.0,4,3,0,1,0,2,98,0
64,54,154,100,50,1.8518518518518519,244.08422511105803,1.9363577638795888,11.779343188768657,4.584296351216578,0.0,0.0,1.0,7,5,0,2,0,1,108,0
65,55,155,100,50,1.8181818181818181,245.6691876117792,1.9363577638795888,11.779343188768657,4.669190728090959,0.0,0.0,1.0,3,1,0,2,0,0,110,0
66,57,161,104,52,1.8245614035087718,255.1789626161061,1.9363577638795888,11.779343188768657,4.838979481839721,0.0,0.0,1.0,4,2,0,2,0,1,114,1
67,59,167,108,54,1.8305084745762712,264.6887376204331,1.9363577638795888,11.779343188768657,5.008768235588483,0.0,0.0,1.0,4,2,0,2,0,0,118,2
68,62,176,114,57,1.8387096774193548,278.9534001269235,1.9684764724740864,12.173356188021987,5.093090109447804,0.0,0.0,1.0,9,3,0,6,0,3,124,0
69,62,178,116,58,1.8709677419354838,282.12332512836576,1.9684764724740864,12.173356188021987,5.093090109447804,0.0,0.0,1.0,2,0,0,2,0,0,124,1
70,63,185,122,61,1.9365079365079365,293.21806263341387,1.9684764724740864,12.173356188021987,5.175236724116316,0.0,0.0,1.0,2,1,0,1,0,0,126,3
71,66,194,128,64,1.9393939393939394,307.4827251399043,1.9684764724740864,12.173356188021987,5.421676568121855,0.0,0.0,1.0,6,3,0,3,0,1,132,2
72,68,198,130,65,1.911764705882353,313.8225751427889,2.005947802959593,12.64122404880343,5.379225914949005,0.0,0.0,1.0,5,2,0,3,0,1,136,0
73,69,203,134,67,1.9420289855072463,321.7473876463947,2.005947802959593,12.64122404880343,5.458332178404138,0.0,0.0,1.0,7,1,0,6,0,1,138,1
74,70,208,138,69,1.9714285714285715,329.67220015000044,2.005947802959593,12.64122404880343,5.53743844185927,0.0,0.0,1.0,6,1,0,5,0,0,140,2
75,73,211,138,69,1.8904109589041096,334.42708765216395,2.005947802959593,12.64122404880343,5.774757232224667,0.0,0.0,1.0,4,3,0,1,0,0,146,0
76,78,230,152,76,1.9487179487179487,364.54137516586593,2.1632221902216204,14.701177837641163,5.305697329930081,0.0,0.0,1.0,7,5,0,2,0,3,156,4
77,78,238,160,80,2.051282051282051,377.22107517163516,2.1632221902216204,14.701177837641163,5.305697329930081,0.0,0.0,1.0,0,0,0,0,0,0,156,4
78,78,246,168,84,2.1538461538461537,389.9007751774044,2.1632221902216204,14.701177837641163,5.305697329930081,0.0,0.0,1.0,4,0,0,4,0,0,156,4
79,80,252,172,86,2.15,399.4105501817313,2.245769702448085,15.84456460620792,5.0490500678482455,0.0,0.0,1.0,7,2,0,5,0,1,160,1
80,82,262,180,90,2.1951219512195124,415.26017518894287,2.245769702448085,15.84456460620792,5.1752763195444516,0.0,0.0,1.0,10,2,0,8,0,2,164,2
81,85,269,184,92,2.164705882352941,426.35491269399097,2.245769702448085,15.84456460620792,5.364615697088761,0.0,0.0,1.0,8,3,0,5,0,2,170,0
82,89,277,188,94,2.1123595505617976,439.0346126997602,2.245769702448085,15.84456460620792,5.617068200481173,0.0,0.0,1.0,7,4,0,3,0,1,178,1
83,90,280,190,95,2.111111111111111,443.7895002019237,2.245769702448085,15.84456460620792,5.680181326329276,0.0,0.0,1.0,6,1,0,5,0,1,180,0
84,94,288,194,97,2.0638297872340425,456.46920020769295,2.245769702448085,15.84456460620792,5.932633829721688,0.0,0.0,1.0,10,4,0,6,0,1,188,1
85,96,296,200,100,2.0833333333333335,469.1489002134622,2.245769702448085,15.84456460620792,6.058860081417894,0.0,0.0,1.0,8,2,0,6,0,0,192,3
86,97,301,204,102,2.1030927835051547,477.073712717068,2.245769702448085,15.84456460620792,6.121973207265997,0.0,0.0,1.0,9,1,0,8,0,1,194,1
87,101,317,216,108,2.1386138613861387,502.4331127286065,2.245769702448085,15.84456460620792,6.37442571065841,0.0,0.0,1.0,18,4,0,14,0,3,202,3
88,103,325,222,111,2.1553398058252426,515.1128127343757,2.2905354263075726,16.482530913729388,6.249040304496229,0.0,0.0,1.0,8,2,0,6,0,2,206,1
89,106,334,228,114,2.150943396226415,529.3774752408661,2.2905354263075726,16.482530913729388,6.431051187151459,0.0,0.0,1.0,6,3,0,3,0,1,212,2
90,108,340,232,116,2.1481481481481484,538.8872502451931,2.2905354263075726,16.482530913729388,6.552391775588279,0.0,0.0,1.0,11,2,0,9,0,1,216,1
91,113,351,238,119,2.106194690265487,556.3218377531258,2.2905354263075726,16.482530913729388,6.855743246680329,0.0,0.0,1.0,9,5,0,4,0,2,226,1
92,114,358,244,122,2.1403508771929824,567.4165752581739,2.2905354263075726,16.482530913729388,6.916413540898739,0.0,0.0,1.0,4,1,0,3,0,1,228,2
93,116,362,246,123,2.1206896551724137,573.7564252610584,2.2905354263075726,16.482530913729388,7.037754129335559,0.0,0.0,1.0,12,2,0,10,0,0,232,1
94,119,369,250,125,2.100840336134454,584.8511627661067,2.2905354263075726,16.482530913729388,7.219765011990789,0.0,0.0,1.0,11,3,0,8,0,1,238,1
95,122,374,252,126,2.0655737704918034,592.7759752697124,2.2905354263075726,16.482530913729388,7.401775894646018,0.0,0.0,1.0,10,3,0,7,0,0,244,1
96,124,384,260,130,2.096774193548387,608.6256002769239,2.2905354263075726,16.482530913729388,7.5231164830828385,0.0,0.0,1.0,13,2,0,11,0,1,248,3
97,124,390,266,133,2.1451612903225805,618.1353752812508,2.2905354263075726,16.482530913729388,7.5231164830828385,0.0,0.0,1.0,4,0,0,4,0,0,248,3
98,128,402,274,137,2.140625,637.1549252899047,2.2905354263075726,16.482530913729388,7.765797659956479,0.0,0.0,1.0,14,4,0,10,0,2,256,2
99,128,408,280,140,2.1875,646.6647002942317,2.2905354263075726,16.482530913729388,7.765797659956479,0.0,0.0,1.0,10,0,0,10,0,0,256,3
100,132,416,284,142,2.1515151515151514,659.3444003000009,2.2905354263075726,16.482530913729388,8.008478836830118,0.0,0.0,1.0,12,4,0,8,0,1,264,1
101,132,422,290,145,2.196969696969697,668.8541753043279,2.2905354263075726,16.482530913729388,8.008478836830118,0.0,0.0,1.0,10,0,0,10,0,0,264,3
102,134,428,294,147,2.1940298507462686,678.3639503086548,2.7945784528769164,24.53479790688836,5.461630477191675,0.0,0.0,1.0,10,2,0,8,0,1,268,1
