seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,siteN_final,totalN_final,R_final,E_final,modifier_final,fit_type,alpha_site,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end,saturated,sat_t_index
0,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46076.0,6.346576441436622,0.0,1.0,power_law,3.931093023899707,0.9994589096663609,0.022745905213487943,0.9624538484953576,0.011553261584912992,0.8217122863178498,71,307,1,308
1,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45970.0,6.240026191194909,0.0,1.0,power_law,3.9669325663021873,0.9990210042218378,0.022661491417556422,0.9587928086201103,0.010508284693014175,0.8621274718131193,71,312,1,313
2,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46516.0,6.250282528092232,0.0,1.0,power_law,3.7292311918977057,0.9996363759877822,0.02188617368928144,0.9638901120198642,0.011221580006479832,0.8389979458337261,71,301,1,302
3,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46490.0,6.695069294708939,0.0,1.0,power_law,3.9404522531263124,0.9995691745289901,0.02228227313278885,0.9650095296958093,0.013480144450905989,0.8323796089303832,71,318,1,319
4,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46146.0,6.322195840652907,0.0,1.0,power_law,3.5403501328810543,0.9996229242945719,0.020615977251938325,0.9662537565985828,0.011151538862808332,0.8318847914874304,71,305,1,306
5,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46434.0,6.925075142335068,0.0,1.0,power_law,3.457587577530774,0.9991133844916487,0.020677918350394245,0.968744910114223,0.011782967773469632,0.8689369980714841,71,294,1,295
6,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46524.0,5.932291828138153,0.0,1.0,power_law,3.8516694547805463,0.9995136494039759,0.022225829288222122,0.9615718242610602,0.010126145542975822,0.8445713036440975,71,308,1,309
7,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46092.0,6.251946792563292,0.0,1.0,power_law,3.219329778157783,0.9992555636795926,0.01984894380938064,0.9778000268287131,0.008533691067047381,0.7809779181334119,71,283,1,284
8,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45908.0,6.413576909600264,0.0,1.0,power_law,4.644082020873777,0.9990710269278212,0.025274705840678834,0.9563831152797303,0.012950415327089128,0.87260617799018,71,334,1,335
9,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46454.0,6.307972214241981,0.0,1.0,power_law,3.8706552351443895,0.9979136733371512,0.0221003481653501,0.9567644546911347,0.011786553637311235,0.8607956714329539,71,312,1,313
10,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46472.0,5.7647444001521135,0.0,1.0,power_law,3.7486286076575746,0.9989427770068005,0.021316511526882968,0.9625825386278828,0.010619286639154258,0.8497722025457226,71,315,1,316
11,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46016.0,6.36918726833571,0.0,1.0,power_law,3.2963850665604704,0.9992782798619217,0.021035526778295205,0.9782423069150691,0.007551911883647033,0.7430654646092696,71,269,1,270
12,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46544.0,6.5318737346964175,0.0,1.0,power_law,3.563645702149203,0.9992403176877283,0.021230901728794434,0.9704222066032658,0.011145816553968405,0.848279202926528,71,296,1,297
13,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46226.0,6.478806878876457,0.0,1.0,power_law,3.4058216070976446,0.9989143851451249,0.02049384743357879,0.9759838465216577,0.010150680382256258,0.8289480068934452,71,293,1,294
14,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46058.0,6.3943878248317425,0.0,1.0,power_law,3.3782049266937975,0.9995097728693924,0.02096384303121289,0.976619944239301,0.009103017347795577,0.7717915388356167,71,280,1,281
15,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46336.0,6.36710169200053,0.0,1.0,power_law,4.065727876497703,0.9983524340112306,0.022660002976809448,0.9526340310260988,0.012796619010599482,0.8545876967285925,71,322,1,323
16,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46492.0,6.283986403396617,0.0,1.0,power_law,3.159673764078433,0.9983668259459729,0.019202226022721976,0.9811533907804212,0.009170863402885669,0.8135688277252417,71,290,1,291
17,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45910.0,6.180859348551054,0.0,1.0,power_law,3.736328562212398,0.9988894249716771,0.021767019196650802,0.9620752313497444,0.010329681911062618,0.8224572773578924,71,304,1,305
18,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46634.0,5.803248350404403,0.0,1.0,power_law,3.8300489321244386,0.9982570232450352,0.022391035896562432,0.9551388467126403,0.009758597758033234,0.8298819177716052,71,301,1,302
19,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45978.0,6.369194708815999,0.0,1.0,power_law,3.9221159601670625,0.9997568654595179,0.023088758734697352,0.9655212061157011,0.011299836053016984,0.8350161585669644,71,300,1,301
20,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45974.0,5.966378695928891,0.0,1.0,power_law,3.676880255457815,0.9997064827313564,0.022181354465321605,0.9680945169759007,0.00782344961243842,0.7791619166406327,71,290,1,291
21,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46670.0,6.771889667529901,0.0,1.0,power_law,3.775770647191471,0.9997221969989212,0.02190738828017992,0.9636944045658197,0.013202066115703954,0.8801824685950318,71,306,1,307
22,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46018.0,6.251968988988428,0.0,1.0,power_law,3.6154906730930545,0.9996923662360252,0.02136984618459905,0.9688555330562446,0.010241202579296591,0.8219392985371683,71,299,1,300
23,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46228.0,5.947112865675269,0.0,1.0,power_law,3.9149451415290986,0.9989366294459948,0.02328962403698311,0.958382632769036,0.009428192647340714,0.8126205728565983,71,294,1,295
24,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46248.0,6.028191948757148,0.0,1.0,power_law,3.580667769725598,0.9990638877246961,0.021260247177998386,0.9726081645471678,0.009330997474580174,0.7956255011658154,71,298,1,299
25,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46294.0,6.211645957070964,0.0,1.0,power_law,5.156010638108314,0.9951406457559636,0.02733131501584369,0.9340834949444615,0.013472188698722888,0.8780888474350065,71,342,1,343
26,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,45810.0,6.110980929017376,0.0,1.0,power_law,3.6264052045461446,0.9998494623827955,0.022285902118138277,0.9720128244824563,0.008543210773827248,0.7883192472749698,71,283,1,284
27,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46466.0,6.121386066289481,0.0,1.0,power_law,3.3989835766333214,0.9981639575827175,0.020660517923299548,0.9813281595943141,0.008970688005433982,0.7719737115022995,71,290,1,291
28,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46368.0,6.063162136051943,0.0,1.0,power_law,3.723974434077094,0.9998429933963457,0.021908675590946603,0.9688021239097627,0.009927318878399113,0.7703422410123727,71,301,1,302
29,v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,20000.0,46204.0,6.492762150028489,0.0,1.0,power_law,5.027019141600517,0.9907722769208105,0.026631913676741076,0.9213096621573451,0.014261766401829405,0.853506530038115,71,340,1,341
