seed,label,spatial_dim,energy_gamma,energy_total,death_rate,memory_total,memory_per_site,memory_per_linkend,bandwidth,birth_attempts,frontier_bias,step_frac_min,step_frac_max,no_signaling,spatial_exclusion,exclusion_radius,nsteps,max_subsystems,siteN_final,totalN_final,R_final,E_final,rhoE_final,mem_bound_final,mem_free_final,fit_type,alpha,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end,saturated,sat_t_index,valid_alpha,invalid_reason
0,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,317.0882799435069,0.0,0.0,346.0,inf,power_law,0.9811192000372455,0.9999720902906193,0.002830116407472363,0.9450547880868344,0.4549214613250115,0.9999116725371776,100,700,0,-1,1,
1,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,343.0,1027.0,315.0316280935076,0.0,0.0,343.0,inf,power_law,0.976255187850797,0.9999177924332449,0.0028118953796084935,0.9421931926892558,0.45136559170824336,0.9996552549620306,100,700,0,-1,1,
2,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,347.0,1039.0,318.61407786421984,0.0,0.0,347.0,inf,power_law,0.9819471662925898,0.9999703228239254,0.002831509354371995,0.9443890207121592,0.4559411369620604,0.999893562419802,100,700,0,-1,1,
3,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,318.15401659260374,0.0,0.0,346.0,inf,power_law,0.9797272093996124,0.9999746353886975,0.002825421633697676,0.9446028168516238,0.4555625155779153,0.9998959862873428,100,700,0,-1,1,
4,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,347.0,1039.0,320.9240802530298,0.0,0.0,347.0,inf,power_law,0.9807414015370981,0.9999774416569642,0.002829531391595593,0.9453971235202949,0.45965783042080766,0.9999753889730915,100,700,0,-1,1,
5,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,318.1203951092595,0.0,0.0,346.0,inf,power_law,0.980691357615813,0.9999712037656331,0.002827982037979309,0.9444525644120074,0.45530090680254426,0.9999061280073401,100,700,0,-1,1,
6,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,347.0,1039.0,319.58816549212287,0.0,0.0,347.0,inf,power_law,0.9820355436190615,0.9999528479860894,0.0028312372218488725,0.944021065736276,0.45817895881996185,0.9998242610756785,100,700,0,-1,1,
7,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,344.0,1030.0,315.771971121734,0.0,0.0,344.0,inf,power_law,0.9755897867191808,0.9999588372596986,0.002811456680027323,0.9432232210732059,0.4510529580607768,0.9998409855788872,100,700,0,-1,1,
8,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,320.1344452629173,0.0,0.0,346.0,inf,power_law,0.980914330549766,0.9999752647906811,0.0028289242123301817,0.9446562089811618,0.45829761418363396,0.9998971360664216,100,700,0,-1,1,
9,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,347.0,1039.0,318.72749475184514,0.0,0.0,347.0,inf,power_law,0.9801234492806287,0.9999723628853636,0.00282597945249944,0.9442097842765471,0.4555457411143392,0.9999115424440486,100,700,0,-1,1,
10,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,343.0,1027.0,315.4090285015528,0.0,0.0,343.0,inf,power_law,0.9773572205281551,0.9999308138775361,0.002815722268935866,0.9426424437120793,0.4526859318460186,0.999791474845223,100,700,0,-1,1,
11,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,345.0,1033.0,317.2852289985859,0.0,0.0,345.0,inf,power_law,0.9749245597785628,0.9999399361043138,0.002808673702982085,0.9426240736417674,0.4505498459180661,0.9997961435471059,100,700,0,-1,1,
12,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,348.0,1042.0,318.6609719218259,0.0,0.0,348.0,inf,power_law,0.9841186157798181,0.9999749812862515,0.0028398088731631014,0.9457503768511485,0.45783010965065774,0.9999222320805791,100,700,0,-1,1,
13,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,347.0,1039.0,318.96317207767015,0.0,0.0,347.0,inf,power_law,0.9813343298561489,0.9999781495918176,0.002830135537127813,0.9446589747865595,0.4565463364319301,0.9999463807108848,100,700,0,-1,1,
14,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,318.1431186662418,0.0,0.0,346.0,inf,power_law,0.9771865724364922,0.9999756877402404,0.0028175832597151815,0.944260962735964,0.4532788817199256,0.9998485620167593,100,700,0,-1,1,
15,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,346.0,1036.0,318.2365451777212,0.0,0.0,346.0,inf,power_law,0.9804743591089807,0.9999756618666689,0.0028274543548618522,0.9445222932996405,0.45398881878679326,0.9999368323699126,100,700,0,-1,1,
16,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,344.0,1030.0,315.5491862237728,0.0,0.0,344.0,inf,power_law,0.9772908237691472,0.9999118997769288,0.002814969073091318,0.9422484020630646,0.45141469497424164,0.9997305367872821,100,700,0,-1,1,
17,v2_dim1,1,0.0,,0.0,,1.0,0.0,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,344.0,1030.0,315.48771402292095,0.0,0.0,344.0,inf,power_law,0.9744472803695903,0.9999634218100636,0.002809067225493145,0.9438342712671289,0.45019196592290006,0.9999019520753832,100,700,0,-1,1,
