t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.013210486329130189,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.013210486329130189,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,7.0,4.0,2.0,1.3333333333333333,0.9504821640155154,1.9009643280310307,1.578146394313102,0.0,0.0,1.0,inf,3.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,7.0,4.0,2.0,1.3333333333333333,0.9504821640155154,1.9009643280310307,1.578146394313102,0.0,0.0,1.0,inf,3.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,10.0,6.0,3.0,1.5,1.8237038975138686,3.647407795027737,1.0966692579461303,0.0,0.0,1.0,inf,4.0,inf,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,10.0,6.0,3.0,1.5,1.8237038975138686,3.647407795027737,1.0966692579461303,0.0,0.0,1.0,inf,4.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5.0,13.0,8.0,4.0,1.6,2.8122865596295132,5.624573119259026,0.8889563517059751,0.0,0.0,1.0,inf,5.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,5.0,13.0,8.0,4.0,1.6,2.8122865596295132,5.624573119259026,0.8889563517059751,0.0,0.0,1.0,inf,5.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,6.0,16.0,10.0,5.0,1.6666666666666667,3.768331313028989,7.536662626057977,0.7961083436659387,0.0,0.0,1.0,inf,6.0,inf,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,6.0,16.0,10.0,5.0,1.6666666666666667,3.768331313028989,7.536662626057977,0.7961083436659387,0.0,0.0,1.0,inf,6.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,19.0,12.0,6.0,1.7142857142857142,4.676194471220253,9.352388942440504,0.7484718656464849,0.0,0.0,1.0,inf,7.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,7.0,19.0,12.0,6.0,1.7142857142857142,4.676194471220253,9.352388942440504,0.7484718656464849,0.0,0.0,1.0,inf,7.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,8.0,22.0,14.0,7.0,1.75,5.532334359978682,11.064668719957362,0.7230220987611121,0.0,0.0,1.0,inf,8.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,8.0,22.0,14.0,7.0,1.75,5.532334359978682,11.064668719957362,0.7230220987611121,0.0,0.0,1.0,inf,8.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,9.0,25.0,16.0,8.0,1.7777777777777777,6.408677255676783,12.817354511353564,0.7021729789893721,0.0,0.0,1.0,inf,9.0,inf,95.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,9.0,25.0,16.0,8.0,1.7777777777777777,6.408677255676783,12.817354511353564,0.7021729789893721,0.0,0.0,1.0,inf,9.0,inf,111.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,10.0,28.0,18.0,9.0,1.8,7.391742082829896,14.78348416565979,0.6764305280096803,0.0,0.0,1.0,inf,10.0,inf,120.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,10.0,28.0,18.0,9.0,1.8,7.391742082829896,14.78348416565979,0.6764305280096803,0.0,0.0,1.0,inf,10.0,inf,114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,11.0,31.0,20.0,10.0,1.8181818181818181,8.308684878457779,16.617369756915554,0.661957948875886,0.0,0.0,1.0,inf,11.0,inf,108.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,11.0,31.0,20.0,10.0,1.8181818181818181,8.308684878457779,16.617369756915554,0.661957948875886,0.0,0.0,1.0,inf,11.0,inf,113.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,12.0,34.0,22.0,11.0,1.8333333333333333,9.224756973718609,18.449513947437215,0.6504236390285445,0.0,0.0,1.0,inf,12.0,inf,115.0,1.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,12.0,34.0,22.0,11.0,1.8333333333333333,9.224756973718609,18.449513947437215,0.6504236390285445,0.0,0.0,1.0,inf,12.0,inf,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,13.0,37.0,24.0,12.0,1.8461538461538463,10.14523929648589,20.290478592971777,0.6406945967505638,0.0,0.0,1.0,inf,13.0,inf,111.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,13.0,37.0,24.0,12.0,1.8461538461538463,10.14523929648589,20.290478592971777,0.6406945967505638,0.0,0.0,1.0,inf,13.0,inf,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,14.0,40.0,26.0,13.0,1.8571428571428572,11.069097134785798,22.138194269571592,0.6323912343312778,0.0,0.0,1.0,inf,14.0,inf,114.0,1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,14.0,40.0,26.0,13.0,1.8571428571428572,11.069097134785798,22.138194269571592,0.6323912343312778,0.0,0.0,1.0,inf,14.0,inf,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,15.0,43.0,28.0,14.0,1.8666666666666667,11.927451036723625,23.854902073447246,0.6288015751989363,0.0,0.0,1.0,inf,15.0,inf,152.0,1.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,15.0,43.0,28.0,14.0,1.8666666666666667,11.927451036723625,23.854902073447246,0.6288015751989363,0.0,0.0,1.0,inf,15.0,inf,157.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,16.0,46.0,30.0,15.0,1.875,12.838281063366173,25.676562126732343,0.6231363809932369,0.0,0.0,1.0,inf,16.0,inf,163.0,1.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,16.0,46.0,30.0,15.0,1.875,12.838281063366173,25.676562126732343,0.6231363809932369,0.0,0.0,1.0,inf,16.0,inf,156.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,17.0,49.0,32.0,16.0,1.8823529411764706,13.817711542873708,27.635423085747412,0.6151525144830338,0.0,0.0,1.0,inf,17.0,inf,154.0,1.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,17.0,49.0,32.0,16.0,1.8823529411764706,13.817711542873708,27.635423085747412,0.6151525144830338,0.0,0.0,1.0,inf,17.0,inf,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,18.0,52.0,34.0,17.0,1.8888888888888888,14.777657871493444,29.555315742986885,0.6090274980151813,0.0,0.0,1.0,inf,18.0,inf,155.0,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,18.0,52.0,34.0,17.0,1.8888888888888888,14.777657871493444,29.555315742986885,0.6090274980151813,0.0,0.0,1.0,inf,18.0,inf,155.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
