t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.0630783487419836,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.0630783487419836,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,106.0,70.0,35.0,1.9444444444444444,31.521358476990457,63.04271695398091,0.571041378598559,0.0,0.0,1.0,inf,36.0,inf,220.0,34.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36.0,106.0,70.0,35.0,1.9444444444444444,31.521358476990457,63.04271695398091,0.571041378598559,0.0,0.0,1.0,inf,36.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,50.0,148.0,98.0,49.0,1.96,44.401010178053774,88.80202035610753,0.5630502526799904,0.0,0.0,1.0,inf,50.0,inf,220.0,14.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,50.0,148.0,98.0,49.0,1.96,44.401010178053774,88.80202035610753,0.5630502526799904,0.0,0.0,1.0,inf,50.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,68.0,202.0,134.0,67.0,1.9705882352941178,60.78219957481215,121.56439914962428,0.5593742944124951,0.0,0.0,1.0,inf,68.0,inf,220.0,18.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,68.0,202.0,134.0,67.0,1.9705882352941178,60.78219957481215,121.56439914962428,0.5593742944124951,0.0,0.0,1.0,inf,68.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,75.0,223.0,148.0,74.0,1.9733333333333334,67.47967016347962,134.95934032695922,0.5557229297231393,0.0,0.0,1.0,inf,75.0,inf,220.0,7.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,75.0,223.0,148.0,74.0,1.9733333333333334,67.47967016347962,134.95934032695922,0.5557229297231393,0.0,0.0,1.0,inf,75.0,inf,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,89.0,265.0,176.0,88.0,1.9775280898876404,80.48401579192839,160.96803158385674,0.5529048167159527,0.0,0.0,1.0,inf,89.0,inf,220.0,14.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,89.0,265.0,176.0,88.0,1.9775280898876404,80.48401579192839,160.96803158385674,0.5529048167159527,0.0,0.0,1.0,inf,89.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,101.0,301.0,200.0,100.0,1.9801980198019802,91.52048389227397,183.04096778454792,0.5517890405763375,0.0,0.0,1.0,inf,101.0,inf,220.0,12.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,101.0,301.0,200.0,100.0,1.9801980198019802,91.52048389227397,183.04096778454792,0.5517890405763375,0.0,0.0,1.0,inf,101.0,inf,68.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,107.0,319.0,212.0,106.0,1.9813084112149533,97.14635200270794,194.29270400541586,0.5507154813029799,0.0,0.0,1.0,inf,107.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,107.0,319.0,212.0,106.0,1.9813084112149533,97.14635200270794,194.29270400541586,0.5507154813029799,0.0,0.0,1.0,inf,107.0,inf,141.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,113.0,337.0,224.0,112.0,1.9823008849557522,102.7654437175667,205.53088743513337,0.5497957091031556,0.0,0.0,1.0,inf,113.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,113.0,337.0,224.0,112.0,1.9823008849557522,102.7654437175667,205.53088743513337,0.5497957091031556,0.0,0.0,1.0,inf,113.0,inf,154.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,123.0,367.0,244.0,122.0,1.983739837398374,111.9448407515604,223.88968150312078,0.5493777076916585,0.0,0.0,1.0,inf,123.0,inf,220.0,10.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,123.0,367.0,244.0,122.0,1.983739837398374,111.9448407515604,223.88968150312078,0.5493777076916585,0.0,0.0,1.0,inf,123.0,inf,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,131.0,391.0,260.0,130.0,1.984732824427481,119.22520715669924,238.45041431339845,0.5493804671181028,0.0,0.0,1.0,inf,131.0,inf,220.0,8.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,131.0,391.0,260.0,130.0,1.984732824427481,119.22520715669924,238.45041431339845,0.5493804671181028,0.0,0.0,1.0,inf,131.0,inf,121.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,135.0,403.0,268.0,134.0,1.9851851851851852,122.90868369543547,245.8173673908709,0.5491882100638492,0.0,0.0,1.0,inf,135.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,135.0,403.0,268.0,134.0,1.9851851851851852,122.90868369543547,245.8173673908709,0.5491882100638492,0.0,0.0,1.0,inf,135.0,inf,186.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,138.0,412.0,274.0,137.0,1.9855072463768115,125.67460753887114,251.34921507774226,0.5490369244133769,0.0,0.0,1.0,inf,138.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,138.0,412.0,274.0,137.0,1.9855072463768115,125.67460753887114,251.34921507774226,0.5490369244133769,0.0,0.0,1.0,inf,138.0,inf,194.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,142.0,424.0,282.0,141.0,1.9859154929577465,129.46216992620552,258.924339852411,0.5484227557785458,0.0,0.0,1.0,inf,142.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,142.0,424.0,282.0,141.0,1.9859154929577465,129.46216992620552,258.924339852411,0.5484227557785458,0.0,0.0,1.0,inf,142.0,inf,179.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,147.0,439.0,292.0,146.0,1.9863945578231292,134.16064199895433,268.3212839979086,0.5478506878386351,0.0,0.0,1.0,inf,147.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,147.0,439.0,292.0,146.0,1.9863945578231292,134.16064199895433,268.3212839979086,0.5478506878386351,0.0,0.0,1.0,inf,147.0,inf,172.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,156.0,466.0,310.0,155.0,1.9871794871794872,142.57965876984247,285.1593175396849,0.5470626081796884,0.0,0.0,1.0,inf,156.0,inf,220.0,9.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,156.0,466.0,310.0,155.0,1.9871794871794872,142.57965876984247,285.1593175396849,0.5470626081796884,0.0,0.0,1.0,inf,156.0,inf,144.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,165.0,493.0,328.0,164.0,1.9878787878787878,150.84963007228257,301.6992601445651,0.5469022360907914,0.0,0.0,1.0,inf,165.0,inf,220.0,9.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
