seed,label,spatial_dim,energy_gamma,energy_total,death_rate,memory_total,bandwidth,birth_attempts,frontier_bias,step_frac_min,step_frac_max,no_signaling,spatial_exclusion,exclusion_radius,nsteps,max_subsystems,siteN_final,totalN_final,R_final,fit_type,alpha,power_r2,frontier_speed,frontier_r2,valid_alpha,invalid_reason
0,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,37278.0,105620.0,66.42921555827792,power_law,0.8579277616556514,0.9996615894105807,0.04044587298282192,0.9651491992627602,1,
1,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,37084.0,105236.0,68.92930472820532,power_law,0.8760342330805705,0.9996167895314937,0.0411220677204758,0.9765355157113347,1,
2,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,37755.0,107067.0,71.83377418542274,power_law,0.8149899779938363,0.9992767355021527,0.04235384846020674,0.9609588164966798,1,
3,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,37789.0,107269.0,69.65828501296537,power_law,0.9184238311881994,0.9972364735870296,0.0479820984101983,0.9605072417435052,1,
4,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,35730.0,101250.0,65.93010564874508,power_law,0.7948537978860432,0.9990171770863214,0.03642495704896005,0.9611049177809975,1,
5,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,30657.0,86807.0,75.84835242072474,power_law,0.7934034686918049,0.9995304341951469,0.03963752282520088,0.9839178460875002,1,
6,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,34557.0,97857.0,68.13631094830441,power_law,0.8290062981623584,0.9990097515981791,0.03996493385926094,0.9783669645066004,1,
7,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,32228.0,91094.0,73.738012068803,power_law,0.8550188410617886,0.9979767967137314,0.04008826298558419,0.9304566874461973,1,
8,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,40486.0,114962.0,68.90413652837115,power_law,0.7997859302771256,0.9991198346961037,0.041260329801968,0.9745610360850728,1,
9,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,35889.0,101575.0,74.7212771173446,power_law,0.8646743497392388,0.9998216403724313,0.05234462325676549,0.977598432970261,1,
10,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,33703.0,95787.0,76.78057575948993,power_law,0.9175201257686791,0.9983179981555037,0.049225651083317425,0.977254733260727,1,
11,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,37363.0,106085.0,72.13007349821653,power_law,0.8535541809009466,0.999407453877404,0.04308632751792539,0.9702425806645458,1,
12,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,33640.0,95260.0,69.61293566877487,power_law,0.781114760733171,0.9972767796492238,0.037697674605877696,0.9721907496007177,1,
13,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,34328.0,97414.0,66.48118102556327,power_law,0.8525282374056228,0.9993087317081473,0.040785676426485444,0.9659735889258371,1,
14,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,38409.0,108571.0,68.33697217251222,power_law,0.8237804209608901,0.9993105616015175,0.04523647883928621,0.9887182482034989,1,
15,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,35952.0,101938.0,69.10223828333099,power_law,0.8321815676459826,0.9998200596185088,0.0402257983318016,0.9714022524374274,1,
16,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,35910.0,101630.0,79.95150693070437,power_law,0.8656233374571192,0.9995157618866672,0.05241743619831612,0.9732410929624294,1,
17,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,36239.0,102693.0,83.49567406812145,power_law,0.9415261250997105,0.9986949054416279,0.06524967003275242,0.9787839953728592,1,
18,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,38055.0,107881.0,64.72654258411993,power_law,0.8563379930717249,0.999812205211929,0.03943804237707724,0.9639697225077564,1,
19,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,33360.0,94374.0,71.14365431011937,power_law,0.8920998380311417,0.996882001885929,0.04487590227780476,0.9334712064386865,1,
20,v2_dim2,2,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,33680.0,95438.0,70.68359735736162,power_law,0.8332716553035887,0.9994021150983465,0.040388163380577914,0.9858031997160747,1,
