deg,seed,vB,fit_r2,fit_valid,fit_reason,fit_t0,fit_t1,rmax,global_diff_final,rfront_final
8,0,3.320394592459391e-06,6.823054281934748e-05,1,,90,509,5,6.249999999973655e-10,5.0
8,1,nan,nan,0,front_constant,90,509,5,6.249999999985983e-10,5.0
8,2,-4.097852838490036e-05,0.0003473499063640917,1,,90,509,5,6.2499999999588e-10,5.0
8,3,7.070010924908298e-05,0.0034371389627771975,1,,90,509,5,6.249999999998876e-10,5.0
8,4,3.166522647926211e-05,0.006205326363273533,1,,90,509,5,6.249999999967486e-10,5.0
8,5,nan,nan,0,front_constant,90,509,5,6.249999999998649e-10,5.0
8,6,nan,nan,0,front_constant,90,509,5,6.250000000033409e-10,5.0
8,7,-2.4538525890563475e-05,0.0004140510215898674,1,,90,509,5,6.250000000016809e-10,5.0
8,8,nan,nan,0,front_constant,90,509,5,6.250000000036994e-10,5.0
8,9,nan,nan,0,front_constant,90,509,5,6.250000000083158e-10,5.0
8,10,-9.604848747928376e-05,0.0021978901407189166,1,,90,509,5,6.250000000027776e-10,5.0
8,11,-3.3203945924535316e-05,0.0011417171502011714,1,,90,509,5,6.249999999985395e-10,5.0
8,12,nan,nan,0,front_constant,90,509,5,6.249999999992715e-10,5.0
8,13,nan,nan,0,front_constant,90,509,5,6.250000000010651e-10,5.0
8,14,nan,nan,0,front_constant,90,509,5,6.249999999988297e-10,5.0
8,15,-2.559133393207297e-05,4.3019579484271375e-05,1,,90,509,6,6.249999999948901e-10,6.0
8,16,nan,nan,0,front_constant,90,509,5,6.25000000000088e-10,5.0
8,17,nan,nan,0,front_constant,90,509,5,6.250000000001525e-10,5.0
8,18,nan,nan,0,front_constant,90,509,5,6.249999999958542e-10,5.0
8,19,-5.2640402075437144e-06,6.859584613994052e-06,1,,90,509,5,6.250000000068025e-10,5.0
