t,rfront,global_diff
0,0.0,6.25000000000057e-10
1,0.0,6.250000000000479e-10
2,1.0,6.250000000001336e-10
3,1.0,6.250000000002304e-10
4,1.0,6.250000000002088e-10
5,1.0,6.250000000002184e-10
6,2.0,6.25000000000156e-10
7,5.0,6.250000000001798e-10
8,2.0,6.250000000001528e-10
9,1.0,6.250000000002677e-10
10,2.0,6.2500000000025e-10
11,2.0,6.25000000000349e-10
12,2.0,6.250000000003956e-10
13,3.0,6.250000000003919e-10
14,5.0,6.250000000004435e-10
15,5.0,6.250000000005692e-10
16,5.0,6.250000000004993e-10
17,5.0,6.250000000005346e-10
18,5.0,6.250000000007512e-10
19,5.0,6.250000000008135e-10
20,5.0,6.250000000010122e-10
21,5.0,6.25000000000771e-10
22,5.0,6.250000000005228e-10
23,5.0,6.25000000000277e-10
24,5.0,6.250000000003697e-10
25,5.0,6.250000000002686e-10
26,5.0,6.250000000003371e-10
27,5.0,6.250000000001641e-10
28,5.0,6.250000000002262e-10
29,5.0,6.25000000000506e-10
30,5.0,6.250000000006299e-10
31,5.0,6.250000000005864e-10
32,5.0,6.25000000000767e-10
33,5.0,6.250000000007918e-10
34,5.0,6.250000000007731e-10
35,5.0,6.250000000007145e-10
36,5.0,6.250000000010141e-10
37,5.0,6.250000000011228e-10
38,5.0,6.250000000010562e-10
39,5.0,6.250000000012365e-10
40,5.0,6.250000000012666e-10
41,5.0,6.250000000011256e-10
42,5.0,6.250000000009848e-10
43,5.0,6.250000000008133e-10
44,5.0,6.250000000006695e-10
45,5.0,6.250000000010222e-10
46,5.0,6.250000000011e-10
47,5.0,6.250000000011872e-10
48,5.0,6.250000000011099e-10
49,5.0,6.250000000008042e-10
50,5.0,6.250000000011177e-10
51,5.0,6.250000000009676e-10
52,5.0,6.250000000008877e-10
53,5.0,6.250000000004634e-10
54,5.0,6.250000000005886e-10
55,5.0,6.250000000002818e-10
56,5.0,6.250000000004053e-10
57,5.0,6.25000000000127e-10
58,5.0,6.250000000002044e-10
59,5.0,6.249999999999289e-10
60,5.0,6.24999999999698e-10
61,5.0,6.249999999997743e-10
62,5.0,6.249999999997368e-10
63,5.0,6.249999999998749e-10
64,5.0,6.250000000000832e-10
65,5.0,6.250000000000683e-10
66,5.0,6.249999999998518e-10
67,5.0,6.249999999996656e-10
68,5.0,6.249999999997147e-10
69,5.0,6.249999999996716e-10
70,5.0,6.249999999997298e-10
71,5.0,6.249999999996914e-10
72,5.0,6.249999999993939e-10
73,5.0,6.249999999993482e-10
74,5.0,6.249999999994048e-10
75,5.0,6.24999999999365e-10
76,5.0,6.249999999995451e-10
77,5.0,6.249999999996509e-10
78,5.0,6.249999999995741e-10
79,5.0,6.249999999996875e-10
80,5.0,6.249999999995605e-10
81,5.0,6.24999999999386e-10
82,5.0,6.249999999994877e-10
83,5.0,6.249999999995666e-10
84,5.0,6.249999999994546e-10
85,5.0,6.24999999999386e-10
86,5.0,6.249999999994477e-10
87,5.0,6.249999999994882e-10
88,5.0,6.249999999993338e-10
89,5.0,6.249999999992584e-10
90,5.0,6.249999999991348e-10
91,5.0,6.249999999989381e-10
92,5.0,6.249999999989125e-10
93,5.0,6.249999999989844e-10
94,5.0,6.249999999991763e-10
95,5.0,6.249999999993778e-10
