seed,graph,N,deg,rmax,thr,vB,fit_r2,fit_valid,fit_reason,fit_t0,fit_t1,global_diff_final,rfront_final
0,grid2d,4096,4,64,5.000000000000431e-08,nan,nan,0,front_constant,75,424,2.441406249999595e-10,0.0
1,grid2d,4096,4,64,4.999999999999235e-08,nan,nan,0,front_constant,75,424,2.441406249996674e-10,0.0
2,grid2d,4096,4,64,4.9999999999993724e-08,nan,nan,0,front_constant,75,424,2.4414062500007707e-10,0.0
3,grid2d,4096,4,64,4.9999999999999707e-08,nan,nan,0,front_constant,75,424,2.4414062500010075e-10,0.0
4,grid2d,4096,4,64,4.999999999999891e-08,nan,nan,0,front_constant,75,424,2.441406250005056e-10,0.0
5,grid2d,4096,4,64,4.9999999999990733e-08,nan,nan,0,front_constant,75,424,2.441406249991101e-10,0.0
6,grid2d,4096,4,64,4.999999999999727e-08,nan,nan,0,front_constant,75,424,2.4414062500005877e-10,0.0
7,grid2d,4096,4,64,5.000000000000038e-08,nan,nan,0,front_constant,75,424,2.4414062499987627e-10,0.0
8,grid2d,4096,4,64,4.999999999999232e-08,nan,nan,0,front_constant,75,424,2.441406249990294e-10,0.0
9,grid2d,4096,4,64,5.000000000000111e-08,nan,nan,0,front_constant,75,424,2.441406250000142e-10,0.0
10,grid2d,4096,4,64,4.999999999999878e-08,nan,nan,0,front_constant,75,424,2.441406250001618e-10,0.0
11,grid2d,4096,4,64,5.000000000000135e-08,nan,nan,0,front_constant,75,424,2.4414062500028164e-10,0.0
12,grid2d,4096,4,64,5.000000000000042e-08,-0.0005176485405711776,0.08985970542376942,1,,75,424,2.441406250000004e-10,0.0
13,grid2d,4096,4,64,5.0000000000007085e-08,-0.00022740710419793514,0.037489214641326485,1,,75,424,2.4414062500034286e-10,0.0
14,grid2d,4096,4,64,5.0000000000004445e-08,nan,nan,0,front_constant,75,424,2.4414062499885357e-10,0.0
15,grid2d,4096,4,64,4.999999999999798e-08,nan,nan,0,front_constant,75,424,2.4414062499961277e-10,0.0
16,grid2d,4096,4,64,5.0000000000003134e-08,nan,nan,0,front_constant,75,424,2.441406249987359e-10,0.0
17,grid2d,4096,4,64,5.0000000000010725e-08,nan,nan,0,front_constant,75,424,2.4414062499849235e-10,0.0
18,grid2d,4096,4,64,4.999999999999296e-08,nan,nan,0,front_constant,75,424,2.441406250000379e-10,0.0
19,grid2d,4096,4,64,4.9999999999996345e-08,nan,nan,0,front_constant,75,424,2.4414062500035397e-10,0.0
