t,rfront,global_diff
0,0.0,2.441406249999626e-10
1,1.0,2.4414062499989995e-10
2,1.0,2.4414062499989995e-10
3,1.0,2.441406249998664e-10
4,1.0,2.441406249998664e-10
5,1.0,2.4414062499987726e-10
6,1.0,2.4414062499988873e-10
7,1.0,2.441406249999005e-10
8,1.0,2.4414062499986464e-10
9,1.0,2.4414062499986004e-10
10,0.0,2.441406249998824e-10
11,1.0,2.441406249999186e-10
12,1.0,2.4414062499990983e-10
13,1.0,2.441406249998852e-10
14,1.0,2.4414062499987307e-10
15,1.0,2.4414062499986397e-10
16,1.0,2.4414062499987224e-10
17,1.0,2.441406249998826e-10
18,2.0,2.441406249998469e-10
19,2.0,2.441406249998459e-10
20,2.0,2.44140624999846e-10
21,2.0,2.441406249998441e-10
22,2.0,2.441406249998449e-10
23,2.0,2.4414062499984593e-10
24,2.0,2.4414062499985844e-10
25,2.0,2.4414062499982757e-10
26,2.0,2.4414062499981635e-10
27,2.0,2.441406249998674e-10
28,2.0,2.4414062499990274e-10
29,1.0,2.4414062499985797e-10
30,2.0,2.4414062499987e-10
31,2.0,2.4414062499988873e-10
32,2.0,2.4414062499989297e-10
33,1.0,2.4414062499987917e-10
34,1.0,2.441406249998288e-10
35,1.0,2.441406249998476e-10
36,1.0,2.441406249999013e-10
37,0.0,2.4414062499989204e-10
38,0.0,2.441406249998942e-10
39,1.0,2.4414062499990517e-10
40,1.0,2.4414062499988734e-10
41,0.0,2.441406249998589e-10
42,0.0,2.4414062499986733e-10
43,0.0,2.4414062499988175e-10
44,0.0,2.44140624999888e-10
45,0.0,2.4414062499985104e-10
46,0.0,2.4414062499983466e-10
47,0.0,2.441406249998184e-10
48,0.0,2.441406249997811e-10
49,0.0,2.4414062499974263e-10
50,0.0,2.441406249997998e-10
51,0.0,2.4414062499979723e-10
52,0.0,2.4414062499979004e-10
53,0.0,2.441406249997962e-10
54,0.0,2.441406249998087e-10
55,0.0,2.441406249998055e-10
56,0.0,2.441406249998131e-10
57,0.0,2.441406249998033e-10
58,0.0,2.4414062499977737e-10
59,0.0,2.441406249997545e-10
60,0.0,2.4414062499981124e-10
61,0.0,2.4414062499981465e-10
62,0.0,2.4414062499982587e-10
63,0.0,2.4414062499982514e-10
64,0.0,2.4414062499984143e-10
65,0.0,2.4414062499985084e-10
66,0.0,2.441406249998683e-10
67,0.0,2.4414062499986614e-10
68,0.0,2.441406249998881e-10
69,0.0,2.4414062499987116e-10
70,0.0,2.44140624999911e-10
71,0.0,2.4414062499982235e-10
72,0.0,2.441406249998466e-10
73,0.0,2.4414062499986655e-10
74,0.0,2.4414062499984195e-10
75,0.0,2.4414062499979847e-10
76,0.0,2.441406249997722e-10
77,0.0,2.441406249998172e-10
78,0.0,2.4414062499976946e-10
