seed,graph,N,deg,rmax,thr,estimator,vB,fit_r2,fit_valid,fit_reason,fit_r_lo,fit_r_hi,fit_n_used
0,grid2d,4096,4,64,3.0000000000002585e-08,arrival,nan,nan,0,too_few_points,9,54,0
1,grid2d,4096,4,64,2.9999999999995405e-08,arrival,nan,nan,0,too_few_points,9,54,0
2,grid2d,4096,4,64,2.999999999999623e-08,arrival,nan,nan,0,too_few_points,9,54,0
3,grid2d,4096,4,64,2.999999999999982e-08,arrival,nan,nan,0,too_few_points,9,54,0
4,grid2d,4096,4,64,2.999999999999934e-08,arrival,nan,nan,0,too_few_points,9,54,0
5,grid2d,4096,4,64,2.999999999999444e-08,arrival,nan,nan,0,too_few_points,9,54,0
6,grid2d,4096,4,64,2.9999999999998356e-08,arrival,nan,nan,0,too_few_points,9,54,0
7,grid2d,4096,4,64,3.000000000000023e-08,arrival,nan,nan,0,too_few_points,9,54,0
8,grid2d,4096,4,64,2.999999999999539e-08,arrival,nan,nan,0,too_few_points,9,54,0
9,grid2d,4096,4,64,3.0000000000000666e-08,arrival,nan,nan,0,too_few_points,9,54,0
10,grid2d,4096,4,64,2.999999999999927e-08,arrival,nan,nan,0,too_few_points,9,54,0
11,grid2d,4096,4,64,3.0000000000000805e-08,arrival,nan,nan,0,too_few_points,9,54,0
12,grid2d,4096,4,64,3.000000000000025e-08,arrival,nan,nan,0,too_few_points,9,54,0
13,grid2d,4096,4,64,3.0000000000004246e-08,arrival,nan,nan,0,too_few_points,9,54,0
14,grid2d,4096,4,64,3.0000000000002664e-08,arrival,nan,nan,0,too_few_points,9,54,0
15,grid2d,4096,4,64,2.9999999999998786e-08,arrival,nan,nan,0,too_few_points,9,54,0
16,grid2d,4096,4,64,3.0000000000001877e-08,arrival,nan,nan,0,too_few_points,9,54,0
17,grid2d,4096,4,64,3.0000000000006436e-08,arrival,nan,nan,0,too_few_points,9,54,0
18,grid2d,4096,4,64,2.9999999999995775e-08,arrival,nan,nan,0,too_few_points,9,54,0
19,grid2d,4096,4,64,2.999999999999781e-08,arrival,nan,nan,0,too_few_points,9,54,0
