t,global_diff
0,2.441406250000054e-10
1,2.441406250000054e-10
2,2.441406250000054e-10
3,2.441406249999973e-10
4,2.441406249999973e-10
5,2.441406250000035e-10
6,2.441406250000026e-10
7,2.4414062500000154e-10
8,2.441406249999998e-10
9,2.4414062500000087e-10
10,2.441406250000321e-10
11,2.441406250000404e-10
12,2.4414062500004026e-10
13,2.4414062500004e-10
14,2.4414062500003964e-10
15,2.4414062500003975e-10
16,2.441406250000409e-10
17,2.441406250000853e-10
18,2.44140625000078e-10
19,2.441406250001048e-10
20,2.4414062500009574e-10
21,2.44140625000066e-10
22,2.4414062500003504e-10
23,2.441406250000399e-10
24,2.441406249999971e-10
25,2.441406250000291e-10
26,2.4414062500004336e-10
27,2.441406250000744e-10
28,2.4414062500009574e-10
29,2.4414062500006487e-10
30,2.441406250000209e-10
31,2.441406250000614e-10
32,2.4414062500005443e-10
33,2.441406250000526e-10
34,2.4414062500006094e-10
35,2.441406250001044e-10
36,2.441406250001389e-10
37,2.4414062500012474e-10
38,2.4414062500012277e-10
39,2.4414062500011135e-10
40,2.4414062500011704e-10
41,2.4414062500018497e-10
42,2.4414062500022524e-10
43,2.4414062500021604e-10
44,2.441406250001896e-10
45,2.4414062500019024e-10
46,2.4414062500018114e-10
47,2.4414062500017313e-10
48,2.4414062500016966e-10
49,2.441406250001713e-10
50,2.441406250001894e-10
51,2.441406250002314e-10
52,2.441406250002562e-10
53,2.4414062500024215e-10
54,2.4414062500031137e-10
55,2.4414062500034896e-10
56,2.441406250003576e-10
57,2.441406250003702e-10
58,2.441406250004043e-10
59,2.441406250003848e-10
60,2.441406250004089e-10
61,2.441406250003992e-10
62,2.44140625000397e-10
63,2.4414062500041275e-10
64,2.441406250004347e-10
65,2.4414062500042723e-10
66,2.441406250003792e-10
67,2.4414062500042924e-10
68,2.441406250004574e-10
69,2.4414062500045065e-10
70,2.441406250004997e-10
71,2.4414062500049976e-10
72,2.4414062500049216e-10
73,2.4414062500046895e-10
74,2.441406250004683e-10
75,2.44140625000444e-10
76,2.4414062500047205e-10
77,2.441406250004771e-10
78,2.441406250005019e-10
79,2.4414062500051377e-10
80,2.4414062500051827e-10
81,2.4414062500047143e-10
82,2.4414062500049806e-10
83,2.441406250004924e-10
84,2.441406250005067e-10
85,2.441406250004826e-10
86,2.44140625000494e-10
87,2.441406250005128e-10
88,2.4414062500048994e-10
89,2.4414062500050633e-10
90,2.441406250005096e-10
91,2.441406250004769e-10
92,2.4414062500045127e-10
93,2.4414062500045876e-10
94,2.44140625000407e-10
95,2.4414062500035506e-10
96,2.441406250004164e-10
97,2.4414062500047805e-10
98,2.441406250005125e-10
99,2.4414062500054236e-10
100,2.4414062500051444e-10
101,2.4414062500046243e-10
102,2.4414062500051393e-10
103,2.4414062500047903e-10
104,2.441406250004834e-10
105,2.441406250005247e-10
106,2.4414062500046104e-10
107,2.441406250004521e-10
108,2.441406250004611e-10
109,2.441406250004763e-10
110,2.4414062500047365e-10
111,2.4414062500050343e-10
112,2.441406250005161e-10
113,2.4414062500047774e-10
114,2.441406250004709e-10
115,2.4414062500038944e-10
116,2.441406250004098e-10
117,2.441406250003864e-10
118,2.441406250003627e-10
119,2.4414062500039424e-10
120,2.441406250004053e-10
121,2.4414062500042676e-10
122,2.441406250003836e-10
123,2.4414062500034487e-10
124,2.441406250003905e-10
125,2.44140625000357e-10
126,2.4414062500039683e-10
127,2.441406250004042e-10
128,2.441406250003716e-10
129,2.441406250003632e-10
130,2.4414062500028614e-10
131,2.441406250002947e-10
132,2.4414062500027554e-10
133,2.441406250002791e-10
134,2.4414062500023765e-10
135,2.4414062500020735e-10
136,2.441406250001848e-10
137,2.441406250001775e-10
138,2.441406250002302e-10
139,2.4414062500015695e-10
140,2.4414062500022767e-10
141,2.441406250002696e-10
142,2.441406250002193e-10
143,2.4414062500023284e-10
144,2.441406250002273e-10
145,2.4414062500018807e-10
146,2.4414062500021593e-10
147,2.441406250002232e-10
148,2.4414062500028397e-10
149,2.4414062500023703e-10
150,2.4414062500025626e-10
151,2.4414062500021325e-10
152,2.4414062500025523e-10
153,2.4414062500024685e-10
154,2.4414062500024096e-10
155,2.441406250002711e-10
156,2.44140625000264e-10
157,2.441406250003089e-10
158,2.441406250002728e-10
159,2.4414062500031845e-10
160,2.4414062500037124e-10
161,2.441406250003085e-10
162,2.441406250002798e-10
163,2.4414062500029643e-10
164,2.4414062500025114e-10
165,2.441406250002336e-10
166,2.441406250002591e-10
167,2.441406250002716e-10
168,2.4414062500028687e-10
169,2.441406250002774e-10
170,2.441406250002747e-10
171,2.441406250002689e-10
172,2.4414062500019324e-10
173,2.44140625000165e-10
174,2.4414062500013875e-10
175,2.441406250001226e-10
176,2.441406250001174e-10
177,2.4414062500012577e-10
178,2.441406250000779e-10
179,2.4414062500009093e-10
180,2.441406250001243e-10
181,2.4414062500012143e-10
182,2.441406250001267e-10
183,2.441406250001259e-10
184,2.4414062500011383e-10
185,2.44140625000114e-10
186,2.441406250001266e-10
187,2.441406250001437e-10
188,2.441406250001477e-10
189,2.4414062500009894e-10
190,2.4414062500005525e-10
191,2.441406250000217e-10
192,2.441406249999482e-10
193,2.4414062499998753e-10
194,2.4414062500012996e-10
195,2.441406250000661e-10
196,2.4414062500005644e-10
197,2.44140625000064e-10
198,2.4414062500002206e-10
199,2.441406250000073e-10
200,2.441406250000075e-10
201,2.4414062500004186e-10
202,2.441406250000035e-10
203,2.441406249999114e-10
204,2.441406249999245e-10
205,2.4414062499985616e-10
206,2.4414062499985104e-10
207,2.44140624999791e-10
208,2.44140624999782e-10
209,2.44140624999813e-10
210,2.4414062499988636e-10
211,2.4414062499993604e-10
212,2.44140624999962e-10
213,2.441406249999246e-10
214,2.4414062499991e-10
215,2.4414062499989597e-10
216,2.441406249998464e-10
217,2.441406249998728e-10
218,2.4414062499984846e-10
219,2.4414062499978575e-10
220,2.441406249997807e-10
221,2.4414062499972976e-10
222,2.441406249997491e-10
223,2.4414062499977753e-10
224,2.441406249996838e-10
225,2.441406249996636e-10
226,2.4414062499964477e-10
227,2.441406249996938e-10
228,2.4414062499975576e-10
229,2.441406249997256e-10
230,2.4414062499970407e-10
231,2.441406249997192e-10
