L,g,n_bonds,dim,E0,gap,sigma_fit,R2_fit,const_fit
4,0.15,10,1024,-1.4986575731001583,0.29973154755371834,10.837451947881892,0.9999998274936914,-0.682752083389134
4,0.25,10,1024,-2.4937205204163995,0.49874482233578754,9.293931984656405,0.9999997689203526,-0.682829714875551
4,0.35,10,1024,-3.4824995767648703,0.6965054668239996,8.267736875667259,0.9999997136783214,-0.6829312775648245
4,0.45,10,1024,-4.462022819172365,0.8924305430968302,7.491060954050752,0.9999996627267733,-0.6831032746688985
5,0.15,13,8192,-1.9482548474268735,0.29973154755393905,10.83730932614017,0.9999998211195894,-0.6825619129492666
5,0.25,13,8192,-3.241836729461647,0.4987448223359108,9.293933001402852,0.9999997689758564,-0.6828309529292147
5,0.35,13,8192,-4.527249863953042,0.6965054668261192,8.209525297852393,0.9999663644639926,-0.5859108865910891
5,0.45,13,8192,-5.800631627744744,0.8924305431049007,7.4327770476849055,0.9999588654248784,-0.5859593630518753
6,0.15,16,65536,-2.3978521217535915,0.2997315475640572,10.837469151530403,0.9999998282543218,-0.6827750079879615
6,0.25,16,65536,-3.9899529385069,0.49874482233704276,9.293932294319601,0.9999997689314937,-0.6828299455023676
6,0.35,16,65536,-5.572000151141208,0.6965054668296533,8.2097092299502,0.9999665769875118,-0.5862169451588104
6,0.45,16,65536,-7.139240436317131,0.8924305431066966,7.4327772799084535,0.999958863819643,-0.5859579479819197
