t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,13,2,11,0,0,0,13,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.3620309050772627,3.980264302102957e-18,2.32763994275027e-18
1,11,2,9,1,0,1,10,2,8,0.0,0.049999999999997505,-0.049999999999997505,0.0,0.049999999999997505,-0.049999999999997505,0.445916114790287,0.020375761038923922,0.002352735823080088
2,8,3,5,0,0,0,8,3,5,0.0,0.039999999999998405,-0.039999999999998405,0.0,0.039999999999998405,-0.039999999999998405,0.18322295805739514,0.054006517451760834,0.004027197197230206
3,11,1,10,0,0,0,11,1,10,0.0,0.028571428571427755,-0.028571428571427755,0.0,0.028571428571427755,-0.028571428571427755,0.17880794701986755,0.09634689288088309,0.005216351736435727
4,17,5,12,0,0,0,17,5,12,0.0,0.021276595744680396,-0.021276595744680396,0.0,0.021276595744680396,-0.021276595744680396,0.16997792494481237,0.14515437942676146,0.006187131347626355
5,9,2,7,0,0,0,9,2,7,0.0,0.018518518518518174,-0.018518518518518174,0.0,0.018518518518518174,-0.018518518518518174,0.1534216335540839,0.20629248430870634,0.007500671167662441
6,13,6,7,0,0,0,13,6,7,0.0,0.01639344262295055,-0.01639344262295055,0.0,0.01639344262295055,-0.01639344262295055,0.152317880794702,0.26746240013937456,0.00774770004097271
7,12,4,8,0,0,0,12,4,8,0.0,0.014492753623188196,-0.014492753623188196,0.0,0.014492753623188196,-0.014492753623188196,0.15121412803532008,0.33342476411930766,0.008043826409615965
8,16,7,9,1,0,1,15,7,8,0.0,0.025641025641025314,-0.025641025641025314,0.0,0.025641025641025314,-0.025641025641025314,0.15011037527593818,0.39665692084567156,0.00799784728761176
9,17,3,14,0,0,0,17,3,14,0.0,0.021739130434782372,-0.021739130434782372,0.0,0.021739130434782372,-0.021739130434782372,0.1534216335540839,0.4579667125369778,0.008042073452466434
10,10,3,7,0,0,0,10,3,7,0.0,0.02020202020202,-0.02020202020202,0.0,0.02020202020202,-0.02020202020202,0.15121412803532008,0.5183189613782547,0.008376939920681323
11,11,2,9,0,0,0,11,2,9,0.0,0.018518518518518347,-0.018518518518518347,0.0,0.018518518518518347,-0.018518518518518347,0.15011037527593818,0.5751416963482322,0.008567114206112891
12,13,2,11,1,0,1,12,2,10,0.0,0.025210084033613234,-0.025210084033613234,0.0,0.025210084033613234,-0.025210084033613234,0.1600441501103753,0.6314060778715339,0.009150605109656464
13,9,1,8,1,0,1,8,1,7,0.0,0.03149606299212574,-0.03149606299212574,0.0,0.03149606299212574,-0.03149606299212574,0.15011037527593818,0.6858770466045987,0.009507399267737781
14,12,4,8,0,0,0,12,4,8,0.0,0.029629629629629412,-0.029629629629629412,0.0,0.029629629629629412,-0.029629629629629412,0.15562913907284767,0.7388864669096986,0.01011663972467945
15,9,2,7,1,0,1,8,2,6,0.0,0.035211267605633555,-0.035211267605633555,0.0,0.035211267605633555,-0.035211267605633555,0.16777041942604856,0.7901205162625773,0.010467317686097813
16,14,5,9,1,0,1,13,5,8,0.0,0.03973509933774808,-0.03973509933774808,0.0,0.03973509933774808,-0.03973509933774808,0.15011037527593818,0.8377623831344576,0.010726426289590786
17,7,0,7,0,0,0,7,0,7,0.0,0.037974683544303556,-0.037974683544303556,0.0,0.037974683544303556,-0.037974683544303556,0.15562913907284767,0.8849434591690936,0.01120769049567688
18,8,0,8,0,0,0,8,0,8,0.0,0.036144578313252795,-0.036144578313252795,0.0,0.036144578313252795,-0.036144578313252795,0.15011037527593818,0.9307624357628959,0.01161511957231844
19,11,3,8,0,0,0,11,3,8,0.0,0.03448275862068946,-0.03448275862068946,0.0,0.03448275862068946,-0.03448275862068946,0.15011037527593818,0.9741121769559795,0.011929046863452268
20,18,7,11,0,0,0,18,7,11,0.0,0.03243243243243226,-0.03243243243243226,0.0,0.03243243243243226,-0.03243243243243226,0.15011037527593818,1.0174713915739118,0.012423066373251043
21,11,3,8,0,0,0,11,3,8,0.0,0.031088082901554244,-0.031088082901554244,0.0,0.031088082901554244,-0.031088082901554244,0.15121412803532008,1.060104379716508,0.012790333797169587
22,13,2,11,1,0,1,12,2,10,0.0,0.03431372549019591,-0.03431372549019591,0.0,0.03431372549019591,-0.03431372549019591,0.15011037527593818,1.1032217558791646,0.013252970579020326
23,11,2,9,0,0,0,11,2,9,0.0,0.032863849765258066,-0.032863849765258066,0.0,0.032863849765258066,-0.032863849765258066,0.15011037527593818,1.1463444783788603,0.013725353969461772
24,15,3,12,0,0,0,15,3,12,0.0,0.031111111111110975,-0.031111111111110975,0.0,0.031111111111110975,-0.031111111111110975,0.15011037527593818,1.1883435032084861,0.014091394157987209
25,9,1,8,0,0,0,9,1,8,0.0,0.030042918454935494,-0.030042918454935494,0.0,0.030042918454935494,-0.030042918454935494,0.15011037527593818,1.2325134645793525,0.014720807883055423
26,12,1,11,0,0,0,12,1,11,0.0,0.028688524590163817,-0.028688524590163817,0.0,0.028688524590163817,-0.028688524590163817,0.15011037527593818,1.27596971256367,0.015049179707630774
27,17,5,12,0,0,0,17,5,12,0.0,0.027343749999999892,-0.027343749999999892,0.0,0.027343749999999892,-0.027343749999999892,0.15011037527593818,1.319680271492563,0.015449562955734365
28,18,5,13,0,0,0,18,5,13,0.0,0.026022304832713655,-0.026022304832713655,0.0,0.026022304832713655,-0.026022304832713655,0.15011037527593818,1.3640398813376415,0.015840051855122862
29,8,2,6,0,0,0,8,2,6,0.0,0.025454545454545358,-0.025454545454545358,0.0,0.025454545454545358,-0.025454545454545358,0.15011037527593818,1.408305250871958,0.016179715248324632
30,12,4,8,0,0,0,12,4,8,0.0,0.02473498233215539,-0.02473498233215539,0.0,0.02473498233215539,-0.02473498233215539,0.15011037527593818,1.4500396008170753,0.016287316539829517
31,16,7,9,0,0,0,16,7,9,0.0,0.023972602739725943,-0.023972602739725943,0.0,0.023972602739725943,-0.023972602739725943,0.15011037527593818,1.4924920999659548,0.016681200163048582
32,14,2,12,0,0,0,14,2,12,0.0,0.023026315789473607,-0.023026315789473607,0.0,0.023026315789473607,-0.023026315789473607,0.15011037527593818,1.534223938236458,0.016924713393252654
33,15,3,12,0,0,0,15,3,12,0.0,0.022151898734177142,-0.022151898734177142,0.0,0.022151898734177142,-0.022151898734177142,0.15011037527593818,1.5759141482462335,0.017205707585194262
34,10,2,8,0,0,0,10,2,8,0.0,0.02160493827160487,-0.02160493827160487,0.0,0.02160493827160487,-0.02160493827160487,0.15011037527593818,1.6175734965817536,0.017473748795069233
35,15,3,12,1,1,0,14,2,12,0.00917431192660542,0.02083333333333327,-0.01165902140672785,0.00917431192660542,0.02083333333333327,-0.01165902140672785,0.15011037527593818,1.658868555758928,0.017707477410082467
36,13,5,8,0,0,0,13,5,8,0.008771929824561327,0.020348837209302265,-0.011576907384740938,0.008771929824561327,0.020348837209302265,-0.011576907384740938,0.15011037527593818,1.7019270369721131,0.01811260922130829
37,10,1,9,0,0,0,10,1,9,0.008695652173912969,0.019830028328611842,-0.011134376154698873,0.008695652173912969,0.019830028328611842,-0.011134376154698873,0.15011037527593818,1.7447194311275287,0.018314921438731042
38,18,5,13,1,0,1,17,5,12,0.008333333333333264,0.021857923497267697,-0.013524590163934433,0.008333333333333264,0.021857923497267697,-0.013524590163934433,0.15011037527593818,1.7870023472210357,0.018492045220996997
39,8,3,5,0,0,0,8,3,5,0.008130081300812943,0.02156334231805924,-0.013433261017246298,0.008130081300812943,0.02156334231805924,-0.013433261017246298,0.15011037527593818,1.8294260064088668,0.018706106931704266
40,11,3,8,0,0,0,11,3,8,0.007936507936507874,0.02110817941952501,-0.013171671483017136,0.007936507936507874,0.02110817941952501,-0.013171671483017136,0.15011037527593818,1.8710331533735065,0.01881777136576675
41,12,2,10,0,0,0,12,2,10,0.007812499999999939,0.020565552699228738,-0.012753052699228799,0.007812499999999939,0.020565552699228738,-0.012753052699228799,0.15011037527593818,1.9122774837433556,0.01895998617384383
42,13,4,9,0,0,0,13,4,9,0.007575757575757519,0.020100502512562762,-0.012524744936805244,0.007575757575757519,0.020100502512562762,-0.012524744936805244,0.15011037527593818,1.9537327987076882,0.019139334037032482
43,13,6,7,0,0,0,13,6,7,0.007246376811594151,0.019753086419753037,-0.012506709608158886,0.007246376811594151,0.019753086419753037,-0.012506709608158886,0.15011037527593818,1.9949134021490798,0.019257619516033508
44,15,4,11,0,0,0,15,4,11,0.007042253521126711,0.019230769230769183,-0.012188515709642472,0.007042253521126711,0.019230769230769183,-0.012188515709642472,0.15011037527593818,2.035767281716448,0.019358570780235188
45,19,3,16,0,0,0,19,3,16,0.006896551724137884,0.018518518518518476,-0.011621966794380592,0.006896551724137884,0.018518518518518476,-0.011621966794380592,0.15011037527593818,2.077408870760222,0.01954832285988341
46,12,4,8,0,0,0,12,4,8,0.00671140939597311,0.01818181818181814,-0.01147040878584503,0.00671140939597311,0.01818181818181814,-0.01147040878584503,0.15011037527593818,2.119207694974474,0.019664868111569617
47,11,3,8,0,0,0,11,3,8,0.00657894736842101,0.017857142857142818,-0.011278195488721807,0.00657894736842101,0.017857142857142818,-0.011278195488721807,0.15011037527593818,2.1602709047460995,0.01968378794315941
48,17,6,11,0,0,0,17,6,11,0.006329113924050593,0.017429193899782095,-0.011100079975731501,0.006329113924050593,0.017429193899782095,-0.011100079975731501,0.15011037527593818,2.201451346804896,0.01976769712099029
49,14,2,12,0,0,0,14,2,12,0.006249999999999961,0.016985138004246246,-0.010735138004246286,0.006249999999999961,0.016985138004246246,-0.010735138004246286,0.15011037527593818,2.242183469761984,0.019784397464557478
50,9,2,7,0,0,0,9,2,7,0.006172839506172802,0.01673640167364013,-0.01056356216746733,0.006172839506172802,0.01673640167364013,-0.01056356216746733,0.15011037527593818,2.2827206875451247,0.019810414145867605
51,12,3,9,0,0,0,12,3,9,0.006060606060606024,0.016427104722792574,-0.01036649866218655,0.006060606060606024,0.016427104722792574,-0.01036649866218655,0.15011037527593818,2.3228431249804733,0.01980137666758822
52,16,2,14,0,0,0,16,2,14,0.005988023952095772,0.015968063872255456,-0.009980039920159684,0.005988023952095772,0.015968063872255456,-0.009980039920159684,0.15011037527593818,2.3623423472470515,0.01975844343822746
