label,score,best_time,best_W_relational,best_capture_ratio,best_damage_active_power,best_leakage_gain,run_tag,active_dim,eta_AX,eta_XY,eta_YB,omega_site
balanced_chain,39.00879547901394,1.92,1.9359930491995128,0.17317749654205375,0.00024571566402244307,34.790208671866786,dim1,1,0.85,0.85,0.85,0.35
middle_heavier,7.527662459721318,1.92,1.896934998046876,0.19935467335105056,0.00021438658151324278,3.334868730343952,dim1,1,0.85,0.85,0.85,0.35
endpoint_heavier,1637.8992299231681,1.68,1.9515209445719486,0.14915165379092316,0.00032049560441014326,1633.697564230838,dim1,1,0.85,0.85,0.85,0.35
balanced_chain,6.386568581342123,1.92,1.9359930491995128,0.8824289887045093,0.0010451808717407641,0.7486793246623382,dim2,2,0.85,0.85,0.85,0.35
middle_heavier,5.635838769245396,1.92,1.896934998046876,0.8283472362175344,0.0005724736480479578,0.18470182706852667,dim2,2,0.85,0.85,0.85,0.35
endpoint_heavier,41.894208155544824,1.68,1.9515209445719486,0.9046554791226691,0.0019126430566096544,36.17994266509898,dim2,2,0.85,0.85,0.85,0.35
balanced_chain,6.083763418612031,1.92,1.9359930491995128,0.9721366325189725,0.0008917962922269264,0.2666122588828326,dim3,3,0.85,0.85,0.85,0.35
middle_heavier,5.780545522236579,1.92,1.896934998046876,0.9613107593385268,0.0005249978674162404,0.06352900959835751,dim3,3,0.85,0.85,0.85,0.35
endpoint_heavier,6.06111758948433,1.68,1.9515209445719486,0.9766937770386915,0.001315752865837102,0.2033723933972124,dim3,3,0.85,0.85,0.85,0.35
balanced_chain,20.000595473832874,2.72,1.9343518407716724,0.18910779475887485,0.00012066136072528766,15.753555541411053,eta0p6,1,0.6,0.6,0.6,0.35
middle_heavier,17.334499607840556,2.72,1.8937696272215452,0.2142767858946515,0.00013428155415060337,13.118272500054012,eta0p6,1,0.6,0.6,0.6,0.35
endpoint_heavier,6.6025402832951325,2.32,1.9506897069590683,0.15394079970855204,7.493277782778742e-05,2.3932043371820635,eta0p6,1,0.6,0.6,0.6,0.35
balanced_chain,39.00879547901394,1.92,1.9359930491995128,0.17317749654205375,0.00024571566402244307,34.790208671866786,eta0p85,1,0.85,0.85,0.85,0.35
middle_heavier,7.527662459721318,1.92,1.896934998046876,0.19935467335105056,0.00021438658151324278,3.334868730343952,eta0p85,1,0.85,0.85,0.85,0.35
endpoint_heavier,1637.8992299231681,1.68,1.9515209445719486,0.14915165379092316,0.00032049560441014326,1633.697564230838,eta0p85,1,0.85,0.85,0.85,0.35
balanced_chain,20.33731394604682,1.6,1.9357657098551246,0.1610546135820271,0.00029185409102843395,16.143381445081488,eta1p0,1,1.0,1.0,1.0,0.35
middle_heavier,8.517919884756239,1.68,1.8971862467792135,0.2013768758206601,0.0003006186378361759,4.320493020918656,eta1p0,1,1.0,1.0,1.0,0.35
endpoint_heavier,22.84516819899268,1.44,1.950769512493203,0.14724728896218195,0.0003489080149727089,18.64878568806694,eta1p0,1,1.0,1.0,1.0,0.35
balanced_chain,37.67696662033545,1.92,1.9374067367353247,0.15582931045755846,0.00021650516862628256,33.490278020781055,om0p2,1,0.85,0.85,0.85,0.2
middle_heavier,7.257685919437695,1.92,1.8998369865393643,0.18434175799725114,0.00018488746935514143,3.0891435428951093,om0p2,1,0.85,0.85,0.85,0.2
endpoint_heavier,1647.7924229984264,1.68,1.9520004796666526,0.133380036197099,0.00028679820371066336,1643.6213751684952,om0p2,1,0.85,0.85,0.85,0.2
balanced_chain,39.00879547901394,1.92,1.9359930491995128,0.17317749654205375,0.00024571566402244307,34.790208671866786,om0p35,1,0.85,0.85,0.85,0.35
middle_heavier,7.527662459721318,1.92,1.896934998046876,0.19935467335105056,0.00021438658151324278,3.334868730343952,om0p35,1,0.85,0.85,0.85,0.35
endpoint_heavier,1637.8992299231681,1.68,1.9515209445719486,0.14915165379092316,0.00032049560441014326,1633.697564230838,om0p35,1,0.85,0.85,0.85,0.35
balanced_chain,40.51810808122739,1.92,1.9343008087727185,0.19053119610645924,0.00027548447023583215,36.2681685869988,om0p5,1,0.85,0.85,0.85,0.5
middle_heavier,7.8201650433160115,1.92,1.8936739683884558,0.2141189053407394,0.00024365576883635256,3.604335640088785,om0p5,1,0.85,0.85,0.85,0.5
endpoint_heavier,1628.8815907316452,1.68,1.9508818589159842,0.16515297605473586,0.00035517997964800064,1624.6491658817242,om0p5,1,0.85,0.85,0.85,0.5
