t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
0,6,0.4600000000000001,0.07666666666666667,0.9853316326530612,0.43478260869565205,0.9853316326530612,0.43478260869565205,0.9999999999999999
1,5,0.602881807693345,0.12057636153866899,0.9760182547383096,0.33135101728829996,0.980044374606397,0.37606390115973076,1.0000000000000002
2,2,0.48250080554390534,0.24125040277195267,0.9650623141952434,0.3111289796109939,0.9751746069095356,0.35272675170153955,0.9999999999999999
3,1,0.39724063070124016,0.39724063070124016,0.9576803391161082,0.31272173112872437,0.9710525471711487,0.337790517386007,1.0
4,1,0.37324350121365263,0.37324350121365263,0.9532863765633167,0.32872407170486145,0.9673823220811154,0.32860426457150804,0.9999999999999998
5,2,0.3792647107610316,0.1896323553805158,0.9484686038299164,0.32637375864390605,0.9639107363599284,0.321382907995392,0.9999999999999996
6,3,0.3962255360199983,0.13207517867333277,0.9435497694218545,0.3165315568442561,0.9605342161632189,0.3149157926574696,1.0000000000000002
7,5,0.41821948705195183,0.08364389741039037,0.938727059982847,0.3052282431593397,0.9572078042922291,0.3087432421087358,1.0
8,6,0.44299482371237753,0.07383247061872959,0.9340502754860605,0.29288625810809643,0.9539120126750893,0.30297201032280874,1.0000000000000002
9,9,0.4699602653837157,0.0522178072648573,0.9293785054258217,0.2798396400198149,0.9506395974146473,0.29702098018501594,1.0000000000000002
10,11,0.49877122023132925,0.04534283820284812,0.9247035739552554,0.26674293894044554,0.9473706756390216,0.29076433432378407,1.0
11,13,0.529275329867835,0.040713486912910386,0.9199551592181557,0.2539232196507263,0.9440959299329823,0.28494665919550694,1.0000000000000002
12,16,0.5614507908725276,0.035090674429532974,0.915051511722864,0.2417914763386413,0.9407906192347605,0.27937518557726443,0.9999999999999993
13,19,0.5951394814129446,0.031323130600681294,0.9100526628816481,0.23023564001996433,0.9374618061674346,0.27388044518122195,0.9999999999999999
14,22,0.6302415529978913,0.02864734331808597,0.9049673965828428,0.21924624295605558,0.934090834218176,0.26823417931984805,0.9999999999999998
15,26,0.6666882325011366,0.025641855096197562,0.8998042857390408,0.2088463951433629,0.9306790007964496,0.26237462904692344,0.9999999999999998
16,30,0.7043859463665865,0.023479531545552882,0.8945672710173099,0.19904211430129026,0.9272283713907059,0.25637946662685246,1.0000000000000002
17,34,0.7432185312447014,0.02185936856602063,0.8892523925523075,0.18982675398570287,0.9237319698804083,0.25031345077325323,1.0
18,38,0.7830342416448919,0.020606164253812943,0.883847947049947,0.1811878167225771,0.9201926295408512,0.2442308276264632,1.0000000000000002
