model,n_runs,score_mean,scale_factor_final_mean,mean_landmark_distance_final_mean,cv_landmark_distance_final_mean,relation_on_shortest_path_fraction_final_mean,n_relation_final_mean
interleave_noref,4,17.46156945792276,8.17578125,18.6875,0.5199907227696514,1.0,62.0
interleave_refold,4,2.988976614245631,1.1015625,2.517857142857143,0.45219784767249227,0.75,1.0
edge_growth,4,1.661979567925251,1.0,2.2857142857142856,0.45069390943299875,0.0,14.5
,,,,,,,
comparison,,,,,,,
hypothesis_beats_refolding_on_scale,True,,,,,,
hypothesis_beats_edge_growth_on_scale,True,,,,,,
hypothesis_is_more_interior_than_edge_growth,True,,,,,,
hypothesis_is_not_wildly_more_lumpy_than_nulls,True,,,,,,
n_tests_passed,4,,,,,,
overall_support,YES,,,,,,
