model,n_runs,score_mean,scale_factor_final_mean,mean_landmark_distance_final_mean,cv_landmark_distance_final_mean,relation_on_shortest_path_fraction_final_mean,n_relation_final_mean
interleave_noref,6,74.9423923072243,36.936,102.60000000000001,0.5728102570342871,1.0,402.0
interleave_refold,6,2.4757409112103748,1.04,2.888888888888889,0.4723454517195005,0.5,0.5
edge_growth,6,1.6450352130140227,1.0,2.777777777777778,0.47328638264796924,0.0,26.5
,,,,,,,
comparison,,,,,,,
hypothesis_beats_refolding_on_scale,True,,,,,,
hypothesis_beats_edge_growth_on_scale,True,,,,,,
hypothesis_is_more_interior_than_edge_growth,True,,,,,,
hypothesis_is_not_wildly_more_lumpy_than_nulls,True,,,,,,
n_tests_passed,4,,,,,,
overall_support,YES,,,,,,
