model,n_runs,score_mean,scale_factor_final_mean,mean_landmark_distance_final_mean,cv_landmark_distance_final_mean,relation_on_shortest_path_fraction_final_mean,n_relation_final_mean
interleave_noref,8,194.69771419525588,96.80497685185185,316.8162878787879,0.5496526779304017,1.0,1226.125
interleave_refold,8,2.515628650506624,1.066550925925926,3.490530303030303,0.48996426846030383,0.5,0.875
edge_growth,8,1.633191315382104,1.0,3.272727272727273,0.48907824615719464,0.0,41.25
,,,,,,,
comparison,,,,,,,
hypothesis_beats_refolding_on_scale,True,,,,,,
hypothesis_beats_edge_growth_on_scale,True,,,,,,
hypothesis_is_more_interior_than_edge_growth,True,,,,,,
hypothesis_is_not_wildly_more_lumpy_than_nulls,True,,,,,,
n_tests_passed,4,,,,,,
overall_support,YES,,,,,,
