t,L,S,P,tau_max,tau_mean,tau_gini,tau_topk_frac
0,1.141700378967105,21,0.054366684712719285,0.20594300030199697,0.03682904448280984,0.7197153833200337,0.9140343743527453
1,1.1930927188130154,21,0.05681393899109597,0.2095459049369074,0.038486861897194045,0.6829531972303217,0.8832964381537023
2,1.1753997708315758,21,0.055971417658646466,0.20266130272292293,0.037916121639728254,0.6968981642728094,0.8875179723737954
3,1.1566897898257307,21,0.05508046618217765,0.20412896342680895,0.03731257386534615,0.7127824189748615,0.9062427925740202
4,1.1817232123536878,22,0.053714691470622175,0.2086312020418932,0.038120103624312514,0.6918585057772447,0.8906772267357217
5,1.1556443913661778,22,0.05252929051664445,0.20978265713840147,0.037278851334392835,0.7046270043139663,0.9009233936495901
6,1.1738646909859605,22,0.0533574859539073,0.203180173878458,0.03786660293503098,0.6898424304893918,0.8899024988545807
7,1.1840073182510207,21,0.05638130086909622,0.20799196379716117,0.03819378445971035,0.6831116445178113,0.8803125944931943
8,1.1763865819938997,22,0.05347211736335908,0.20476166963216996,0.03794795425786773,0.6747378959535119,0.8750542388092196
9,1.1480278159705313,22,0.05218308254411506,0.20086012436061004,0.037033155353888104,0.708964526145261,0.9056680926719375
10,1.1469196974362963,22,0.05213271351983165,0.20136543414300886,0.036997409594719234,0.7146300066376517,0.9120186117751663
11,1.1624256839467189,22,0.05283753108848722,0.2082213715906444,0.037497602707958676,0.7069822696788259,0.9034114877577568
12,1.1916180911491305,22,0.054164458688596845,0.20888489886911502,0.03843929326287518,0.6869558810122484,0.8863928413610238
13,1.1702317710128964,22,0.05319235322785893,0.2025827440007754,0.037749411968157946,0.6939567360564207,0.8929282347448424
14,1.1421899656276053,22,0.0519177257103457,0.2027712088943696,0.036844837600890495,0.7068561464689018,0.9093219834353641
15,1.1703583866925271,22,0.05319810848602396,0.20603869657740753,0.03775349634492023,0.7077642547630004,0.9026209388222384
16,1.1635369459853961,22,0.052888042999336186,0.2050806419675629,0.03753344987049665,0.6969482690946698,0.8936734522333448
17,1.1331950064350171,22,0.05150886392886442,0.20355906219517292,0.03655467762693604,0.713637080342971,0.9083877046445339
18,1.1559773420867208,22,0.05254442464030549,0.20687415002313328,0.037289591680216796,0.6966229367369856,0.8930163632029957
19,1.1522266875716543,22,0.0523739403441661,0.20732080083369886,0.03716860282489207,0.6966388246104931,0.8956978127989808
20,1.1396960443857536,22,0.05180436565389789,0.20380901407080912,0.036764388528572695,0.7147257840611798,0.9068375222458865
21,1.1682074194409082,22,0.05310033724731401,0.20982763945194166,0.03768411030454542,0.6990844642018141,0.8970020249710033
22,1.1698456627281912,22,0.05317480285128142,0.20395012929997589,0.037736956862199716,0.6987519440961193,0.8978179349030465
23,1.1743075329302795,22,0.05337761513319452,0.20322460757563174,0.037880888159041275,0.6952542109042597,0.8916480902357564
24,1.1416726178341423,22,0.05189420990155192,0.20364857224867253,0.036828148962391685,0.7169196092948108,0.9112333584662629
25,1.1478389862951717,22,0.052174499377053256,0.20252303087657747,0.037027064074037795,0.7129826085134081,0.9068562816613801
26,1.1628576757521623,22,0.05285716707964374,0.20856571690943979,0.037511537927489104,0.6931217246572957,0.8931917632692516
27,1.1804063153282847,22,0.05365483251492203,0.20516043479840207,0.038077623075105954,0.6924524487190543,0.8937120536557154
28,1.1608591868887521,22,0.05276632667676146,0.2035472818339031,0.037447070544798455,0.6923365393835573,0.8912718855600558
29,1.1540921602168255,22,0.05245873455531025,0.20503502805733415,0.03722877936183308,0.697667632714137,0.8968736031054402
