t,S_0_4,S_1_5,S_2_6,S_3_7
0.0000000000,2.8284271247,2.8284271247,2.8284271247,2.8284271247
0.0250000000,2.8226712308,2.8165707457,2.8113198776,2.8204567325
0.0500000000,2.8054201096,2.7814323593,2.7604973485,2.7967558000
0.0750000000,2.7767270880,2.7242737010,2.6774369098,2.7579439581
0.1000000000,2.7366928641,2.6470985201,2.5645344070,2.7050175764
0.1250000000,2.6854820643,2.5525125790,2.4250081050,2.6392975261
0.1500000000,2.6233441112,2.4435445105,2.2627710837,2.5623605387
0.1750000000,2.5506362585,2.3234432889,2.0822784598,2.4759584402
0.2000000000,2.4678462893,2.1954709342,1.8883570964,2.3819304484
0.2250000000,2.3756122201,2.0627104583,1.6860264957,2.2821143793
0.2500000000,2.2747364211,1.9279083812,1.4803205593,2.1782629138
0.2750000000,2.1661918752,1.7933678555,1.2761215308,2.0719709453
0.3000000000,2.0511188326,1.6609022784,1.0780221705,1.9646193336
0.3250000000,1.9308108474,1.5318507240,0.8902512121,1.8573390928
0.3500000000,1.8066900373,1.4071470114,0.7168025964,1.7509981427
0.3750000000,1.6802723140,1.2874259663,0.5629851702,1.6462104325
0.4000000000,1.5531242139,1.1731458542,0.4802952795,1.5433648235
0.4250000000,1.4268137368,1.0647074503,0.5530757512,1.4426690001
0.4500000000,1.3028582373,0.9625743572,0.6451538222,1.3442023081
0.4750000000,1.1826729115,0.8686941815,0.7311670988,1.2479710516
0.5000000000,1.0675239673,0.7840332726,0.8010002968,1.1539604645
0.5250000000,0.9584918897,0.7052329281,0.8509769979,1.0621790996
0.5500000000,0.8564563005,0.6330691713,0.8801097315,0.9726933988
0.5750000000,0.7621578381,0.5683478960,0.8875342739,0.8856523942
0.6000000000,0.6772204451,0.5146165801,0.8738492761,0.8013049314
0.6250000000,0.6227288018,0.4725159652,0.8411251893,0.7200166337
0.6500000000,0.5871206942,0.4393125077,0.7923551945,0.6423242059
0.6750000000,0.5540508869,0.4135129275,0.7324084377,0.5696965042
0.7000000000,0.5213466184,0.3930713317,0.6658104896,0.5063059057
0.7250000000,0.4879608897,0.3757087160,0.5938944629,0.4499591727
0.7500000000,0.4535239736,0.3593137544,0.5192064106,0.4005169611
0.7750000000,0.4182162948,0.3423051675,0.4443392867,0.3587740182
0.8000000000,0.3826536218,0.3238719213,0.3719590015,0.3256740703
0.8250000000,0.3477704559,0.3040885775,0.3055790018,0.3023625857
0.8500000000,0.3146947267,0.2839495475,0.2516300071,0.2893798906
0.8750000000,0.2846079241,0.2652928826,0.2175389921,0.2844714542
0.9000000000,0.2586075267,0.2504285199,0.2082228729,0.2837234539
0.9250000000,0.2376009885,0.2415531528,0.2287648537,0.2843579420
0.9500000000,0.2222024281,0.2420859861,0.2708231958,0.2848730045
0.9750000000,0.2125545162,0.2548237838,0.3228048131,0.2844535295
1.0000000000,0.2081247251,0.2756572810,0.3788374661,0.2826634729
1.0250000000,0.2077108093,0.3004706365,0.4355683351,0.2793279607
1.0500000000,0.2097733624,0.3258741696,0.4904580863,0.2744856301
1.0750000000,0.2128740570,0.3490542191,0.5413173069,0.2683646921
1.1000000000,0.2159478725,0.3678431520,0.5862030941,0.2613682189
1.1250000000,0.2183689275,0.3807078753,0.6234173348,0.2540621601
1.1500000000,0.2199046462,0.3866933755,0.6515368248,0.2471581999
1.1750000000,0.2206288746,0.3853526319,0.6694532519,0.2414794399
1.2000000000,0.2208143741,0.3766745453,0.6764134552,0.2378943962
1.2250000000,0.2208252499,0.3610142304,0.6720542741,0.2372110811
1.2500000000,0.2210708061,0.3390287750,0.6564281280,0.2400453375
1.2750000000,0.2220653364,0.3116231789,0.6300167468,0.2467066887
1.3000000000,0.2245663649,0.2799157610,0.5937316868,0.2571484126
1.3250000000,0.2300135936,0.2452480581,0.5489017313,0.2709935729
1.3500000000,0.2420197321,0.2113116841,0.4972492631,0.2876123388
1.3750000000,0.2622400983,0.1832503755,0.4408604267,0.3062162153
1.4000000000,0.2868936721,0.1597349640,0.3821573203,0.3259415142
1.4250000000,0.3127758975,0.1438128523,0.3238829961,0.3459086713
1.4500000000,0.3380223449,0.1384884944,0.2691039678,0.3652597376
1.4750000000,0.3614852209,0.1452894982,0.2211972987,0.3831844274
1.5000000000,0.3823981062,0.1611768938,0.1837127024,0.3989444288
1.5250000000,0.4002410119,0.1815223126,0.1600035537,0.4119014792
1.5500000000,0.4146854811,0.2036329176,0.1513302194,0.4215512979
