t,S_2_6,S_2_3,S_2_5
0.0000000000,2.8284271247,0.0000000000,0.0000000000
0.0250000000,2.8113198776,0.0000000019,0.0102102022
0.0500000000,2.7604973485,0.0000001211,0.0403953695
0.0750000000,2.6774369098,0.0000013606,0.0892421303
0.1000000000,2.5645344070,0.0000074967,0.1546364035
0.1250000000,2.4250081050,0.0000278866,0.2337704062
0.1500000000,2.2627710837,0.0000807408,0.3232824806
0.1750000000,2.0822784598,0.0001962957,0.4194208368
0.2000000000,1.8883570964,0.0004192838,0.5182211041
0.2250000000,1.6860264957,0.0008101337,0.6156872010
0.2500000000,1.4803205593,0.0014444403,0.7079654715
0.2750000000,1.2761215308,0.0024104223,0.7915032176
0.3000000000,1.0780221705,0.0038043017,0.8631845311
0.3250000000,0.8902512121,0.0057237958,0.9204384892
0.3500000000,0.7168025964,0.0082601603,0.9613170978
0.3750000000,0.5629851702,0.0114894574,0.9845426005
0.4000000000,0.4802952795,0.0154639032,0.9895257440
0.4250000000,0.5530757512,0.0202042637,0.9763581576
0.4500000000,0.6451538222,0.0256943023,0.9457831778
0.4750000000,0.7311670988,0.0318782151,0.8991503885
0.5000000000,0.8010002968,0.0386618365,0.8383603551
0.5250000000,0.8509769979,0.0459181433,0.7658088435
0.5500000000,0.8801097315,0.0534972502,0.6843488243
0.5750000000,0.8875342739,0.0612406776,0.5973270457
0.6000000000,0.8738492761,0.0689991999,0.5090271657
0.6250000000,0.8411251893,0.0766531259,0.4298929357
0.6500000000,0.7923551945,0.0841337122,0.3802035268
0.6750000000,0.7324084377,0.0914459856,0.3433465708
0.7000000000,0.6658104896,0.0987049073,0.3156538289
0.7250000000,0.5938944629,0.1062904624,0.2999116913
0.7500000000,0.5192064106,0.1159672493,0.2969122652
0.7750000000,0.4443392867,0.1300040043,0.3013230292
0.8000000000,0.3719590015,0.1458676318,0.3061899111
0.8250000000,0.3055790018,0.1622866001,0.3071253564
0.8500000000,0.2516300071,0.1787784916,0.3020134191
0.8750000000,0.2175389921,0.1949818839,0.2901099239
0.9000000000,0.2082228729,0.2105721412,0.2715139266
0.9250000000,0.2287648537,0.2252548599,0.2469012349
0.9500000000,0.2708231958,0.2387739100,0.2229490292
0.9750000000,0.3228048131,0.2509226876,0.1964979957
1.0000000000,0.3788374661,0.2615552836,0.1683377619
1.0250000000,0.4355683351,0.2705960587,0.1420571241
1.0500000000,0.4904580863,0.2780465470,0.1226647320
1.0750000000,0.5413173069,0.2839887154,0.1157256457
1.1000000000,0.5862030941,0.2885837045,0.1233222083
1.1250000000,0.6234173348,0.2920654552,0.1415244488
1.1500000000,0.6515368248,0.2947291278,0.1642489146
1.1750000000,0.6694532519,0.2969148809,0.1867532429
1.2000000000,0.6764134552,0.2989881946,0.2060358746
1.2250000000,0.6720542741,0.3013183228,0.2203312537
1.2500000000,0.6564281280,0.3042565494,0.2287434567
1.2750000000,0.6300167468,0.3081157738,0.2310913560
1.3000000000,0.5937316868,0.3131526707,0.2278329159
1.3250000000,0.5489017313,0.3195533452,0.2199033851
1.3500000000,0.4972492631,0.3274230507,0.2083755420
1.3750000000,0.4408604267,0.3367802748,0.1941891561
1.4000000000,0.3821573203,0.3475555770,0.1784779634
1.4250000000,0.3238829961,0.3595960194,0.1646711202
1.4500000000,0.2691039678,0.3726761362,0.1683685923
1.4750000000,0.2211972987,0.3865150999,0.1873173475
1.5000000000,0.1837127024,0.4007972561,0.2067444877
1.5250000000,0.1600035537,0.4151916975,0.2230949603
1.5500000000,0.1513302194,0.4293682478,0.2347028356
1.5750000000,0.1530840809,0.4430113349,0.2409749654
1.6000000000,0.1586854133,0.4558352165,0.2423997099
1.6250000000,0.1638645473,0.4676005785,0.2403232059
1.6500000000,0.1667563804,0.4781275278,0.2362624030
1.6750000000,0.1672642575,0.4872998092,0.2319912647
1.7000000000,0.1664386065,0.4950594577,0.2299947591
1.7250000000,0.1658700120,0.5013952570,0.2322616082
1.7500000000,0.1670402936,0.5063296146,0.2378710465
1.7750000000,0.1707277089,0.5099072135,0.2444247672
1.8000000000,0.1767163363,0.5121867061,0.2504144048
1.8250000000,0.1839521884,0.5132350688,0.2551800195
1.8500000000,0.1910866930,0.5131235112,0.2586202732
1.8750000000,0.1982391065,0.5119238537,0.2612966217
1.9000000000,0.2049008588,0.5097047372,0.2649844192
1.9250000000,0.2087388364,0.5065276120,0.2739559773
1.9500000000,0.2093409040,0.5024430194,0.2933466665
1.9750000000,0.2068713488,0.4974881087,0.3231430701
2.0000000000,0.2018339180,0.4916865521,0.3605101996
