t,S_2_6,S_2_3,S_2_4,S_2_5
0.0000000000,2.8284271247,0.0000000000,0.0000000000,0.0000000000
0.0050000000,2.8277412287,0.0000000000,0.0000000044,0.0004098433
0.0100000000,2.8256843447,0.0000000000,0.0000000701,0.0016386546
0.0150000000,2.8222588832,0.0000000001,0.0000003544,0.0036842794
0.0200000000,2.8174688577,0.0000000005,0.0000011188,0.0065431318
0.0250000000,2.8113198776,0.0000000019,0.0000027268,0.0102102022
0.0300000000,2.8038191394,0.0000000057,0.0000056428,0.0146790675
0.0350000000,2.7949754146,0.0000000143,0.0000104287,0.0199419044
0.0400000000,2.7847990359,0.0000000319,0.0000177415,0.0259895057
0.0450000000,2.7733018800,0.0000000645,0.0000283288,0.0328112992
0.0500000000,2.7604973485,0.0000001211,0.0000430254,0.0403953695
0.0550000000,2.7464003460,0.0000002141,0.0000627479,0.0487284829
0.0600000000,2.7310272561,0.0000003599,0.0000884901,0.0577961139
0.0650000000,2.7143959149,0.0000005802,0.0001213170,0.0675824755
0.0700000000,2.6965255821,0.0000009023,0.0001623589,0.0780705513
0.0750000000,2.6774369098,0.0000013606,0.0002128047,0.0892421303
0.0800000000,2.6571519098,0.0000019971,0.0002738952,0.1010778436
0.0850000000,2.6356939178,0.0000028627,0.0003469161,0.1135572040
0.0900000000,2.6130875559,0.0000040180,0.0004331901,0.1266586474
0.0950000000,2.5893586938,0.0000055348,0.0005340694,0.1403595759
0.1000000000,2.5645344070,0.0000074967,0.0006509276,0.1546364035
0.1050000000,2.5386429341,0.0000100003,0.0007851515,0.1694646028
0.1100000000,2.5117136319,0.0000131567,0.0009381326,0.1848187542
0.1150000000,2.4837769290,0.0000170919,0.0011112589,0.2006725961
0.1200000000,2.4548642777,0.0000219485,0.0013059059,0.2169990765
0.1250000000,2.4250081050,0.0000278866,0.0015234283,0.2337704062
0.1300000000,2.3942417616,0.0000350845,0.0017651510,0.2509581130
0.1350000000,2.3625994698,0.0000437399,0.0020323611,0.2685330971
0.1400000000,2.3301162709,0.0000540711,0.0023262987,0.2864656868
